1rdqE1.pdb1	1rdqI1.pdb1
6hquO1.pdb7	6hquG1.pdb7
1hqqG1.pdb1	1hqqC1.pdb1
6hquC1.pdb3	6hquK1.pdb3
5cszH1.pdb1	5cszD1.pdb1
6myeA1.pdb1	6myeB1.pdb1
5mycA2.pdb1	5mycP2.pdb1
2my3B1.pdb1	2my3A1.pdb1
4xstE1.pdb1	4xstF1.pdb1
2dymA1.pdb1	2dymB1.pdb1
2w10A1.pdb1	2w10D1.pdb1
6g85B1.pdb1	6g85D1.pdb1
2g83D1.pdb2	2g83B1.pdb2
3wp1B1.pdb1	3wp1A1.pdb1
3wp0B1.pdb1	3wp0A1.pdb1
4ym4B1.pdb1	4ym4A1.pdb1
4a5xC1.pdb1	4a5xA1.pdb1
1bx2F1.pdb2	1bx2D1.pdb2
1f47B1.pdb1	1f47A1.pdb1
2f49A1.pdb3	2f49C1.pdb3
4rt4E1.pdb1	4rt4A1.pdb1
2yvcC1.pdb3	2yvcF1.pdb3
5yv5A1.pdb1	5yv5B1.pdb1
4fddA1.pdb1	4fddB1.pdb1
4r8tB1.pdb1	4r8tA1.pdb1
2f8eX1.pdb1	2f8eA1.pdb1
5iqoB1.pdb1	5iqoA1.pdb1
1iq5A1.pdb1	1iq5B1.pdb1
4bwqF1.pdb1	4bwqE1.pdb1
6bw9A1.pdb1	6bw9B1.pdb1
3bw9A1.pdb1	3bw9C1.pdb1
2kymB1.pdb1	2kymA1.pdb1
3oglR1.pdb2	3oglD1.pdb2
3o7lB1.pdb1	3o7lI1.pdb1
3ewvA1.pdb1	3ewvE1.pdb1
3ewtA1.pdb1	3ewtE1.pdb1
3ui2A1.pdb1	3ui2B1.pdb1
4ui9U1.pdb1	4ui9O1.pdb1
3hdiD1.pdb1	3hdiB1.pdb1
4fmqB1.pdb1	4fmqA1.pdb1
2fmkB1.pdb1	2fmkA1.pdb1
5fmlA1.pdb1	5fmlB1.pdb1
6ae8D1.pdb2	6ae8B1.pdb2
5aerB1.pdb1	5aerA1.pdb1
5jgeF1.pdb2	5jgeD1.pdb2
3d24D1.pdb1	3d24C1.pdb1
5d2mE1.pdb1	5d2mG1.pdb1
6d2rC1.pdb1	6d2rA1.pdb1
6hepB1.pdb1	6hepE1.pdb1
3rf3A1.pdb1	3rf3C1.pdb1
4pidB1.pdb1	4pidA1.pdb1
4v0xA1.pdb1	4v0xB1.pdb1
3rzxA1.pdb1	3rzxB1.pdb1
3rz9B1.pdb1	3rz9A1.pdb1
4z1rA1.pdb1	4z1rC1.pdb1
5xsqE1.pdb3	5xsqF1.pdb3
2xs0B1.pdb1	2xs0A1.pdb1
2xs1A1.pdb1	2xs1B1.pdb1
6nk1C1.pdb1	6nk1A1.pdb1
5w4gB1.pdb1	5w4gA1.pdb1
4s0rB1.pdb1	4s0rZ1.pdb1
5mavB1.pdb2	5mavK1.pdb2
5et1D1.pdb2	5et1B1.pdb2
4etoP1.pdb1	4etoA1.pdb1
5et0B1.pdb1	5et0A1.pdb1
5xyfA1.pdb1	5xyfB1.pdb1
5xyfA1.pdb1	5xyfC1.pdb1
1ljzB1.pdb1	1ljzA1.pdb1
1lj2C1.pdb1	1lj2A1.pdb1
6ef2I1.pdb1	6ef2s1.pdb1
3mn5S1.pdb1	3mn5A1.pdb1
6ef3n1.pdb1	6ef311.pdb1
5eftE1.pdb1	5eftF1.pdb1
4uqzB1.pdb1	4uqzA1.pdb1
5wa4A1.pdb1	5wa4M1.pdb1
3e1kM1.pdb4	3e1kN1.pdb4
2zneC1.pdb1	2zneA1.pdb1
3echB1.pdb1	3echC1.pdb1
1qlsA1.pdb1	1qlsD1.pdb1
4dxrA1.pdb1	4dxrB3.pdb1
2x04B1.pdb1	2x04D1.pdb1
2xapA1.pdb1	2xapD1.pdb1
5iv2B1.pdb1	5iv2E1.pdb1
2iv8A1.pdb1	2iv8P1.pdb1
5girH1.pdb1	5girC1.pdb1
6qnpH1.pdb1	6qnpA1.pdb1
6qnnA1.pdb1	6qnnB1.pdb1
4jk5B1.pdb1	4jk5A1.pdb1
2vt1A1.pdb1	2vt1B1.pdb1
5vtbB1.pdb1	5vtbA1.pdb1
3c5jC1.pdb1	3c5jB1.pdb1
5c56A1.pdb1	5c56B1.pdb1
4c5iC1.pdb1	4c5iA1.pdb1
3c5tB1.pdb1	3c5tA1.pdb1
5c5eA1.pdb1	5c5eH1.pdb1
4m7cC1.pdb1	4m7cA1.pdb1
6m7yA1.pdb1	6m7yC1.pdb1
5m72B1.pdb1	5m72A1.pdb1
4ghuA2.pdb1	4ghuB2.pdb1
2rkzR1.pdb6	2rkzF1.pdb6
5jqyB1.pdb1	5jqyA1.pdb1
2rkyD1.pdb1	2rkyA1.pdb1
5xadB1.pdb2	5xadD1.pdb2
4xaiA1.pdb1	4xaiP1.pdb1
5de2A1.pdb1	5de2C1.pdb1
6deiB1.pdb1	6deiD1.pdb1
3depB1.pdb1	3depA1.pdb1
2g48B1.pdb2	2g48D1.pdb2
6aklC1.pdb1	6aklB1.pdb1
5zopA1.pdb1	5zopG1.pdb1
4zoxB1.pdb1	4zoxA1.pdb1
5zooG1.pdb1	5zooA1.pdb1
1qx7D1.pdb3	1qx7M1.pdb3
6ocpP1.pdb1	6ocpC1.pdb1
5kc1J1.pdb3	5kc1K1.pdb3
1kcrL1.pdb1	1kcrP1.pdb1
4erzD1.pdb3	4erzC1.pdb3
4eryA1.pdb1	4eryD1.pdb1
2cnzA1.pdb1	2cnzB1.pdb1
6hkpA1.pdb1	6hkpS1.pdb1
3oee11.pdb3	3oeeZ1.pdb3
6e4zP1.pdb1	6e4zH1.pdb1
1kluA1.pdb1	1kluC1.pdb1
6mv5P1.pdb1	6mv5H1.pdb1
6e49D1.pdb1	6e49B1.pdb1
4oniC1.pdb1	4oniA1.pdb1
1t7mB1.pdb1	1t7mA1.pdb1
3t7gC1.pdb1	3t7gA1.pdb1
5hi5I1.pdb1	5hi5A1.pdb1
2oq1A1.pdb1	2oq1B1.pdb1
3tvtB1.pdb1	3tvtA1.pdb1
5cqxC1.pdb1	5cqxA1.pdb1
2xqnT1.pdb1	2xqnA1.pdb1
3x23A1.pdb1	3x23B1.pdb1
3h0aD1.pdb1	3h0aE1.pdb1
3vfsC1.pdb1	3vfsA1.pdb1
3vfuC1.pdb1	3vfuA1.pdb1
1vf5G1.pdb1	1vf5C1.pdb1
3vfvC1.pdb1	3vfvA1.pdb1
3tdiD1.pdb1	3tdiA1.pdb1
1zvzA1.pdb1	1zvzB1.pdb1
2zvkC1.pdb1	2zvkW1.pdb1
2zvmA1.pdb1	2zvmU1.pdb1
1t5wD1.pdb2	1t5wF1.pdb2
3n00B1.pdb2	3n00A1.pdb2
2n0yB1.pdb1	2n0yA1.pdb1
4n0yH1.pdb1	4n0yA1.pdb1
1n0xL1.pdb1	1n0xP1.pdb1
2n01B1.pdb1	2n01A1.pdb1
2fluX1.pdb1	2fluP1.pdb1
4piqA1.pdb1	4piqB1.pdb1
3wxaC1.pdb1	3wxaA1.pdb1
5wwuA1.pdb1	5wwuE1.pdb1
4odmD1.pdb4	4odmK1.pdb4
5odsH1.pdb4	5odsD1.pdb4
2od8A2.pdb1	2od8B2.pdb1
1q1sC1.pdb1	1q1sB1.pdb1
5fc8C1.pdb1	5fc8E1.pdb1
1ou8C2.pdb1	1ou8A2.pdb1
4nawP1.pdb4	4nawM1.pdb4
5uwiC1.pdb1	5uwiD1.pdb1
3na1D1.pdb2	3na1B1.pdb2
2xumA1.pdb2	2xumS1.pdb2
5xupC1.pdb1	5xupA1.pdb1
2xu7A1.pdb1	2xu7D1.pdb1
3r85G1.pdb3	3r85C1.pdb3
5v90D1.pdb1	5v90C1.pdb1
3wutG1.pdb3	3wutI1.pdb3
4ht6E1.pdb4	4ht6F1.pdb4
5fztB1.pdb1	5fztA1.pdb1
4preA1.pdb1	4preC1.pdb1
3wimA1.pdb1	3wimB1.pdb1
3fdoB1.pdb3	3fdoA1.pdb3
5nkpC1.pdb2	5nkpB1.pdb2
3nk4C1.pdb1	3nk4A1.pdb1
5iy4D1.pdb1	5iy4C1.pdb1
5iyvB1.pdb1	5iyvA1.pdb1
6s3fB1.pdb1	6s3fA1.pdb1
3ik5A1.pdb2	3ik5B1.pdb2
4u39D1.pdb4	4u39M1.pdb4
1ydiB1.pdb1	1ydiA1.pdb1
5yd8X1.pdb2	5yd8U1.pdb2
6o3wB1.pdb2	6o3wD1.pdb2
4o3uA1.pdb1	4o3uP1.pdb1
5o3vB1.pdb1	5o3vD1.pdb1
4o36B1.pdb1	4o36A1.pdb1
5o3uO1.pdb1	5o3uD1.pdb1
5y7wA1.pdb1	5y7wC1.pdb1
2w9rA1.pdb1	2w9rB1.pdb1
5ei3B1.pdb1	5ei3A1.pdb1
2ns8B1.pdb1	2ns8H1.pdb1
3qiwB3.pdb1	3qiwE3.pdb1
3qisA1.pdb1	3qisB1.pdb1
2qiyC1.pdb1	2qiyA1.pdb1
4uu5B1.pdb1	4uu5A1.pdb1
4z88G1.pdb7	4z88S1.pdb7
4z8aB1.pdb1	4z8aA1.pdb1
4bxrC1.pdb1	4bxrA1.pdb1
5ldeB1.pdb1	5ldeR1.pdb1
4oh4B1.pdb2	4oh4F1.pdb2
5wrdD1.pdb6	5wrdB1.pdb6
5ddhC1.pdb1	5ddhA1.pdb1
1rpqA1.pdb1	1rpqW1.pdb1
2rpqB1.pdb1	2rpqA1.pdb1
4j2cB1.pdb1	4j2cA1.pdb1
5yy9C1.pdb1	5yy9A1.pdb1
1yypA2.pdb1	1yypB2.pdb1
5gg4E1.pdb1	5gg4A1.pdb1
3ggzH1.pdb4	3ggzD1.pdb4
3ggwC1.pdb2	3ggwF1.pdb2
2nnaC1.pdb1	2nnaB1.pdb1
2obhB1.pdb1	2obhD1.pdb1
2a7uA1.pdb1	2a7uB1.pdb1
1ejoP1.pdb1	1ejoL1.pdb1
5o4yE1.pdb1	5o4yA1.pdb1
1fllY1.pdb3	1fllB1.pdb3
3o6lH1.pdb1	3o6lC1.pdb1
2o60A1.pdb1	2o60B1.pdb1
3lcnA1.pdb4	3lcnC1.pdb4
5lcwO1.pdb1	5lcwD1.pdb1
2lctB1.pdb1	2lctA1.pdb1
4lcdB1.pdb2	4lcdD1.pdb2
4xzrA1.pdb1	4xzrB1.pdb1
2xzeQ1.pdb2	2xzeA1.pdb2
5xzxA1.pdb1	5xzxB1.pdb1
3auwD1.pdb2	3auwC1.pdb2
5aumC1.pdb1	5aumH1.pdb1
4auvF2.pdb4	4auvG2.pdb4
1ozbA1.pdb1	1ozbI1.pdb1
5dd0P1.pdb1	5dd0H1.pdb1
3dd7D1.pdb2	3dd7C1.pdb2
2hpzA1.pdb1	2hpzB1.pdb1
4hpoH1.pdb1	4hpoP1.pdb1
5frpA1.pdb1	5frpC1.pdb1
3bimB1.pdb3	3bimI1.pdb3
6binB1.pdb1	6binC1.pdb1
6bilC1.pdb1	6bilB1.pdb1
6bixB1.pdb1	6bixC1.pdb1
6bizC1.pdb1	6bizB1.pdb1
6biyC1.pdb1	6biyB1.pdb1
2bi6H1.pdb1	2bi6L1.pdb1
6birA1.pdb1	6birC1.pdb1
6n9tF1.pdb2	6n9tB1.pdb2
3n95C1.pdb2	3n95E1.pdb2
3n93C1.pdb2	3n93B1.pdb2
2n9xB1.pdb1	2n9xA1.pdb1
3n96F1.pdb1	3n96D1.pdb1
2n9eA1.pdb1	2n9eB1.pdb1
5h43A1.pdb1	5h43C1.pdb1
2h4mC1.pdb1	2h4mA1.pdb1
6h41A1.pdb1	6h41B1.pdb1
5hb0C1.pdb3	5hb0G1.pdb3
5hb3D1.pdb2	5hb3C1.pdb2
6hbyA1.pdb1	6hbyC1.pdb1
2mpsA1.pdb1	2mpsB1.pdb1
5yb3E1.pdb1	5yb3G1.pdb1
2yb8A1.pdb1	2yb8B1.pdb1
2ybfA1.pdb1	2ybfB1.pdb1
5ujtD1.pdb2	5ujtF1.pdb2
2f31A1.pdb1	2f31B1.pdb1
3iecG1.pdb3	3iecC1.pdb3
5b6cB1.pdb1	5b6cA1.pdb1
3u23B1.pdb1	3u23A1.pdb1
4po6B1.pdb1	4po6A1.pdb1
4reyA1.pdb1	4reyB1.pdb1
1d5dB1.pdb1	1d5dA1.pdb1
3c4mC1.pdb1	3c4mA1.pdb1
2cciB1.pdb1	2cciF1.pdb1
6mm5C1.pdb1	6mm5E1.pdb1
4cc3C1.pdb2	4cc3D1.pdb2
4cc9B1.pdb1	4cc9C1.pdb1
4ccmB2.pdb1	4ccmD2.pdb1
4y3oB1.pdb1	4y3oD1.pdb1
2makA1.pdb1	2makD1.pdb1
2kxcB1.pdb1	2kxcA1.pdb1
2kxqB1.pdb1	2kxqA1.pdb1
5yt0A1.pdb1	5yt0B1.pdb1
2r02B1.pdb1	2r02A1.pdb1
2r05A1.pdb1	2r05B1.pdb1
2g47C1.pdb1	2g47A1.pdb1
2g48A1.pdb1	2g48C1.pdb1
5wtbD1.pdb1	5wtbH1.pdb1
3h3pS1.pdb1	3h3pH1.pdb1
5h3jB1.pdb1	5h3jA1.pdb1
1jkyB1.pdb1	1jkyA1.pdb1
1oebC1.pdb2	1oebB1.pdb2
3h3gA1.pdb1	3h3gB1.pdb1
6gvkA1.pdb1	6gvkB1.pdb1
6n7jH1.pdb2	6n7jC1.pdb2
2o02A1.pdb1	2o02P1.pdb1
5n74F1.pdb3	5n74M1.pdb3
5n7xP1.pdb3	5n7xO1.pdb3
3vhsB1.pdb1	3vhsA1.pdb1
5fw5B1.pdb1	5fw5C2.pdb1
4is6A1.pdb1	4is6C1.pdb1
4a62D1.pdb2	4a62B1.pdb2
3pvlB1.pdb1	3pvlA1.pdb1
4pvzB1.pdb2	4pvzD1.pdb2
2pv2B1.pdb1	2pv2E1.pdb1
2mwoA1.pdb1	2mwoB1.pdb1
6c0yI1.pdb1	6c0yE1.pdb1
3c0tA1.pdb1	3c0tB1.pdb1
4dj9B1.pdb1	4dj9A1.pdb1
4djsB1.pdb1	4djsA1.pdb1
2ao6B1.pdb1	2ao6A1.pdb1
3aa0C1.pdb1	3aa0B1.pdb1
3aa1C1.pdb1	3aa1B1.pdb1
6aafB1.pdb1	6aafA1.pdb1
3aa6B1.pdb1	3aa6C1.pdb1
5wn9H1.pdb1	5wn9A1.pdb1
3wn7M1.pdb2	3wn7L1.pdb2
2ap2Q1.pdb2	2ap2C1.pdb2
2m55A1.pdb1	2m55B1.pdb1
2mv7B1.pdb1	2mv7A1.pdb1
1o9kC1.pdb2	1o9kQ1.pdb2
1o9aA1.pdb1	1o9aB1.pdb1
2o9qC1.pdb1	2o9qA1.pdb1
2xc8C1.pdb1	2xc8B1.pdb1
4xc2A1.pdb1	4xc2E1.pdb1
5xcoB1.pdb1	5xcoA1.pdb1
3k48B1.pdb1	3k48T1.pdb1
6f8gD1.pdb2	6f8gG1.pdb2
4ajyV1.pdb1	4ajyH1.pdb1
2nd1B1.pdb1	2nd1A1.pdb1
2nd0B1.pdb1	2nd0A1.pdb1
5jtmB1.pdb1	5jtmF1.pdb1
1or8A1.pdb1	1or8B1.pdb1
2or9P1.pdb1	2or9H1.pdb1
3kujA1.pdb1	3kujB1.pdb1
2rqgA1.pdb1	2rqgB1.pdb1
2rquB1.pdb1	2rquA1.pdb1
4rqiF1.pdb1	4rqiB1.pdb1
5eayH1.pdb1	5eayA1.pdb1
2l8jA1.pdb1	2l8jB1.pdb1
5wzzE1.pdb3	5wzzC1.pdb3
5dmgH1.pdb1	5dmgP1.pdb1
4rwgA1.pdb1	4rwgD1.pdb1
3rwdD1.pdb2	3rwdF1.pdb2
5ip7B1.pdb1	5ip7Q1.pdb1
3bu3A1.pdb1	3bu3B1.pdb1
3buaG1.pdb4	3buaC1.pdb4
5buoB1.pdb1	5buoA1.pdb1
4bu0C1.pdb1	4bu0A1.pdb1
4bu1C1.pdb2	4bu1A1.pdb2
6o20F1.pdb1	6o20E1.pdb1
6pxuD1.pdb2	6pxuB1.pdb2
4ib5B1.pdb2	4ib5E1.pdb2
2ibfA1.pdb1	2ibfB1.pdb1
2yleA1.pdb1	2yleB1.pdb1
4gmnA1.pdb1	4gmnB1.pdb1
2becB1.pdb1	2becA1.pdb1
5mhcP1.pdb1	5mhcA1.pdb1
4cu4B1.pdb1	4cu4A1.pdb1
1fiwL1.pdb1	1fiwA1.pdb1
3ktrA1.pdb1	3ktrB1.pdb1
1r17B1.pdb2	1r17D1.pdb2
4jqiV1.pdb1	4jqiA1.pdb1
4jqxA1.pdb1	4jqxB1.pdb1
5zjzB1.pdb1	5zjzA1.pdb1
1hr8B2.pdb5	1hr8O2.pdb5
4lkxR1.pdb1	4lkxA1.pdb1
5zk5B1.pdb1	5zk5A1.pdb1
6cxgA1.pdb1	6cxgH1.pdb1
4riqF1.pdb1	4riqD1.pdb1
4irvH1.pdb4	4irvD1.pdb4
3e8uH1.pdb2	3e8uP1.pdb2
4l3oA1.pdb1	4l3oE1.pdb1
3l3xB1.pdb1	3l3xA1.pdb1
5yi7A1.pdb1	5yi7B1.pdb1
5yipB1.pdb1	5yipA1.pdb1
5yirB1.pdb3	5yirH1.pdb3
6atfD1.pdb2	6atfF1.pdb2
6atvM1.pdb1	6atvA1.pdb1
6at5A1.pdb1	6at5C1.pdb1
5hkpD1.pdb1	5hkpB1.pdb1
5hkzB1.pdb1	5hkzA1.pdb1
4z9vB1.pdb1	4z9vD1.pdb1
1egpA1.pdb1	1egpB1.pdb1
6jjyA1.pdb1	6jjyU1.pdb1
6gbeB1.pdb1	6gbeA1.pdb1
5ksaA1.pdb1	5ksaJ1.pdb1
3kndB1.pdb1	3kndA1.pdb1
2kwfB1.pdb1	2kwfA1.pdb1
2qbxD1.pdb3	2qbxB1.pdb3
1avfQ1.pdb2	1avfJ1.pdb2
6ro1B1.pdb1	6ro1A1.pdb1
3ro2B1.pdb1	3ro2A1.pdb1
3ro3A1.pdb1	3ro3B1.pdb1
2q0nB1.pdb1	2q0nA1.pdb1
5zz9A1.pdb1	5zz9E1.pdb1
3so6A1.pdb1	3so6Q1.pdb1
1nx1D1.pdb1	1nx1B1.pdb1
5nxqE1.pdb1	5nxqB1.pdb1
2y6sH1.pdb2	2y6sQ1.pdb2
2y65B1.pdb2	2y65X1.pdb2
5f0pB1.pdb1	5f0pD1.pdb1
6f0hD3.pdb1	6f0hC3.pdb1
6f0wS1.pdb1	6f0wA1.pdb1
1m46A1.pdb1	1m46B1.pdb1
2m41B1.pdb1	2m41A1.pdb1
1m45A1.pdb1	1m45B1.pdb1
5i22A1.pdb1	5i22B1.pdb1
1cjfB1.pdb1	1cjfD1.pdb1
6i2gB1.pdb1	6i2gA1.pdb1
3u86B1.pdb1	3u86A1.pdb1
2sebE1.pdb1	2sebB1.pdb1
4igaA1.pdb1	4igaB1.pdb1
4ig9B1.pdb1	4ig9A1.pdb1
5ig9C1.pdb2	5ig9K1.pdb2
4ig9E1.pdb3	4ig9F1.pdb3
4iimC1.pdb2	4iimA1.pdb2
4iioC1.pdb1	4iioB1.pdb1
1iwqA2.pdb2	1iwqB2.pdb2
6rr0L1.pdb3	6rr0C1.pdb3
6rrcA1.pdb2	6rrcD1.pdb2
3oe0I1.pdb1	3oe0A1.pdb1
3v3bD1.pdb1	3v3bA1.pdb1
3v30A1.pdb1	3v30B1.pdb1
3v31A1.pdb1	3v31B1.pdb1
5wa1B1.pdb1	5wa1A1.pdb1
2an6C1.pdb2	2an6G1.pdb2
5anrC2.pdb2	5anrB2.pdb2
5an5J1.pdb2	5an5D1.pdb2
3ukwB1.pdb1	3ukwC1.pdb1
3ukyB1.pdb1	3ukyC1.pdb1
2ht9X1.pdb1	2ht9A1.pdb1
4ikaD1.pdb1	4ikaA1.pdb1
1t08C1.pdb1	1t08A1.pdb1
1t01B1.pdb1	1t01A1.pdb1
5t0qB1.pdb1	5t0qA1.pdb1
5t0hY1.pdb1	5t0he1.pdb1
5f6lJ1.pdb1	5f6lA1.pdb1
3qrxB2.pdb2	3qrxA2.pdb2
1dkdE1.pdb1	1dkdA1.pdb1
5dk2D1.pdb2	5dk2E1.pdb2
5f74A1.pdb1	5f74B1.pdb1
6f7tA1.pdb1	6f7tD1.pdb1
2msrB1.pdb1	2msrA1.pdb1
1xwjA1.pdb1	1xwjB1.pdb1
5vlhY1.pdb1	5vlhA1.pdb1
5vlpA1.pdb1	5vlpZ1.pdb1
3tj6A1.pdb1	3tj6B1.pdb1
6feyB1.pdb1	6feyH1.pdb1
6feyB1.pdb1	6feyG1.pdb1
2fotC1.pdb1	2fotA1.pdb1
5fosC1.pdb1	5fosA1.pdb1
3dveB1.pdb1	3dveA1.pdb1
2gsiY1.pdb3	2gsiF1.pdb3
4bl0C1.pdb2	4bl0A1.pdb2
6am0B1.pdb1	6am0C1.pdb1
5jelA2.pdb2	5jelB2.pdb2
5jekB1.pdb2	5jekD1.pdb2
1tetP1.pdb1	1tetH1.pdb1
1thrI1.pdb1	1thrH1.pdb1
3btrC1.pdb1	3btrB1.pdb1
1l0aB1.pdb1	1l0aA1.pdb1
2kzuB1.pdb1	2kzuA1.pdb1
2dohX1.pdb1	2dohC1.pdb1
5dowD1.pdb2	5dowC1.pdb2
5jnbH1.pdb1	5jnbD1.pdb1
5mx2k1.pdb2	5mx2y1.pdb2
5yqgD1.pdb1	5yqgF1.pdb1
5gtbA1.pdb1	5gtbB1.pdb1
5gtuA1.pdb1	5gtuB1.pdb1
5y21A1.pdb1	5y21C1.pdb1
4qaeR1.pdb3	4qaeC1.pdb3
3i7kA1.pdb1	3i7kB1.pdb1
4yk6A1.pdb1	4yk6B1.pdb1
4i7dB1.pdb1	4i7dA1.pdb1
3i7lA1.pdb1	3i7lB1.pdb1
3i7nA1.pdb1	3i7nB1.pdb1
4i7cC1.pdb2	4i7cD1.pdb2
4s1zJ1.pdb3	4s1zC1.pdb3
6j2gA1.pdb1	6j2gC1.pdb1
4j24C1.pdb3	4j24K1.pdb3
4j26A1.pdb1	4j26I1.pdb1
1j2xA1.pdb1	1j2xB1.pdb1
1b8hD1.pdb1	1b8hB1.pdb1
1rxzA3.pdb1	1rxzB3.pdb1
4xekC1.pdb1	4xekA1.pdb1
4xefD1.pdb2	4xefE1.pdb2
6g07B1.pdb2	6g07Q1.pdb2
1g0yI1.pdb1	1g0yR1.pdb1
6g0yH1.pdb1	6g0yF1.pdb1
5c6hI1.pdb6	5c6hJ1.pdb6
5c6dC1.pdb1	5c6dA1.pdb1
3c66A1.pdb1	3c66C1.pdb1
5gnvA1.pdb1	5gnvB1.pdb1
3kjlG1.pdb3	3kjlC1.pdb3
1a81G1.pdb1	1a81H1.pdb1
5csiC1.pdb1	5csiB1.pdb1
5csjB1.pdb1	5csjC1.pdb1
2z34D1.pdb1	2z34B1.pdb1
3ve6B1.pdb1	3ve6A1.pdb1
5ve8E1.pdb2	5ve8B1.pdb2
2drmE1.pdb1	2drmA1.pdb1
6drtB1.pdb1	6drtE1.pdb1
5k9sA1.pdb1	5k9sB1.pdb1
3sgeM1.pdb2	3sgeJ1.pdb2
3w6kA1.pdb1	3w6kC1.pdb1
4ezpB1.pdb3	4ezpD1.pdb3
4ezuB4.pdb1	4ezuA4.pdb1
5ez0H1.pdb4	5ez0D1.pdb4
4ztdA1.pdb1	4ztdE1.pdb1
5ajoB1.pdb1	5ajoA1.pdb1
5onbE1.pdb3	5onbF1.pdb3
5onsA1.pdb1	5onsB1.pdb1
3phdA1.pdb1	3phdE1.pdb1
1vyjE1.pdb1	1vyjF1.pdb1
4ue1A1.pdb3	4ue1F1.pdb3
3pthB1.pdb1	3pthA1.pdb1
2pavV1.pdb1	2pavP1.pdb1
3o0eA1.pdb1	3o0eL1.pdb1
6o09H3.pdb1	6o09J3.pdb1
2kplB1.pdb1	2kplA1.pdb1
1g6gF1.pdb1	1g6gB1.pdb1
6g69H1.pdb2	6g69N1.pdb2
4g5qH1.pdb4	4g5qD1.pdb4
2g54C1.pdb1	2g54A1.pdb1
3g5yB1.pdb1	3g5yE1.pdb1
2zp9N1.pdb1	2zp9O1.pdb1
5wjcB1.pdb1	5wjcA1.pdb1
4wj7X1.pdb2	4wj7B1.pdb2
4wjvC1.pdb3	4wjvI1.pdb3
4wjoB1.pdb1	4wjoA1.pdb1
4wjqC1.pdb2	4wjqD1.pdb2
4wjwB1.pdb1	4wjwP1.pdb1
2ygvF1.pdb2	2ygvB1.pdb2
2ygvC1.pdb3	2ygvG1.pdb3
6q5lA1.pdb1	6q5lB1.pdb1
6h8cA1.pdb1	6h8cB1.pdb1
6q36D1.pdb1	6q36B1.pdb1
4tvqC1.pdb2	4tvqE1.pdb2
1r2bB1.pdb1	1r2bC1.pdb1
4dayA1.pdb1	4dayC1.pdb1
4mdjC1.pdb1	4mdjB1.pdb1
5mcqA1.pdb1	5mcqD1.pdb1
2mc1A1.pdb1	2mc1B1.pdb1
2mptB1.pdb1	2mptA1.pdb1
6mpzN1.pdb2	6mpzB1.pdb2
2mp2A1.pdb1	2mp2C1.pdb1
4jolH1.pdb2	4jolD1.pdb2
4jo6B1.pdb1	4jo6Z1.pdb1
4jo8B2.pdb1	4jo8A2.pdb1
6jjxB1.pdb2	6jjxD1.pdb2
6jjwA1.pdb1	6jjwU1.pdb1
3suiA1.pdb1	3suiB1.pdb1
1zw3A1.pdb1	1zw3B1.pdb1
1zw2B1.pdb1	1zw2A1.pdb1
5wbuQ1.pdb2	5wbuA1.pdb2
3wbnA1.pdb1	3wbnB1.pdb1
5wbhD1.pdb4	5wbhW1.pdb4
5tuvE1.pdb2	5tuvF1.pdb2
1sshA1.pdb1	1sshB1.pdb1
5xodA1.pdb1	5xodB1.pdb1
5ypzA1.pdb1	5ypzE1.pdb1
4z68E1.pdb1	4z68A1.pdb1
5ypuB1.pdb1	5ypuA1.pdb1
5yprA1.pdb1	5yprB1.pdb1
6hc8A1.pdb1	6hc8E1.pdb1
1hc9B1.pdb2	1hc9D1.pdb2
6e2pC1.pdb1	6e2pA1.pdb1
3zedD1.pdb3	3zedA1.pdb3
5txeA1.pdb1	5txeC1.pdb1
4txrA1.pdb1	4txrB1.pdb1
1utiD1.pdb1	1utiA1.pdb1
4utqZ1.pdb1	4utqA1.pdb1
4p2qC1.pdb1	4p2qA1.pdb1
4p2rB1.pdb1	4p2rC1.pdb1
4p2oA1.pdb1	4p2oP1.pdb1
5nhuH1.pdb1	5nhuI1.pdb1
4u6gP1.pdb1	4u6gH1.pdb1
1u6hB1.pdb1	1u6hA1.pdb1
4u6yA1.pdb1	4u6yP1.pdb1
5u66A1.pdb1	5u66B1.pdb1
5crvA1.pdb1	5crvC1.pdb1
4cr2R1.pdb1	4cr2Y1.pdb1
3um2D2.pdb1	3um2E2.pdb1
3ulrB1.pdb1	3ulrC1.pdb1
3tweB2.pdb1	3tweA2.pdb1
3twxC1.pdb1	3twxA1.pdb1
4twtB1.pdb1	4twtE1.pdb1
3twrF1.pdb2	3twrB1.pdb2
5twaB1.pdb2	5twaC1.pdb2
3twvC1.pdb3	3twvG1.pdb3
3twsA1.pdb1	3twsE1.pdb1
3twuB1.pdb1	3twuA1.pdb1
1ebaB2.pdb2	1ebaD2.pdb2
2fffA1.pdb1	2fffB1.pdb1
2ff6H1.pdb1	2ff6A1.pdb1
1pjmA1.pdb1	1pjmB1.pdb1
1pjnB1.pdb1	1pjnA1.pdb1
2q5dB1.pdb2	2q5dD1.pdb2
1zgyB1.pdb1	1zgyA1.pdb1
2jf1T1.pdb1	2jf1A1.pdb1
2jf9A2.pdb1	2jf9P2.pdb1
1dziC1.pdb1	1dziA1.pdb1
3dppC1.pdb2	3dppB1.pdb2
5h9dK1.pdb1	5h9dA1.pdb1
6h9jA1.pdb1	6h9jD1.pdb1
6h9nA1.pdb1	6h9nB1.pdb1
