4f66A1.pdb1	4f66B1.pdb1
4gxbA1.pdb1	4gxbB1.pdb1
5gxwB1.pdb1	5gxwA1.pdb1
1hfeL1.pdb3	1hfeS1.pdb3
1gx7A1.pdb1	1gx7E1.pdb1
1gx7D1.pdb1	1gx7E1.pdb1
6gx5A1.pdb1	6gx5B1.pdb1
4gxlA1.pdb1	4gxlB1.pdb1
3hf5B1.pdb2	3hf5C1.pdb2
6hfgB1.pdb1	6hfgB2.pdb1
1g60A1.pdb1	1g60B1.pdb1
4hflA2.pdb2	4hflA1.pdb2
4hfxB1.pdb2	4hfxC1.pdb2
1hf2D1.pdb2	1hf2C1.pdb2
2c4fT1.pdb1	2c4fU1.pdb1
5hftC1.pdb2	5hftD1.pdb2
2hxrA1.pdb1	2hxrB1.pdb1
5d93B1.pdb1	5d93A1.pdb1
6hf1D1.pdb1	6hf1C1.pdb1
4hfvA1.pdb1	4hfvA2.pdb1
4hfgB1.pdb1	4hfgA1.pdb1
3gfzA1.pdb1	3gfzB1.pdb1
3hftA1.pdb1	3hftA2.pdb1
4hfsA1.pdb1	4hfsB1.pdb1
3zylA1.pdb1	3zylB1.pdb1
3mlbB1.pdb1	3mlbA1.pdb1
3bj4A1.pdb1	3bj4B1.pdb1
1hfeL1.pdb3	1hfeM1.pdb3
1hfeT1.pdb3	1hfeS1.pdb3
3hfoB2.pdb1	3hfoA2.pdb1
3hf2A2.pdb1	3hf2B1.pdb1
2hfgH1.pdb1	2hfgR1.pdb1
2hfgR1.pdb1	2hfgL1.pdb1
1gmjA1.pdb1	1gmjB1.pdb1
2hf1B1.pdb3	2hf1A1.pdb3
5hfsB1.pdb1	5hfsA1.pdb1
3hfiA2.pdb1	3hfiA1.pdb1
3oi8A1.pdb1	3oi8B1.pdb1
6jcnA1.pdb1	6jcnB1.pdb1
6bmaB1.pdb1	6bmaA1.pdb1
4jcsA3.pdb1	4jcsA2.pdb1
2jcdB1.pdb1	2jcdA1.pdb1
1zi7B1.pdb5	1zi7A1.pdb5
5z2vB1.pdb1	5z2vA1.pdb1
4jcvC1.pdb1	4jcvE1.pdb1
5fszA1.pdb1	5fszA2.pdb1
6eyc61.pdb1	6eyc41.pdb1
6eyc71.pdb1	6eyc41.pdb1
3jc6E1.pdb1	3jc651.pdb1
3jc6C1.pdb1	3jc6E1.pdb1
3jc5C1.pdb1	3jc551.pdb1
2e9xF1.pdb2	2e9xG1.pdb2
3jc6C1.pdb1	3jc6A1.pdb1
2e9xC1.pdb3	2e9xH1.pdb3
3jc6E1.pdb1	3jc6B1.pdb1
3jc6E1.pdb1	3jc6A1.pdb1
3jc6E1.pdb1	3jc6D1.pdb1
3jc651.pdb1	3jc6B1.pdb1
3jc6B1.pdb1	3jc6A1.pdb1
2e9xF1.pdb2	2e9xH1.pdb2
3jc6A1.pdb1	3jc6D1.pdb1
1jchC1.pdb1	1jchA1.pdb1
4jcwA1.pdb1	4jcwB1.pdb1
3jc751.pdb1	3jc7A1.pdb1
5jcyA1.pdb1	5jcyB1.pdb1
4jc8B1.pdb3	4jc8A1.pdb3
5jcvA1.pdb1	5jcvA2.pdb1
5mz4B1.pdb1	5mz4A1.pdb1
4hkeB1.pdb1	4hkeA1.pdb1
4mzjA1.pdb1	4mzjT1.pdb1
5mzaB1.pdb1	5mzaA1.pdb1
5mz611.pdb1	5mz6B1.pdb1
4u3jC1.pdb1	4u3jB1.pdb1
6mzeE1.pdb1	6mzeL1.pdb1
3mzoA1.pdb2	3mzoA2.pdb2
1mz9A1.pdb1	1mz9E1.pdb1
6cojA1.pdb1	6cojB1.pdb1
6cojA1.pdb1	6cojA2.pdb1
4bzjA1.pdb1	4bzjB1.pdb1
3mzlF1.pdb2	3mzlH1.pdb2
5tbpD1.pdb3	5tbpB1.pdb3
1h16A2.pdb1	1h16A1.pdb1
3ipzA3.pdb2	3ipzA1.pdb2
5mzgA1.pdb1	5mzgB1.pdb1
1mzgB1.pdb1	1mzgA1.pdb1
4mkzA2.pdb1	4mkzA1.pdb1
4mz5C1.pdb1	4mz5E1.pdb1
1mzwB1.pdb1	1mzwA1.pdb1
5mzvC1.pdb1	5mzvB1.pdb1
1p9mA1.pdb1	1p9mC1.pdb1
4grwI1.pdb2	4grwD1.pdb2
2mzdB1.pdb1	2mzdA1.pdb1
3mzgA1.pdb1	3mzgB1.pdb1
5nl9A1.pdb1	5nl9B1.pdb1
4mzyA1.pdb1	4mzyA2.pdb1
3mzkB1.pdb1	3mzkC1.pdb1
3mzkB1.pdb1	3mzkA1.pdb1
2mz6A1.pdb1	2mz6B1.pdb1
3mz2B1.pdb1	3mz2A1.pdb1
6fijB1.pdb1	6fijA1.pdb1
4mzvA2.pdb1	4mzvA1.pdb1
3szpB1.pdb1	3szpA1.pdb1
4mtuA3.pdb1	4mtuA5.pdb1
3mzwA1.pdb1	3mzwB1.pdb1
2mzwA1.pdb1	2mzwB1.pdb1
6aitA1.pdb1	6aitC1.pdb1
6aikA1.pdb1	6aikB1.pdb1
3ahcA1.pdb1	3ahcA2.pdb1
2esrB1.pdb1	2esrA1.pdb1
2erqA1.pdb2	2erqB2.pdb2
4aipC1.pdb1	4aipA1.pdb1
2fbiA1.pdb1	2fbiA2.pdb1
5aiuA1.pdb1	5aiuC1.pdb1
5c6kA1.pdb1	5c6kB1.pdb1
6eifB1.pdb1	6eifA1.pdb1
5gjoB1.pdb1	5gjoA1.pdb1
1aipE1.pdb2	1aipG1.pdb2
1tfeA2.pdb1	1tfeA1.pdb1
4jkvA1.pdb1	4jkvB1.pdb1
1aieA2.pdb1	1aieA3.pdb1
1beoA2.pdb1	1beoA1.pdb1
4aihF1.pdb3	4aihE1.pdb3
3aiaB1.pdb1	3aiaA1.pdb1
3hxsA1.pdb1	3hxsB1.pdb1
5aieB1.pdb1	5aieA1.pdb1
1lo7A3.pdb1	1lo7A4.pdb1
2fiuA1.pdb1	2fiuB1.pdb1
3pobB1.pdb1	3pobA1.pdb1
4lo8A1.pdb1	4lo8B1.pdb1
3hr7B1.pdb1	3hr7A1.pdb1
2mxuC1.pdb1	2mxuB1.pdb1
5gz3B1.pdb1	5gz3A1.pdb1
2hyxC1.pdb2	2hyxD1.pdb2
2lo0B1.pdb1	2lo0A1.pdb1
5lowI1.pdb2	5lowM1.pdb2
1a25A1.pdb1	1a25B1.pdb1
2lozB1.pdb1	2lozA1.pdb1
6am0B1.pdb1	6am0A1.pdb1
2lo6B1.pdb1	2lo6A1.pdb1
2loxB1.pdb1	2loxA1.pdb1
4ymhB1.pdb1	4ymhA1.pdb1
5lorA1.pdb1	5lorB1.pdb1
4lowA1.pdb1	4lowB1.pdb1
5loiA2.pdb1	5loiA1.pdb1
5loqB1.pdb1	5loqE1.pdb1
5lo9B1.pdb1	5lo9A1.pdb1
2ywrA2.pdb2	2ywrA1.pdb2
6am0H1.pdb1	6am0E1.pdb1
5lodA1.pdb1	5lodB1.pdb1
5lndB1.pdb1	5lndA1.pdb1
1kxpD1.pdb1	1kxpA1.pdb1
5zmuD1.pdb2	5zmuC1.pdb2
5nygC1.pdb3	5nygB1.pdb3
4wy2A1.pdb1	4wy2A2.pdb1
4wybJ1.pdb5	4wybI1.pdb5
3dohA3.pdb1	3dohA2.pdb1
3hmpA2.pdb2	3hmpA1.pdb2
3bv6F1.pdb1	3bv6A1.pdb1
2wy3A1.pdb1	2wy3B1.pdb1
3wyfC1.pdb1	3wyfB1.pdb1
3wyfB1.pdb1	3wyfA1.pdb1
6crvA1.pdb1	6crvC1.pdb1
2wy2C1.pdb1	2wy2D1.pdb1
5xtzA1.pdb2	5xtzD1.pdb2
1wy5B1.pdb2	1wy5A1.pdb2
5cteC1.pdb1	5cteB1.pdb1
5wylC1.pdb2	5wylD1.pdb2
5wy3B1.pdb1	5wy3A1.pdb1
2wynB1.pdb1	2wynD1.pdb1
3wygC1.pdb1	3wygD1.pdb1
3wyrA2.pdb1	3wyrB2.pdb1
1wy9A1.pdb2	1wy9A2.pdb2
2wy8A1.pdb1	2wy8Q1.pdb1
5wyoA1.pdb1	5wyoB1.pdb1
2wyqA2.pdb1	2wyqA1.pdb1
3wy9B1.pdb2	3wy9D1.pdb2
5lpgB1.pdb1	5lpgA1.pdb1
4k5cB1.pdb1	4k5cA1.pdb1
2wyhA1.pdb1	2wyhB1.pdb1
5wy1A2.pdb1	5wy1A1.pdb1
1m0wA1.pdb1	1m0wB1.pdb1
5wy8A1.pdb1	5wy8B1.pdb1
4b4nA1.pdb1	4b4nB1.pdb1
2wy0C2.pdb1	2wy0C1.pdb1
1wywA1.pdb1	1wywB1.pdb1
4wy4C1.pdb1	4wy4B1.pdb1
4wy4C1.pdb1	4wy4D1.pdb1
4wy4C1.pdb1	4wy4A1.pdb1
4wy4B1.pdb1	4wy4D1.pdb1
4wy4B1.pdb1	4wy4A1.pdb1
4wy4D1.pdb1	4wy4A1.pdb1
3einA1.pdb1	3einA2.pdb1
1i07A1.pdb1	1i07B1.pdb1
5wygA1.pdb1	5wygC1.pdb1
3haeD1.pdb2	3haeI1.pdb2
1ypzG1.pdb1	1ypzC1.pdb1
6giyC1.pdb1	6giyA1.pdb1
6gj1C1.pdb1	6gj1D1.pdb1
6giyA1.pdb1	6giyB1.pdb1
6gj1A1.pdb1	6gj1D1.pdb1
6gjqC1.pdb2	6gjqD1.pdb2
2z6iA1.pdb1	2z6iB1.pdb1
1nnwB1.pdb1	1nnwA1.pdb1
1gjaB1.pdb1	1gjaA1.pdb1
2gj7F1.pdb1	2gj7A1.pdb1
3gj4C1.pdb2	3gj4D1.pdb2
3ch5B2.pdb1	3ch5A2.pdb1
6gjeD1.pdb1	6gjeA1.pdb1
6gjeD1.pdb1	6gjeC1.pdb1
2gj2A2.pdb4	2gj2C1.pdb4
5gjwF1.pdb1	5gjwB1.pdb1
4xa3B1.pdb1	4xa3A1.pdb1
3gjxE1.pdb2	3gjxD1.pdb2
3gjoA1.pdb1	3gjoE1.pdb1
3gjbA1.pdb3	3gjbB1.pdb3
6eb9A1.pdb1	6eb9A3.pdb1
6gjwD1.pdb1	6gjwA1.pdb1
2gjvA1.pdb1	2gjvF1.pdb1
5gjkA1.pdb1	5gjkB1.pdb1
5gjkA1.pdb1	5gjkA2.pdb1
1w9yA4.pdb1	1w9yA1.pdb1
2gjgA2.pdb1	2gjgA1.pdb1
6giyC1.pdb1	6giyG1.pdb1
3s2kB1.pdb1	3s2kC1.pdb1
4gjtA2.pdb1	4gjtB2.pdb1
1gjwA2.pdb1	1gjwA1.pdb1
4dxtA3.pdb1	4dxtA1.pdb1
1unnD1.pdb1	1unnA1.pdb1
4un2A1.pdb1	4un2B1.pdb1
5uniA2.pdb2	5uniB2.pdb2
5uniA2.pdb2	5uniA1.pdb2
1un0B1.pdb2	1un0D1.pdb2
3o0gD1.pdb1	3o0gA1.pdb1
5un031.pdb1	5un021.pdb1
5awiA1.pdb1	5awiB1.pdb1
3va1B1.pdb1	3va1A1.pdb1
5un7A1.pdb2	5un7A2.pdb2
5un7B1.pdb2	5un7B2.pdb2
5i3eA1.pdb1	5i3eB1.pdb1
1mscA1.pdb1	1mscA2.pdb1
5un5B1.pdb1	5un5C1.pdb1
5un5C1.pdb1	5un5D1.pdb1
6b2mC1.pdb1	6b2mE1.pdb1
3un9A2.pdb1	3un9A1.pdb1
4z24A1.pdb1	4z24B1.pdb1
2q1zA1.pdb1	2q1zB1.pdb1
1z2wA1.pdb3	1z2wB1.pdb3
4z2oA1.pdb1	4z2oA2.pdb1
2ofcB1.pdb2	2ofcA1.pdb2
3i0pA1.pdb1	3i0pA2.pdb1
5yugB1.pdb2	5yugE1.pdb2
4z2mB1.pdb1	4z2mI1.pdb1
4z2mB1.pdb1	4z2mH1.pdb1
5z2qC1.pdb1	5z2qB1.pdb1
6iybA1.pdb1	6iybB1.pdb1
5z25A3.pdb1	5z25A2.pdb1
5z2hA1.pdb1	5z2hB1.pdb1
2bnxB1.pdb1	2bnxA1.pdb1
2z2pB1.pdb1	2z2pA1.pdb1
2x7rC1.pdb1	2x7rN1.pdb1
3x0vA2.pdb1	3x0vA1.pdb1
6h9oA1.pdb1	6h9oB1.pdb1
6oitG1.pdb1	6oitF1.pdb1
6oitG1.pdb1	6oitB1.pdb1
6oitB1.pdb1	6oitE1.pdb1
6oitF1.pdb1	6oitE1.pdb1
1vk5A1.pdb2	1vk5A2.pdb2
6u5oQ1.pdb1	6u5oR1.pdb1
5t94B1.pdb1	5t94A1.pdb1
4oiiL1.pdb1	4oiiA1.pdb1
4oiiI1.pdb1	4oiiB1.pdb1
4c0hB1.pdb1	4c0hD1.pdb1
6oixF1.pdb1	6oixA1.pdb1
5ymyC1.pdb1	5ymyB1.pdb1
6oi7A1.pdb1	6oi7F1.pdb1
3oisC2.pdb5	3oisD2.pdb5
3oipA1.pdb1	3oipA2.pdb1
6oi7D1.pdb1	6oi7B1.pdb1
4oi3A1.pdb1	4oi3B1.pdb1
6m96A2.pdb1	6m96B2.pdb1
5d1rA1.pdb1	5d1rB1.pdb1
2oikC1.pdb2	2oikD1.pdb2
3oiqB1.pdb1	3oiqA1.pdb1
2oi2A2.pdb1	2oi2A1.pdb1
2cyeB1.pdb3	2cyeA1.pdb3
3oiiA1.pdb1	3oiiB1.pdb1
5oi7B1.pdb1	5oi7A1.pdb1
4ksrA2.pdb1	4ksrB2.pdb1
4mv3A1.pdb1	4mv3A2.pdb1
1d9kH1.pdb5	1d9kE1.pdb5
2z35A1.pdb1	2z35B1.pdb1
5v1yE1.pdb1	5v1yA1.pdb1
5l10E1.pdb3	5l10F1.pdb3
2l14B1.pdb1	2l14A1.pdb1
2l1bB1.pdb1	2l1bA1.pdb1
2yyeB1.pdb1	2yyeA1.pdb1
3l10A1.pdb1	3l10B1.pdb1
2l1wB1.pdb1	2l1wA1.pdb1
2l1cB1.pdb1	2l1cA1.pdb1
3mprB1.pdb1	3mprA1.pdb1
2l11A1.pdb1	2l11B1.pdb1
3pimA1.pdb1	3pimB1.pdb1
2pd2B3.pdb2	2pd2B1.pdb2
4ogrI1.pdb3	4ogrM1.pdb3
4or5B1.pdb1	4or5C1.pdb1
4or5E1.pdb1	4or5C1.pdb1
4or5E1.pdb1	4or5B1.pdb1
1l1oA1.pdb1	1l1oC1.pdb1
1fguB1.pdb1	1fguA1.pdb1
1l1oF1.pdb1	1l1oE1.pdb1
3l1zB2.pdb1	3l1zA1.pdb1
3ghfA2.pdb1	3ghfA1.pdb1
5vxjG1.pdb4	5vxjH1.pdb4
6b2rB1.pdb1	6b2rA1.pdb1
3ankA1.pdb2	3ankA2.pdb2
5aunB1.pdb1	5aunB2.pdb1
2vxbB1.pdb1	2vxbA1.pdb1
4gslB1.pdb1	4gslC1.pdb1
3vxcA1.pdb1	3vxcB1.pdb1
2vxqL1.pdb1	2vxqA1.pdb1
2vxqA1.pdb1	2vxqH1.pdb1
2vxtL1.pdb1	2vxtI1.pdb1
2vxtH1.pdb1	2vxtI1.pdb1
1vkiB1.pdb1	1vkiA1.pdb1
3vx7B1.pdb1	3vx7A1.pdb1
4qhuC1.pdb1	4qhuL1.pdb1
4qhuC1.pdb1	4qhuH1.pdb1
5vxyF1.pdb1	5vxyJ1.pdb1
2vx8A1.pdb1	2vx8B1.pdb1
3nr1A1.pdb1	3nr1B1.pdb1
5hi4B1.pdb1	5hi4C1.pdb1
3ruiA1.pdb1	3ruiA2.pdb1
1i12B1.pdb2	1i12D1.pdb2
2hzsA1.pdb8	2hzsB1.pdb8
4hzoA2.pdb1	4hzoA1.pdb1
5eocL1.pdb1	5eocP1.pdb1
6mehC1.pdb1	6mehH1.pdb1
5hz3A1.pdb1	5hz3B1.pdb1
5b21B1.pdb1	5b21A1.pdb1
5hz0B1.pdb1	5hz0A1.pdb1
2hzsL1.pdb8	2hzsH1.pdb8
2hzsH1.pdb8	2hzsB1.pdb8
2hzsI1.pdb8	2hzsB1.pdb8
3hzpA2.pdb1	3hzpA1.pdb1
5hzpC1.pdb1	5hzpD1.pdb1
5hzpC1.pdb1	5hzpA1.pdb1
6hz4A1.pdb1	6hz4B1.pdb1
6hz4D1.pdb1	6hz4M1.pdb1
6hz4N1.pdb1	6hz4M1.pdb1
4hz9C2.pdb1	4hz9B1.pdb1
4hz9A1.pdb1	4hz9C1.pdb1
2hzsE2.pdb6	2hzsG1.pdb6
5hzgF1.pdb2	5hzgE1.pdb2
5hs7A1.pdb1	5hs7B1.pdb1
6gn6C1.pdb1	6gn6D1.pdb1
1k51A1.pdb1	1k51A2.pdb1
2hzgA1.pdb1	2hzgB1.pdb1
5hzwA2.pdb1	5hzwB2.pdb1
3hzhB1.pdb1	3hzhA1.pdb1
3md3A2.pdb2	3md3A1.pdb2
5hzkB1.pdb1	5hzkA1.pdb1
2hz6A2.pdb1	2hz6A1.pdb1
6fnpH1.pdb2	6fnpF1.pdb2
4hzuT1.pdb1	4hzuS1.pdb1
4hzuS1.pdb1	4hzuB1.pdb1
4hz4A2.pdb1	4hz4A1.pdb1
3hzuA1.pdb1	3hzuA2.pdb1
1hz4A2.pdb2	1hz4A1.pdb2
5hz2A1.pdb1	5hz2A2.pdb1
3hz4A1.pdb1	3hz4B1.pdb1
3hzlA1.pdb2	3hzlA2.pdb2
4g6iA1.pdb1	4g6iB1.pdb1
2oqoA2.pdb1	2oqoA1.pdb1
4yzzA1.pdb1	4yzzD1.pdb1
5hz1A1.pdb1	5hz1B1.pdb1
3e9kA2.pdb1	3e9kA1.pdb1
5mlqB1.pdb1	5mlqA1.pdb1
3qxcA1.pdb1	3qxcA2.pdb1
4mlgC1.pdb2	4mlgD1.pdb2
4q2uI1.pdb3	4q2uJ1.pdb3
4q2uI1.pdb3	4q2uE1.pdb3
4nrnA1.pdb3	4nrnB1.pdb3
4mlbA1.pdb1	4mlbC1.pdb1
3mlfD1.pdb2	3mlfC1.pdb2
6ds5D1.pdb1	6ds5E1.pdb1
2e8eA2.pdb1	2e8eA1.pdb1
5mlaA1.pdb1	5mlaB1.pdb1
3mlsS1.pdb4	3mlsK1.pdb4
3mlsS1.pdb4	3mlsO1.pdb4
5mltA1.pdb1	5mltA2.pdb1
6mlcA4.pdb1	6mlcB4.pdb1
6o4mB2.pdb2	6o4mA2.pdb2
2mlxA1.pdb1	2mlxB1.pdb1
5mldF1.pdb2	5mldH1.pdb2
3ml4D1.pdb2	3ml4C1.pdb2
4cbvE1.pdb2	4cbvF1.pdb2
6mlmB1.pdb1	6mlmG1.pdb1
3mlvM1.pdb2	3mlvQ1.pdb2
3mlvQ1.pdb2	3mlvN1.pdb2
2aalA1.pdb1	2aalC1.pdb1
3mlqH1.pdb4	3mlqD1.pdb4
4ml7D1.pdb2	4ml7C1.pdb2
4mlmB1.pdb3	4mlmA1.pdb3
6mlkL1.pdb1	6mlkA1.pdb1
6mlkH1.pdb1	6mlkA1.pdb1
4ml9B1.pdb1	4ml9A1.pdb1
3jzfA1.pdb1	3jzfB1.pdb1
3mlrH1.pdb1	3mlrP1.pdb1
3mlrP1.pdb1	3mlrL1.pdb1
3znuF1.pdb1	3znuI1.pdb1
5ml9A1.pdb1	5ml9B1.pdb1
3ml1A1.pdb1	3ml1B1.pdb1
3q9dA2.pdb1	3q9dB2.pdb1
1xctD1.pdb2	1xctM1.pdb2
2xf7D1.pdb1	2xf7E1.pdb1
5odqF1.pdb1	5odqE1.pdb1
5xfaC1.pdb1	5xfaA1.pdb1
5xf9G1.pdb2	5xf9F1.pdb2
5xf9H1.pdb2	5xf9F1.pdb2
5xf9E1.pdb2	5xf9F1.pdb2
4xftA1.pdb3	4xftB1.pdb3
2w3xC1.pdb2	2w3xD1.pdb2
1xfsA1.pdb1	1xfsB1.pdb1
5xfsC1.pdb1	5xfsB1.pdb1
5xfsB1.pdb1	5xfsA1.pdb1
1k8tA2.pdb2	1k8tA1.pdb2
2xfvA1.pdb1	2xfvB1.pdb1
2xfxA1.pdb1	2xfxC1.pdb1
4xfmA1.pdb2	4xfmA2.pdb2
1rjcA1.pdb1	1rjcB1.pdb1
5xf861.pdb1	5xf8C1.pdb1
2xf1A1.pdb1	2xf1A2.pdb1
2zqbB1.pdb1	2zqbA1.pdb1
1jlyB1.pdb1	1jlyA1.pdb1
5b04F1.pdb1	5b04I1.pdb1
4jleA1.pdb1	4jleB1.pdb1
6jl9A1.pdb1	6jl9A2.pdb1
5jlbA1.pdb1	5jlbB1.pdb1
3ep6B1.pdb1	3ep6A1.pdb1
6no6B1.pdb1	6no6A1.pdb1
6qfbA2.pdb1	6qfbB2.pdb1
4n9gL1.pdb3	4n9gY1.pdb3
4n9gY1.pdb3	4n9gH1.pdb3
5jlvA1.pdb1	5jlvC1.pdb1
1jl9B1.pdb1	1jl9A1.pdb1
3qjgH1.pdb1	3qjgI1.pdb1
3s5lA1.pdb1	3s5lG1.pdb1
1d9kQ1.pdb5	1d9kG1.pdb5
3s5lB1.pdb1	3s5lG1.pdb1
1d9kQ1.pdb5	1d9kH1.pdb5
6jleE1.pdb1	6jleA1.pdb1
5ni9A1.pdb1	5ni9C1.pdb1
5ni9C1.pdb1	5ni9B1.pdb1
5l8wB1.pdb1	5l8wA1.pdb1
5k1cB1.pdb1	5k1cC1.pdb1
5k1cA1.pdb1	5k1cC1.pdb1
3bzyB2.pdb4	3bzyA2.pdb4
6jlbC1.pdb1	6jlbD1.pdb1
2wvqA1.pdb1	2wvqB1.pdb1
3wvqB1.pdb1	3wvqA1.pdb1
3wv9A1.pdb5	3wv9A2.pdb5
4wv4A1.pdb1	4wv4B1.pdb1
4wvdD1.pdb2	4wvdB1.pdb2
1wv9B1.pdb1	1wv9A1.pdb1
1ka2A1.pdb1	1ka2A2.pdb1
4wviD1.pdb1	4wviA1.pdb1
3wvaA1.pdb1	3wvaB1.pdb1
2zxxB1.pdb1	2zxxC1.pdb1
3wvzA1.pdb1	3wvzB1.pdb1
4wvmA1.pdb1	4wvmB1.pdb1
1wveA1.pdb1	1wveC1.pdb1
1e8gA4.pdb1	1e8gB4.pdb1
3wvoC1.pdb2	3wvoC2.pdb2
6f91G1.pdb4	6f91F1.pdb4
4wvjA1.pdb1	4wvjD1.pdb1
2wvlB1.pdb1	2wvlA1.pdb1
1wvvA3.pdb2	1wvvB3.pdb2
3grwH1.pdb1	3grwA1.pdb1
5wvoB1.pdb1	5wvoC1.pdb1
5wvoD1.pdb1	5wvoA1.pdb1
5wvoC1.pdb1	5wvoD1.pdb1
1wv8A1.pdb1	1wv8A2.pdb1
2jk3B1.pdb1	2jk3A1.pdb1
2epfD2.pdb5	2epfA1.pdb5
2f9iD1.pdb1	2f9iC1.pdb1
2f9iA1.pdb1	2f9iC1.pdb1
3hphD1.pdb1	3hphG1.pdb1
5jjfB2.pdb1	5jjfA2.pdb1
5jjfB2.pdb1	5jjfB1.pdb1
3t7dB1.pdb1	3t7dA1.pdb1
5f7kD1.pdb2	5f7kB1.pdb2
6f9dE1.pdb1	6f9dF1.pdb1
6f9dC1.pdb1	6f9dA1.pdb1
2f9zC1.pdb1	2f9zA1.pdb1
2f9jB1.pdb2	2f9jQ1.pdb2
3wmvA1.pdb1	3wmvB1.pdb1
3ngyA1.pdb1	3ngyB1.pdb1
3lqvP1.pdb1	3lqvA1.pdb1
4f9cA1.pdb1	4f9cB1.pdb1
6f9sB2.pdb1	6f9sA2.pdb1
3f9uB1.pdb1	3f9uA1.pdb1
1f93C1.pdb2	1f93G1.pdb2
4wilB2.pdb1	4wilA2.pdb1
1sjwA1.pdb2	1sjwA2.pdb2
4yp6B1.pdb1	4yp6A2.pdb1
6f9nA1.pdb1	6f9nB1.pdb1
3f9sA1.pdb1	3f9sB1.pdb1
6eniB1.pdb1	6eniA1.pdb1
2f9hA1.pdb1	2f9hB1.pdb1
2pigA1.pdb1	2pigB1.pdb1
4f98A1.pdb1	4f98A2.pdb1
6f9wA2.pdb1	6f9wB1.pdb1
6f9wB2.pdb1	6f9wB1.pdb1
2pgcB1.pdb1	2pgcA1.pdb1
1pguA1.pdb1	1pguB1.pdb1
3pg5D1.pdb6	3pg5B1.pdb6
3mtjA1.pdb1	3mtjA2.pdb1
1pg5B5.pdb1	1pg5A5.pdb1
2pg4B2.pdb2	2pg4A2.pdb2
5bjzA1.pdb2	5bjzL1.pdb2
5bk1H1.pdb1	5bk1A1.pdb1
3pg6D1.pdb1	3pg6A1.pdb1
1pg6A2.pdb2	1pg6A3.pdb2
2pg1C1.pdb2	2pg1K1.pdb2
2pg1G1.pdb3	2pg1B1.pdb3
2pg1J1.pdb2	2pg1H1.pdb2
2np9A2.pdb1	2np9B2.pdb1
2pg3A2.pdb1	2pg3A1.pdb1
1cd9B1.pdb1	1cd9A1.pdb1
2pg1L1.pdb3	2pg1K1.pdb3
5x3rB1.pdb2	5x3rC1.pdb2
4xtnJ1.pdb2	4xtnI1.pdb2
4d4oB1.pdb1	4d4oA1.pdb1
4x3nA1.pdb1	4x3nB1.pdb1
5ausA1.pdb1	5ausC1.pdb1
3afpB1.pdb1	3afpA1.pdb1
2gagC1.pdb1	2gagD1.pdb1
2gagC1.pdb1	2gagA1.pdb1
2gagD1.pdb1	2gagB1.pdb1
2gagB1.pdb1	2gagA1.pdb1
2gagD1.pdb1	2gagA1.pdb1
5ejwA2.pdb2	5ejwA1.pdb2
1v5vB1.pdb1	1v5vA1.pdb1
1x31B1.pdb3	1x31B2.pdb3
4x3lB1.pdb1	4x3lA1.pdb1
3x38C1.pdb2	3x38D1.pdb2
2x3hC1.pdb1	2x3hB1.pdb1
5x3xA1.pdb1	5x3xM1.pdb1
5x3xb1.pdb2	5x3xq1.pdb2
5x3xm1.pdb2	5x3xq1.pdb2
6on2C1.pdb1	6on2B1.pdb1
3x37B1.pdb1	3x37A1.pdb1
2x3gA1.pdb1	2x3gA2.pdb1
3x30A1.pdb1	3x30A2.pdb1
2x3jA1.pdb1	2x3jB1.pdb1
2x3lB1.pdb1	2x3lA1.pdb1
4x3gC1.pdb1	4x3gA1.pdb1
5x3fA3.pdb1	5x3fB3.pdb1
2x31C1.pdb1	2x31J1.pdb1
2x31C1.pdb1	2x31D1.pdb1
2x31K1.pdb1	2x31L1.pdb1
5x3tD1.pdb1	5x3tC1.pdb1
5x3tG1.pdb1	5x3tE1.pdb1
5x3tD1.pdb1	5x3tF1.pdb1
4od2A1.pdb1	4od2S1.pdb1
3x3fH1.pdb1	3x3fA1.pdb1
4x36A2.pdb1	4x36A1.pdb1
1x3zA1.pdb1	1x3zB1.pdb1
2x3wB1.pdb1	2x3wD1.pdb1
5x3dA1.pdb1	5x3dA2.pdb1
4faoV1.pdb4	4faoS1.pdb4
3fauB1.pdb3	3fauC1.pdb3
5gpgB1.pdb1	5gpgA1.pdb1
5fa0B1.pdb1	5fa0A1.pdb1
4fa8F1.pdb1	4fa8B1.pdb1
4fa8A1.pdb1	4fa8B1.pdb1
3fanA1.pdb2	3fanA2.pdb2
5cuyC1.pdb1	5cuyD1.pdb1
1fa2A4.pdb1	1fa2A2.pdb1
3favD1.pdb2	3favC1.pdb2
6f5cA1.pdb1	6f5cB1.pdb1
6fanC1.pdb4	6fanD1.pdb4
2odyE1.pdb1	2odyB1.pdb1
6faeA1.pdb1	6faeB1.pdb1
5fauD1.pdb2	5fauB1.pdb2
6fadA1.pdb1	6fadE1.pdb1
3falA1.pdb2	3falD1.pdb2
4fasB1.pdb1	4fasE1.pdb1
4n4jA1.pdb1	4n4jA3.pdb1
5ol2F1.pdb2	5ol2E1.pdb2
6fahA2.pdb1	6fahC2.pdb1
2fa5B1.pdb1	2fa5A1.pdb1
5fa8A1.pdb2	5fa8A2.pdb2
2fa1A1.pdb1	2fa1B1.pdb1
5fa4A1.pdb1	5fa4C1.pdb1
4fakA2.pdb1	4fakA1.pdb1
4fayA1.pdb1	4fayC1.pdb1
