2bgcI1.pdb4	2bgcH1.pdb4	2200.7
3bghA1.pdb2	3bghB1.pdb2	937.3
3bghA2.pdb2	3bghB1.pdb2	692.0
3bgwD1.pdb2	3bgwE1.pdb2	2260.05
3bgwD1.pdb2	3bgwF1.pdb2	29.1
3bgwE1.pdb2	3bgwF1.pdb2	2524.55
4bgwA3.pdb1	4bgwB1.pdb1	263.85
4bgwA3.pdb1	4bgwA2.pdb1	417.9
4bgwA3.pdb1	4bgwB2.pdb1	273.35
4bgwA3.pdb1	4bgwA1.pdb1	417.85
4bgwA3.pdb1	4bgwB3.pdb1	2385.0
4bgwB1.pdb1	4bgwA2.pdb1	273.4
4bgwB1.pdb1	4bgwB2.pdb1	1282.85
4bgwB1.pdb1	4bgwA1.pdb1	2385.0
4bgwB1.pdb1	4bgwB3.pdb1	1282.95
4bgwA2.pdb1	4bgwB2.pdb1	2385.05
4bgwA2.pdb1	4bgwA1.pdb1	417.9
4bgwA2.pdb1	4bgwB3.pdb1	263.9
4bgwB2.pdb1	4bgwA1.pdb1	263.9
4bgwB2.pdb1	4bgwB3.pdb1	1282.9
4bgwA1.pdb1	4bgwB3.pdb1	273.4
2bgnG1.pdb2	2bgnC1.pdb2	746.8
2bgnC1.pdb2	2bgnY1.pdb2	428.6
2bgnC1.pdb2	2bgnD1.pdb2	2169.7
2bgnH1.pdb2	2bgnD1.pdb2	769.75
2bgnZ1.pdb2	2bgnD1.pdb2	437.4
1bg9A2.pdb1	1bg9A1.pdb1	706.7
3bg0C1.pdb2	3bg0B1.pdb2	1563.5
3bg0C1.pdb2	3bg0D1.pdb2	2607.2
3bg0B1.pdb2	3bg0A1.pdb2	2691.95
3bgjB1.pdb1	3bgjA1.pdb1	1891.15
4bgnB3.pdb2	4bgnB2.pdb2	1056.8
4bgnB3.pdb2	4bgnB1.pdb2	1056.8
4bgnB2.pdb2	4bgnB4.pdb2	1056.8
4bgnB4.pdb2	4bgnB1.pdb2	1056.8
3bg0C1.pdb5	3bg0D1.pdb5	2607.2
6bgbA1.pdb1	6bgbB1.pdb1	706.6
4bg1A2.pdb1	4bg1A1.pdb1	3878.45
4bguC1.pdb1	4bguB1.pdb1	695.55
4bguC1.pdb1	4bguD1.pdb1	2094.95
4bguC1.pdb1	4bguA1.pdb1	135.55
4bguB1.pdb1	4bguD1.pdb1	139.0
4bguB1.pdb1	4bguA1.pdb1	2085.85
4bguD1.pdb1	4bguA1.pdb1	696.1
3bg3D1.pdb2	3bg3A1.pdb2	1505.15
3bgwA1.pdb3	3bgwB1.pdb3	2616.45
3bgwB1.pdb3	3bgwC1.pdb3	2831.15
4bgeF2.pdb3	4bgeC1.pdb3	1438.4
4bgeF2.pdb3	4bgeD2.pdb3	653.35
4bgeF2.pdb3	4bgeE2.pdb3	1526.9
4bgeC1.pdb3	4bgeD2.pdb3	1528.85
4bgeC1.pdb3	4bgeE2.pdb3	643.2
4bgeD2.pdb3	4bgeE2.pdb3	1428.7
3bgtD2.pdb3	3bgtC1.pdb3	2316.05
1bg6A2.pdb1	1bg6A1.pdb1	958.8
6bg0F1.pdb2	6bg0D1.pdb2	385.2
6bg0F1.pdb2	6bg0B1.pdb2	191.35
6bg0D1.pdb2	6bg0B1.pdb2	2124.9
3bg6B1.pdb1	3bg6A1.pdb1	2665.05
3bg6B1.pdb1	3bg6D1.pdb1	451.75
3bg6B1.pdb1	3bg6C1.pdb1	1160.2
3bg6A1.pdb1	3bg6D1.pdb1	1136.45
3bg6A1.pdb1	3bg6C1.pdb1	451.15
3bg6D1.pdb1	3bg6C1.pdb1	2628.9
3bg0A1.pdb1	3bg0F1.pdb1	148.85
3bg0A1.pdb1	3bg0B1.pdb1	2691.95
3bg0A1.pdb1	3bg0E1.pdb1	519.6
3bg0C1.pdb1	3bg0B1.pdb1	1563.5
3bg0C1.pdb1	3bg0D1.pdb1	2607.2
3bg0H1.pdb1	3bg0G1.pdb1	2592.25
3bg0F1.pdb1	3bg0B1.pdb1	183.7
3bg0F1.pdb1	3bg0E1.pdb1	2711.65
3bg0F1.pdb1	3bg0G1.pdb1	1605.8
3bg0B1.pdb1	3bg0E1.pdb1	138.4
4bgiA2.pdb2	4bgiB2.pdb2	1443.05
4bgiA2.pdb2	4bgiA1.pdb2	624.4
4bgiA2.pdb2	4bgiB1.pdb2	1510.8
4bgiB2.pdb2	4bgiA1.pdb2	1510.8
4bgiB2.pdb2	4bgiB1.pdb2	706.9
4bgiA1.pdb2	4bgiB1.pdb2	1443.05
6bg8A1.pdb3	6bg8B2.pdb3	206.45
2bg5C1.pdb2	2bg5D1.pdb2	1777.7
3bgrB1.pdb1	3bgrA1.pdb1	2521.5
1bgsF1.pdb2	1bgsB1.pdb2	772.35
4bgiD2.pdb3	4bgiE2.pdb3	1429.35
4bgiD2.pdb3	4bgiF2.pdb3	650.1
4bgiD2.pdb3	4bgiC1.pdb3	1511.75
4bgiE2.pdb3	4bgiF2.pdb3	1515.8
4bgiE2.pdb3	4bgiC1.pdb3	621.85
4bgiF2.pdb3	4bgiC1.pdb3	1437.45
4bgaA1.pdb1	4bgaC1.pdb1	703.85
4bgnA4.pdb1	4bgnA3.pdb1	1208.6
4bgnA4.pdb1	4bgnA1.pdb1	1208.6
4bgnA3.pdb1	4bgnA2.pdb1	1208.6
4bgnA2.pdb1	4bgnA1.pdb1	1208.6
3bgoP1.pdb2	3bgoS2.pdb2	349.75
3bgmB1.pdb1	3bgmA1.pdb1	1293.5
3bgmA1.pdb1	3bgmC1.pdb1	798.8
2bggA1.pdb1	2bggQ1.pdb1	512.8
2bggA1.pdb1	2bggP1.pdb1	648.35
2bggQ1.pdb1	2bggP1.pdb1	289.3
3bg1B1.pdb4	3bg1A1.pdb4	2658.8
2bggR1.pdb2	2bggB1.pdb2	663.25
2bggR1.pdb2	2bggS1.pdb2	288.8
2bggB1.pdb2	2bggS1.pdb2	234.75
2bg5B1.pdb1	2bg5A1.pdb1	1785.7
6bgbC2.pdb2	6bgbC1.pdb2	702.7
4bg8A1.pdb1	4bg8B1.pdb1	1468.4
3bg5A1.pdb1	3bg5D1.pdb1	1506.45
3bg5A1.pdb1	3bg5C1.pdb1	2611.25
3bg5A1.pdb1	3bg5B1.pdb1	975.0
3bg5D1.pdb1	3bg5C1.pdb1	1063.85
3bg5D1.pdb1	3bg5B1.pdb1	2659.25
3bg5C1.pdb1	3bg5B1.pdb1	1439.55
4bglC1.pdb1	4bglB1.pdb1	445.3
4bglC1.pdb1	4bglA1.pdb1	1174.4
4bglC1.pdb1	4bglD1.pdb1	866.9
4bglB1.pdb1	4bglA1.pdb1	861.35
4bglB1.pdb1	4bglD1.pdb1	1169.7
4bglA1.pdb1	4bglD1.pdb1	447.45
6bgqK1.pdb1	6bgqA1.pdb1	175.1
6bgqK1.pdb1	6bgqB1.pdb1	370.45
6bgqA1.pdb1	6bgqB1.pdb1	2124.65
1bgxT1.pdb1	1bgxL1.pdb1	1380.1
1bgxT1.pdb1	1bgxH1.pdb1	1612.55
1bgxL1.pdb1	1bgxH1.pdb1	1704.8
3bg1F1.pdb6	3bg1E1.pdb6	2666.75
3bgfL1.pdb2	3bgfH1.pdb2	1850.9
3bgfL1.pdb2	3bgfS1.pdb2	216.75
3bgfH1.pdb2	3bgfS1.pdb2	593.5
1bgvA4.pdb1	1bgvA6.pdb1	1076.85
1bgvA4.pdb1	1bgvA3.pdb1	1275.0
1bgvA4.pdb1	1bgvA5.pdb1	1076.85
1bgvA4.pdb1	1bgvA2.pdb1	588.5
1bgvA6.pdb1	1bgvA1.pdb1	1275.0
1bgvA6.pdb1	1bgvA3.pdb1	588.5
1bgvA6.pdb1	1bgvA5.pdb1	1076.85
1bgvA1.pdb1	1bgvA3.pdb1	1076.8
1bgvA1.pdb1	1bgvA5.pdb1	588.5
1bgvA1.pdb1	1bgvA2.pdb1	1076.85
1bgvA3.pdb1	1bgvA2.pdb1	1076.8
1bgvA5.pdb1	1bgvA2.pdb1	1275.0
2bgcF1.pdb3	2bgcG1.pdb3	2267.7
3bg1D1.pdb5	3bg1C1.pdb5	2563.3
2bgmA3.pdb1	2bgmA1.pdb1	1670.1
2bgmA3.pdb1	2bgmA4.pdb1	1075.6
2bgmA3.pdb1	2bgmA2.pdb1	1632.6
2bgmA1.pdb1	2bgmA4.pdb1	1632.6
2bgmA1.pdb1	2bgmA2.pdb1	1075.6
2bgmA4.pdb1	2bgmA2.pdb1	1670.1
1bg7A10.pdb1	1bg7A11.pdb1	25.7
1bg7A10.pdb1	1bg7A24.pdb1	583.4
1bg7A10.pdb1	1bg7A21.pdb1	583.4
1bg7A10.pdb1	1bg7A5.pdb1	441.65
1bg7A10.pdb1	1bg7A4.pdb1	442.45
1bg7A10.pdb1	1bg7A13.pdb1	1429.85
1bg7A16.pdb1	1bg7A17.pdb1	443.1
1bg7A16.pdb1	1bg7A9.pdb1	1429.85
1bg7A16.pdb1	1bg7A8.pdb1	584.1
1bg7A16.pdb1	1bg7A5.pdb1	583.15
1bg7A16.pdb1	1bg7A22.pdb1	442.45
1bg7A16.pdb1	1bg7A13.pdb1	24.8
1bg7A11.pdb1	1bg7A24.pdb1	583.4
1bg7A11.pdb1	1bg7A3.pdb1	442.45
1bg7A11.pdb1	1bg7A14.pdb1	1429.85
1bg7A11.pdb1	1bg7A21.pdb1	583.4
1bg7A11.pdb1	1bg7A7.pdb1	441.65
1bg7A17.pdb1	1bg7A1.pdb1	584.1
1bg7A17.pdb1	1bg7A5.pdb1	1431.3
1bg7A17.pdb1	1bg7A22.pdb1	441.65
1bg7A17.pdb1	1bg7A4.pdb1	583.15
1bg7A17.pdb1	1bg7A20.pdb1	25.5
1bg7A23.pdb1	1bg7A9.pdb1	583.4
1bg7A23.pdb1	1bg7A19.pdb1	441.65
1bg7A23.pdb1	1bg7A12.pdb1	583.4
1bg7A23.pdb1	1bg7A2.pdb1	1429.85
1bg7A23.pdb1	1bg7A22.pdb1	25.6
1bg7A23.pdb1	1bg7A15.pdb1	442.45
1bg7A24.pdb1	1bg7A3.pdb1	1429.85
1bg7A24.pdb1	1bg7A21.pdb1	25.7
1bg7A24.pdb1	1bg7A13.pdb1	442.45
1bg7A24.pdb1	1bg7A18.pdb1	441.65
1bg7A9.pdb1	1bg7A8.pdb1	441.65
1bg7A9.pdb1	1bg7A12.pdb1	25.6
1bg7A9.pdb1	1bg7A2.pdb1	442.45
1bg7A9.pdb1	1bg7A22.pdb1	583.4
1bg7A3.pdb1	1bg7A19.pdb1	583.15
1bg7A3.pdb1	1bg7A2.pdb1	24.8
1bg7A3.pdb1	1bg7A7.pdb1	443.1
1bg7A3.pdb1	1bg7A18.pdb1	584.1
1bg7A1.pdb1	1bg7A12.pdb1	442.45
1bg7A1.pdb1	1bg7A22.pdb1	1429.85
1bg7A1.pdb1	1bg7A4.pdb1	24.8
1bg7A1.pdb1	1bg7A6.pdb1	443.1
1bg7A1.pdb1	1bg7A20.pdb1	583.15
1bg7A8.pdb1	1bg7A2.pdb1	443.1
1bg7A8.pdb1	1bg7A5.pdb1	25.5
1bg7A8.pdb1	1bg7A13.pdb1	583.15
1bg7A8.pdb1	1bg7A18.pdb1	1431.3
1bg7A19.pdb1	1bg7A2.pdb1	584.1
1bg7A19.pdb1	1bg7A7.pdb1	1431.3
1bg7A19.pdb1	1bg7A15.pdb1	443.1
1bg7A19.pdb1	1bg7A18.pdb1	25.5
1bg7A14.pdb1	1bg7A21.pdb1	442.45
1bg7A14.pdb1	1bg7A7.pdb1	584.1
1bg7A14.pdb1	1bg7A6.pdb1	583.15
1bg7A14.pdb1	1bg7A15.pdb1	24.8
1bg7A14.pdb1	1bg7A20.pdb1	443.1
1bg7A12.pdb1	1bg7A22.pdb1	583.4
1bg7A12.pdb1	1bg7A6.pdb1	441.65
1bg7A12.pdb1	1bg7A15.pdb1	1429.85
1bg7A21.pdb1	1bg7A4.pdb1	1429.85
1bg7A21.pdb1	1bg7A20.pdb1	441.65
1bg7A2.pdb1	1bg7A18.pdb1	583.15
1bg7A5.pdb1	1bg7A4.pdb1	443.1
1bg7A5.pdb1	1bg7A13.pdb1	584.1
1bg7A7.pdb1	1bg7A6.pdb1	25.5
1bg7A7.pdb1	1bg7A15.pdb1	583.15
1bg7A4.pdb1	1bg7A20.pdb1	584.1
1bg7A6.pdb1	1bg7A15.pdb1	584.1
1bg7A6.pdb1	1bg7A20.pdb1	1431.3
1bg7A13.pdb1	1bg7A18.pdb1	443.1
6bgqL1.pdb2	6bgqD1.pdb2	373.05
6bgqL1.pdb2	6bgqC1.pdb2	181.45
6bgqD1.pdb2	6bgqC1.pdb2	2127.75
6bgtB1.pdb1	6bgtC1.pdb1	573.25
6bgtB1.pdb1	6bgtA1.pdb1	1662.95
6bgtC1.pdb1	6bgtA1.pdb1	449.45
3bgcA1.pdb1	3bgcB1.pdb1	1809.45
2bgcA1.pdb1	2bgcB1.pdb1	2259.65
3bg3A1.pdb1	3bg3D1.pdb1	1505.15
3bg3A1.pdb1	3bg3C1.pdb1	383.35
3bg3A1.pdb1	3bg3B1.pdb1	765.8
3bg3D1.pdb1	3bg3C1.pdb1	383.75
3bg3D1.pdb1	3bg3B1.pdb1	481.5
3bg3C1.pdb1	3bg3B1.pdb1	1379.65
6bg7C1.pdb1	6bg7B1.pdb1	1082.85
6bg7C1.pdb1	6bg7A1.pdb1	1123.55
6bg7B1.pdb1	6bg7A1.pdb1	1151.85
3bg0B1.pdb4	3bg0A1.pdb4	2688.05
1bgwA2.pdb1	1bgwA1.pdb1	2692.8
6bgeA2.pdb1	6bgeB6.pdb1	1949.0
6bgeA2.pdb1	6bgeB4.pdb1	1981.8
6bgeA2.pdb1	6bgeA1.pdb1	4.9
6bgeA2.pdb1	6bgeA3.pdb1	4.85
6bgeB6.pdb1	6bgeB4.pdb1	3.95
6bgeB6.pdb1	6bgeA1.pdb1	1981.7
6bgeB6.pdb1	6bgeB5.pdb1	3.95
6bgeB4.pdb1	6bgeB5.pdb1	3.95
6bgeB4.pdb1	6bgeA3.pdb1	1948.95
6bgeA1.pdb1	6bgeB5.pdb1	1948.95
6bgeA1.pdb1	6bgeA3.pdb1	4.85
6bgeB5.pdb1	6bgeA3.pdb1	1981.75
4bgiD2.pdb1	4bgiE2.pdb1	1429.35
4bgiD2.pdb1	4bgiF2.pdb1	650.1
4bgiD2.pdb1	4bgiC1.pdb1	1511.75
4bgiE2.pdb1	4bgiF2.pdb1	1515.8
4bgiE2.pdb1	4bgiC1.pdb1	621.85
4bgiF2.pdb1	4bgiC1.pdb1	1437.45
6bgkB1.pdb2	6bgkD1.pdb2	2174.15
6bgkB1.pdb2	6bgkH1.pdb2	200.95
6bgkD1.pdb2	6bgkH1.pdb2	376.0
4bg9A2.pdb1	4bg9A1.pdb1	1514.2
3bg1H1.pdb7	3bg1G1.pdb7	2558.85
2bglA3.pdb1	2bglA2.pdb1	1654.7
2bglA3.pdb1	2bglA4.pdb1	1012.1
2bglA3.pdb1	2bglA1.pdb1	1604.1
2bglA2.pdb1	2bglA4.pdb1	1604.1
2bglA2.pdb1	2bglA1.pdb1	1012.1
2bglA4.pdb1	2bglA1.pdb1	1654.7
1bgnA2.pdb1	1bgnA1.pdb1	1316.7
6bgjB1.pdb1	6bgjA1.pdb1	604.35
