5zlzI1.pdb1	5zlzE1.pdb1	1223.6
4zl5C1.pdb1	4zl5A1.pdb1	13.1
4zl5C1.pdb1	4zl5B1.pdb1	959.55
4zl5F2.pdb1	4zl5F1.pdb1	17.9
4zl5F2.pdb1	4zl5A4.pdb1	439.8
4zl5F2.pdb1	4zl5E2.pdb1	436.05
4zl5F1.pdb1	4zl5A1.pdb1	943.1
4zl5A1.pdb1	4zl5E4.pdb1	436.65
4zl5D2.pdb1	4zl5A4.pdb1	470.65
4zl5D2.pdb1	4zl5B4.pdb1	436.45
4zl5D2.pdb1	4zl5E4.pdb1	14.5
4zl5D2.pdb1	4zl5E2.pdb1	945.0
4zl5A4.pdb1	4zl5E4.pdb1	482.8
4zl5A4.pdb1	4zl5E2.pdb1	436.65
4zl5B1.pdb1	4zl5B4.pdb1	482.55
2zluB2.pdb1	2zluB1.pdb1	43.1
2zluB2.pdb1	2zluA1.pdb1	493.35
2zluB2.pdb1	2zluA2.pdb1	916.85
2zluB1.pdb1	2zluA1.pdb1	916.85
2zluB1.pdb1	2zluA2.pdb1	493.35
2zluA1.pdb1	2zluA2.pdb1	155.5
3zl6B1.pdb1	3zl6A1.pdb1	1911.1
4zllA2.pdb1	4zllA1.pdb1	3295.3
4zllA2.pdb1	4zllA3.pdb1	3295.2
4zllA1.pdb1	4zllA3.pdb1	3295.25
2zlwD1.pdb3	2zlwC1.pdb3	879.7
1zljE1.pdb3	1zljF1.pdb3	501.1
5zl2B2.pdb2	5zl2B3.pdb2	5095.75
5zl2B2.pdb2	5zl2B1.pdb2	5095.75
5zl2B3.pdb2	5zl2B1.pdb2	5095.75
4zlvA1.pdb1	4zlvB1.pdb1	5744.45
1zl5A2.pdb2	1zl5B1.pdb2	141.25
1zl5A2.pdb2	1zl5B2.pdb2	1181.2
1zl5A2.pdb2	1zl5A1.pdb2	556.8
1zl5B1.pdb2	1zl5A1.pdb2	1181.2
1zl5B2.pdb2	1zl5A1.pdb2	141.25
2zlwA1.pdb2	2zlwB1.pdb2	886.6
2zltB1.pdb2	2zltA1.pdb2	912.15
3zlqA1.pdb1	3zlqB1.pdb1	737.55
3zlqA1.pdb1	3zlqC1.pdb1	785.95
3zlqB1.pdb1	3zlqD1.pdb1	813.15
5zl1A5.pdb1	5zl1A4.pdb1	1428.2
5zl1A5.pdb1	5zl1A3.pdb1	164.95
5zl1A5.pdb1	5zl1A6.pdb1	1428.2
5zl1A1.pdb1	5zl1A4.pdb1	165.0
5zl1A1.pdb1	5zl1A2.pdb1	1428.2
5zl1A1.pdb1	5zl1A3.pdb1	1428.2
5zl1A4.pdb1	5zl1A6.pdb1	1428.15
5zl1A2.pdb1	5zl1A3.pdb1	1428.15
5zl1A2.pdb1	5zl1A6.pdb1	165.0
2zl7A1.pdb1	2zl7B1.pdb1	1537.6
3zlpg1.pdb4	3zlph1.pdb4	1214.4
3zlpg1.pdb4	3zlpf1.pdb4	781.4
3zlph1.pdb4	3zlpi1.pdb4	793.35
3zlpe1.pdb4	3zlpn1.pdb4	706.75
3zlpe1.pdb4	3zlpf1.pdb4	1133.6
3zlpl1.pdb4	3zlpk1.pdb4	1195.95
3zlpl1.pdb4	3zlpm1.pdb4	693.2
3zlpn1.pdb4	3zlpm1.pdb4	1113.35
3zlpk1.pdb4	3zlpj1.pdb4	629.0
3zlpj1.pdb4	3zlpi1.pdb4	1330.9
4zlaE1.pdb1	4zlaC1.pdb1	1095.55
4zlaE1.pdb1	4zlaA1.pdb1	1298.45
4zlaE1.pdb1	4zlaD1.pdb1	1104.05
4zlaE1.pdb1	4zlaB1.pdb1	582.55
4zlaC1.pdb1	4zlaF1.pdb1	1305.55
4zlaC1.pdb1	4zlaA1.pdb1	596.5
4zlaC1.pdb1	4zlaD1.pdb1	1093.8
4zlaF1.pdb1	4zlaA1.pdb1	1100.1
4zlaF1.pdb1	4zlaD1.pdb1	633.35
4zlaF1.pdb1	4zlaB1.pdb1	1105.35
4zlaA1.pdb1	4zlaD1.pdb1	7.1
4zlaA1.pdb1	4zlaB1.pdb1	1103.75
4zlaD1.pdb1	4zlaB1.pdb1	1291.85
1zljG1.pdb4	1zljH1.pdb4	488.2
2zlxA1.pdb1	2zlxB1.pdb1	874.0
5zlaC1.pdb2	5zlaF1.pdb2	2804.75
5zlaC1.pdb2	5zlaE1.pdb2	2828.85
5zlaF1.pdb2	5zlaE1.pdb2	2780.2
4zliA2.pdb1	4zliA1.pdb1	2755.55
1zl9B1.pdb1	1zl9A1.pdb1	1267.55
4zleA2.pdb1	4zleA1.pdb1	2729.25
4zlbA1.pdb1	4zlbB1.pdb1	1706.4
2zltB2.pdb1	2zltA1.pdb1	514.45
2zltB2.pdb1	2zltB1.pdb1	0.5
2zltB2.pdb1	2zltA2.pdb1	912.15
2zltA1.pdb1	2zltB1.pdb1	912.15
2zltA1.pdb1	2zltA2.pdb1	186.1
2zltB1.pdb1	2zltA2.pdb1	514.45
3zldA1.pdb1	3zldB1.pdb1	1634.1
5zleA1.pdb1	5zleA2.pdb1	1627.2
3zlpJ1.pdb1	3zlpI1.pdb1	1198.95
3zlpJ1.pdb1	3zlpA1.pdb1	730.5
3zlpB1.pdb1	3zlpA1.pdb1	1139.9
3zlpB1.pdb1	3zlpC1.pdb1	700.15
3zlpI1.pdb1	3zlpH1.pdb1	771.6
3zlpE1.pdb1	3zlpF1.pdb1	1211.5
3zlpE1.pdb1	3zlpD1.pdb1	742.05
3zlpF1.pdb1	3zlpG1.pdb1	727.25
3zlpD1.pdb1	3zlpC1.pdb1	1238.15
3zlpH1.pdb1	3zlpG1.pdb1	1164.1
1zl6B1.pdb1	1zl6A1.pdb1	1149.2
3zl4L1.pdb1	3zl4H1.pdb1	1826.55
2zlfA1.pdb1	2zlfA2.pdb1	1516.1
2zlfA1.pdb1	2zlfB1.pdb1	448.2
2zlfA2.pdb1	2zlfB2.pdb1	448.2
3zlzB2.pdb3	3zlzB3.pdb3	203.05
3zlzB2.pdb3	3zlzB1.pdb3	202.6
3zlzB3.pdb3	3zlzB1.pdb3	203.5
4zltA1.pdb2	4zltL1.pdb2	1426.15
5zl6A1.pdb1	5zl6B1.pdb1	2564.6
4zlgA2.pdb1	4zlgA1.pdb1	2761.5
4zlkA1.pdb1	4zlkB1.pdb1	1416.4
4zlnA1.pdb1	4zlnA3.pdb1	3542.55
4zlnA1.pdb1	4zlnA2.pdb1	3542.55
4zlnA3.pdb1	4zlnA2.pdb1	3542.6
5zltC1.pdb1	5zltD1.pdb1	1906.4
5zltC1.pdb1	5zltA1.pdb1	380.85
5zltC1.pdb1	5zltB1.pdb1	689.05
5zltD1.pdb1	5zltA1.pdb1	696.9
5zltD1.pdb1	5zltB1.pdb1	312.25
5zltA1.pdb1	5zltB1.pdb1	1925.85
4zlhA1.pdb1	4zlhB1.pdb1	1245.3
2zlvA1.pdb1	2zlvB2.pdb1	486.2
2zlvA1.pdb1	2zlvA2.pdb1	263.1
2zlvA1.pdb1	2zlvB1.pdb1	865.4
2zlvB2.pdb1	2zlvA2.pdb1	865.4
2zlvB2.pdb1	2zlvB1.pdb1	219.5
2zlvA2.pdb1	2zlvB1.pdb1	486.2
5zlgA1.pdb1	5zlgA2.pdb1	1647.25
1zl7A2.pdb2	1zl7A1.pdb2	1061.85
1zl2A1.pdb1	1zl2E1.pdb1	1013.9
1zl2A1.pdb1	1zl2B1.pdb1	194.2
1zl2A1.pdb1	1zl2F1.pdb1	2006.0
1zl2A1.pdb1	1zl2C1.pdb1	189.35
1zl2E1.pdb1	1zl2F1.pdb1	192.1
1zl2E1.pdb1	1zl2C1.pdb1	1898.85
1zl2E1.pdb1	1zl2D1.pdb1	181.6
1zl2B1.pdb1	1zl2F1.pdb1	1004.9
1zl2B1.pdb1	1zl2C1.pdb1	175.0
1zl2B1.pdb1	1zl2D1.pdb1	2056.65
1zl2F1.pdb1	1zl2D1.pdb1	189.15
1zl2C1.pdb1	1zl2D1.pdb1	1004.4
4zlsB1.pdb1	4zlsA1.pdb1	1794.7
2zl9C1.pdb1	2zl9A1.pdb1	508.45
4zlfA2.pdb1	4zlfA1.pdb1	2763.5
4zlpA1.pdb1	4zlpB1.pdb1	535.35
2zl0J1.pdb1	2zl0D1.pdb1	106.85
2zl0J1.pdb1	2zl0C1.pdb1	774.4
2zl0J1.pdb1	2zl0I1.pdb1	1102.65
2zl0J1.pdb1	2zl0B1.pdb1	18.9
2zl0J1.pdb1	2zl0K1.pdb1	1105.3
2zl0M1.pdb1	2zl0L1.pdb1	1085.5
2zl0M1.pdb1	2zl0N1.pdb1	1113.3
2zl0M1.pdb1	2zl0G1.pdb1	106.85
2zl0M1.pdb1	2zl0F1.pdb1	754.95
2zl0M1.pdb1	2zl0E1.pdb1	9.95
2zl0D1.pdb1	2zl0C1.pdb1	1110.05
2zl0D1.pdb1	2zl0L1.pdb1	15.6
2zl0D1.pdb1	2zl0K1.pdb1	769.9
2zl0D1.pdb1	2zl0E1.pdb1	1111.2
2zl0C1.pdb1	2zl0I1.pdb1	109.95
2zl0C1.pdb1	2zl0B1.pdb1	1090.15
2zl0C1.pdb1	2zl0K1.pdb1	13.05
2zl0L1.pdb1	2zl0K1.pdb1	1112.55
2zl0L1.pdb1	2zl0F1.pdb1	119.75
2zl0L1.pdb1	2zl0E1.pdb1	754.0
2zl0N1.pdb1	2zl0G1.pdb1	749.3
2zl0N1.pdb1	2zl0H1.pdb1	1093.9
2zl0N1.pdb1	2zl0A1.pdb1	114.15
2zl0N1.pdb1	2zl0F1.pdb1	17.5
2zl0G1.pdb1	2zl0H1.pdb1	14.25
2zl0G1.pdb1	2zl0A1.pdb1	1096.85
2zl0G1.pdb1	2zl0F1.pdb1	1076.9
2zl0H1.pdb1	2zl0I1.pdb1	1091.1
2zl0H1.pdb1	2zl0A1.pdb1	770.1
2zl0H1.pdb1	2zl0B1.pdb1	116.5
2zl0I1.pdb1	2zl0A1.pdb1	11.25
2zl0I1.pdb1	2zl0B1.pdb1	757.5
2zl0A1.pdb1	2zl0B1.pdb1	1128.0
2zl0K1.pdb1	2zl0E1.pdb1	104.75
2zl0F1.pdb1	2zl0E1.pdb1	1072.4
5zlfA1.pdb1	5zlfB1.pdb1	1742.5
4zltF1.pdb1	4zltB1.pdb1	1343.85
3zljD1.pdb2	3zljC1.pdb2	807.9
3zlpT1.pdb2	3zlpS1.pdb2	1140.35
3zlpT1.pdb2	3zlpK1.pdb2	776.65
3zlpN1.pdb2	3zlpO1.pdb2	872.0
3zlpN1.pdb2	3zlpM1.pdb2	1141.0
3zlpR1.pdb2	3zlpS1.pdb2	847.85
3zlpR1.pdb2	3zlpQ1.pdb2	1092.7
3zlpL1.pdb2	3zlpK1.pdb2	1142.4
3zlpL1.pdb2	3zlpM1.pdb2	554.65
3zlpO1.pdb2	3zlpP1.pdb2	1101.5
3zlpP1.pdb2	3zlpQ1.pdb2	725.25
5zl2A3.pdb1	5zl2A1.pdb1	5077.0
5zl2A3.pdb1	5zl2A2.pdb1	5077.0
5zl2A1.pdb1	5zl2A2.pdb1	5076.95
1zlhA1.pdb1	1zlhB1.pdb1	1033.55
4zlxA1.pdb1	4zlxB1.pdb1	1255.9
3zlkA2.pdb1	3zlkB2.pdb1	1355.8
3zlkA2.pdb1	3zlkA1.pdb1	1825.9
3zlkA2.pdb1	3zlkB1.pdb1	22.25
3zlkB2.pdb1	3zlkA1.pdb1	22.25
3zlkB2.pdb1	3zlkB1.pdb1	1821.0
3zlkA1.pdb1	3zlkB1.pdb1	1355.8
