3fwvC1.pdb1	3fwvA1.pdb1	504.5
2fwiA4.pdb1	2fwiB1.pdb1	1044.1
2fwiA1.pdb1	2fwiB3.pdb1	1044.1
2fwiA1.pdb1	2fwiA3.pdb1	629.15
2fwiA1.pdb1	2fwiB1.pdb1	1621.9
2fwiB3.pdb1	2fwiA3.pdb1	1621.9
2fwiB3.pdb1	2fwiB2.pdb1	675.1
2fwiB3.pdb1	2fwiB1.pdb1	675.1
2fwiA3.pdb1	2fwiB2.pdb1	1044.05
2fwiA3.pdb1	2fwiA2.pdb1	629.15
2fwiB2.pdb1	2fwiA2.pdb1	1621.9
4fwtA1.pdb1	4fwtG1.pdb1	629.3
4fwtA1.pdb1	4fwtT1.pdb1	518.3
4fwtG1.pdb1	4fwtT1.pdb1	330.65
5fwyD1.pdb2	5fwyC1.pdb2	1407.95
5fwgA1.pdb1	5fwgB1.pdb1	1382.5
4fw0B1.pdb1	4fw0A1.pdb1	2657.25
2fwoB1.pdb1	2fwoA1.pdb1	1307.25
2fwoA1.pdb1	2fwoP1.pdb1	991.4
1fwbB3.pdb1	1fwbC1.pdb1	858.8
1fwbB3.pdb1	1fwbC3.pdb1	1741.1
1fwbB3.pdb1	1fwbA3.pdb1	158.6
1fwbC2.pdb1	1fwbC1.pdb1	2318.0
1fwbC2.pdb1	1fwbC3.pdb1	2318.75
1fwbC2.pdb1	1fwbA2.pdb1	931.6
1fwbC2.pdb1	1fwbB1.pdb1	859.8
1fwbC2.pdb1	1fwbB2.pdb1	1739.5
1fwbC2.pdb1	1fwbA1.pdb1	1507.6
1fwbC1.pdb1	1fwbC3.pdb1	2321.5
1fwbC1.pdb1	1fwbA3.pdb1	1509.5
1fwbC1.pdb1	1fwbB1.pdb1	1739.3
1fwbC1.pdb1	1fwbA1.pdb1	932.3
1fwbC3.pdb1	1fwbA3.pdb1	933.15
1fwbC3.pdb1	1fwbA2.pdb1	1508.6
1fwbC3.pdb1	1fwbB2.pdb1	860.25
1fwbA3.pdb1	1fwbA2.pdb1	674.6
1fwbA3.pdb1	1fwbA1.pdb1	675.15
1fwbA2.pdb1	1fwbB2.pdb1	158.5
1fwbA2.pdb1	1fwbA1.pdb1	674.9
1fwbB1.pdb1	1fwbA1.pdb1	158.1
1fwrC1.pdb1	1fwrB1.pdb1	541.55
1fwrC1.pdb1	1fwrA1.pdb1	558.15
1fwrB1.pdb1	1fwrA1.pdb1	538.0
4fwmA2.pdb1	4fwmA1.pdb1	2979.7
2fwlA1.pdb1	2fwlB1.pdb1	687.8
4fw8C1.pdb2	4fw8D1.pdb2	2678.2
5fwxC1.pdb2	5fwxD1.pdb2	1290.45
1fwwA2.pdb1	1fwwB2.pdb1	1778.6
1fwwA2.pdb1	1fwwB1.pdb1	1356.7
1fwwA2.pdb1	1fwwA1.pdb1	192.4
1fwwB2.pdb1	1fwwB1.pdb1	194.0
1fwwB2.pdb1	1fwwA1.pdb1	1356.7
1fwwB1.pdb1	1fwwA1.pdb1	1778.6
4fwhA4.pdb1	4fwhA3.pdb1	2448.0
4fwhA4.pdb1	4fwhA2.pdb1	2448.05
4fwhA6.pdb1	4fwhA1.pdb1	2448.0
4fwhA6.pdb1	4fwhA2.pdb1	2448.05
4fwhA3.pdb1	4fwhA5.pdb1	2448.05
4fwhA1.pdb1	4fwhA5.pdb1	2448.05
3fweB1.pdb1	3fweA1.pdb1	1960.45
1fwmB1.pdb1	1fwmA1.pdb1	2234.9
1fwiC3.pdb1	1fwiB3.pdb1	1738.0
1fwiC3.pdb1	1fwiA2.pdb1	1477.45
1fwiC3.pdb1	1fwiC1.pdb1	2109.7
1fwiC3.pdb1	1fwiC2.pdb1	2108.0
1fwiC3.pdb1	1fwiB2.pdb1	758.7
1fwiC3.pdb1	1fwiA3.pdb1	935.2
1fwiB3.pdb1	1fwiC1.pdb1	756.1
1fwiB3.pdb1	1fwiA3.pdb1	155.95
1fwiA1.pdb1	1fwiA2.pdb1	673.6
1fwiA1.pdb1	1fwiC1.pdb1	936.9
1fwiA1.pdb1	1fwiC2.pdb1	1478.35
1fwiA1.pdb1	1fwiA3.pdb1	672.4
1fwiA1.pdb1	1fwiB1.pdb1	155.5
1fwiA2.pdb1	1fwiC2.pdb1	933.45
1fwiA2.pdb1	1fwiB2.pdb1	155.85
1fwiA2.pdb1	1fwiA3.pdb1	672.8
1fwiC1.pdb1	1fwiC2.pdb1	2104.7
1fwiC1.pdb1	1fwiA3.pdb1	1479.4
1fwiC1.pdb1	1fwiB1.pdb1	1735.5
1fwiC2.pdb1	1fwiB2.pdb1	1734.0
1fwiC2.pdb1	1fwiB1.pdb1	756.6
6fwcB1.pdb1	6fwcA1.pdb1	2067.25
5fw3D1.pdb1	5fw3C1.pdb1	421.25
5fw3D1.pdb1	5fw3B1.pdb1	670.35
5fw3C1.pdb1	5fw3B1.pdb1	1709.2
5fw3C1.pdb1	5fw3A1.pdb1	964.65
5fw3B1.pdb1	5fw3A1.pdb1	6210.35
6fw7B1.pdb1	6fw7A1.pdb1	703.6
5fw0B1.pdb1	5fw0A1.pdb1	2638.4
1fwkD1.pdb3	1fwkA2.pdb3	740.75
1fwkD1.pdb3	1fwkC1.pdb3	1454.05
1fwkA2.pdb3	1fwkB2.pdb3	1439.2
3fwyA1.pdb1	3fwyB1.pdb1	1496.85
4fwoA1.pdb1	4fwoA2.pdb1	3106.1
5fwzA1.pdb1	5fwzA2.pdb1	1131.7
4fwdA2.pdb1	4fwdA4.pdb1	2466.05
4fwdA2.pdb1	4fwdA6.pdb1	2466.05
4fwdA3.pdb1	4fwdA5.pdb1	2466.05
4fwdA3.pdb1	4fwdA4.pdb1	2466.1
4fwdA5.pdb1	4fwdA1.pdb1	2466.05
4fwdA6.pdb1	4fwdA1.pdb1	2466.1
4fw8B1.pdb1	4fw8A1.pdb1	2851.65
6fwsB1.pdb1	6fwsA1.pdb1	771.05
6fwsB1.pdb1	6fwsD1.pdb1	1203.9
6fwsA1.pdb1	6fwsC1.pdb1	1256.35
1fwaB3.pdb1	1fwaC3.pdb1	1739.9
1fwaB3.pdb1	1fwaC1.pdb1	857.65
1fwaB3.pdb1	1fwaA3.pdb1	157.9
1fwaC3.pdb1	1fwaC1.pdb1	2318.6
1fwaC3.pdb1	1fwaC2.pdb1	2317.7
1fwaC3.pdb1	1fwaB2.pdb1	858.4
1fwaC3.pdb1	1fwaA3.pdb1	932.55
1fwaC3.pdb1	1fwaA2.pdb1	1506.4
1fwaB1.pdb1	1fwaC1.pdb1	1736.85
1fwaB1.pdb1	1fwaA1.pdb1	157.35
1fwaB1.pdb1	1fwaC2.pdb1	858.45
1fwaC1.pdb1	1fwaA1.pdb1	932.3
1fwaC1.pdb1	1fwaC2.pdb1	2317.4
1fwaC1.pdb1	1fwaA3.pdb1	1508.0
1fwaA1.pdb1	1fwaC2.pdb1	1505.9
1fwaA1.pdb1	1fwaA3.pdb1	675.55
1fwaA1.pdb1	1fwaA2.pdb1	675.6
1fwaC2.pdb1	1fwaB2.pdb1	1735.7
1fwaC2.pdb1	1fwaA2.pdb1	931.95
1fwaB2.pdb1	1fwaA2.pdb1	157.8
1fwaA3.pdb1	1fwaA2.pdb1	674.4
2fw2E1.pdb2	2fw2F1.pdb2	1213.45
2fw2E1.pdb2	2fw2D1.pdb2	1181.6
2fw2F1.pdb2	2fw2D1.pdb2	1189.65
6fwbD1.pdb2	6fwbC1.pdb2	2275.85
5fw8A1.pdb1	5fw8B3.pdb1	907.9
5fw8A1.pdb1	5fw8A2.pdb1	398.05
5fw8A1.pdb1	5fw8B4.pdb1	329.05
5fw8B3.pdb1	5fw8A2.pdb1	329.05
5fw8B3.pdb1	5fw8B4.pdb1	424.8
5fw8A2.pdb1	5fw8B4.pdb1	907.9
3fwcK1.pdb3	3fwcI1.pdb3	78.85
3fwcK1.pdb3	3fwcJ1.pdb3	1588.5
3fwcL1.pdb3	3fwcJ1.pdb3	1146.4
3fwcI1.pdb3	3fwcJ1.pdb3	1410.05
4fwfA1.pdb1	4fwfE1.pdb1	903.65
2fwjB7.pdb2	2fwjA7.pdb2	1610.05
2fwjB7.pdb2	2fwjB5.pdb2	645.8
2fwjB7.pdb2	2fwjB1.pdb2	157.0
2fwjB7.pdb2	2fwjB2.pdb2	31.4
2fwjB7.pdb2	2fwjA5.pdb2	1081.3
2fwjB7.pdb2	2fwjB6.pdb2	645.8
2fwjB7.pdb2	2fwjB3.pdb2	118.2
2fwjA1.pdb2	2fwjB1.pdb2	1610.05
2fwjA1.pdb2	2fwjA3.pdb2	608.7
2fwjA1.pdb2	2fwjB3.pdb2	1081.35
2fwjA1.pdb2	2fwjA2.pdb2	1.1
2fwjA1.pdb2	2fwjA4.pdb2	608.7
2fwjA8.pdb2	2fwjA7.pdb2	1.1
2fwjA8.pdb2	2fwjB8.pdb2	1610.05
2fwjA8.pdb2	2fwjA6.pdb2	608.6
2fwjA8.pdb2	2fwjB5.pdb2	1081.3
2fwjA8.pdb2	2fwjA5.pdb2	608.6
2fwjA7.pdb2	2fwjA6.pdb2	608.6
2fwjA7.pdb2	2fwjA5.pdb2	608.6
2fwjA7.pdb2	2fwjB6.pdb2	1081.3
2fwjB8.pdb2	2fwjA6.pdb2	1081.3
2fwjB8.pdb2	2fwjB5.pdb2	645.8
2fwjB8.pdb2	2fwjB1.pdb2	31.4
2fwjB8.pdb2	2fwjB2.pdb2	157.0
2fwjB8.pdb2	2fwjB6.pdb2	645.8
2fwjB8.pdb2	2fwjB4.pdb2	118.2
2fwjA6.pdb2	2fwjA5.pdb2	1.1
2fwjA6.pdb2	2fwjB6.pdb2	1610.05
2fwjB5.pdb2	2fwjB2.pdb2	118.2
2fwjB5.pdb2	2fwjA5.pdb2	1610.05
2fwjB5.pdb2	2fwjB3.pdb2	157.0
2fwjB5.pdb2	2fwjB4.pdb2	31.4
2fwjB1.pdb2	2fwjB6.pdb2	118.2
2fwjB1.pdb2	2fwjB3.pdb2	645.75
2fwjB1.pdb2	2fwjA4.pdb2	1081.35
2fwjB1.pdb2	2fwjB4.pdb2	645.75
2fwjB2.pdb2	2fwjA3.pdb2	1081.35
2fwjB2.pdb2	2fwjB3.pdb2	645.75
2fwjB2.pdb2	2fwjA2.pdb2	1610.05
2fwjB2.pdb2	2fwjB4.pdb2	645.75
2fwjA3.pdb2	2fwjB3.pdb2	1610.05
2fwjA3.pdb2	2fwjA2.pdb2	608.7
2fwjA3.pdb2	2fwjA4.pdb2	1.1
2fwjB6.pdb2	2fwjB3.pdb2	31.4
2fwjB6.pdb2	2fwjB4.pdb2	157.0
2fwjA2.pdb2	2fwjA4.pdb2	608.7
2fwjA2.pdb2	2fwjB4.pdb2	1081.35
2fwjA4.pdb2	2fwjB4.pdb2	1610.05
3fwsA1.pdb1	3fwsB1.pdb1	1839.7
1fwnA1.pdb1	1fwnA2.pdb1	191.3
1fwnA1.pdb1	1fwnB2.pdb1	1327.95
1fwnA1.pdb1	1fwnB1.pdb1	1752.4
1fwnA2.pdb1	1fwnB2.pdb1	1752.4
1fwnA2.pdb1	1fwnB1.pdb1	1327.95
1fwnB2.pdb1	1fwnB1.pdb1	193.6
5fwlA1.pdb1	5fwlE1.pdb1	738.45
5fwlA1.pdb1	5fwlB1.pdb1	4213.4
5fwlA1.pdb1	5fwlK1.pdb1	1665.9
5fwlE1.pdb1	5fwlB1.pdb1	2083.85
5fwlE1.pdb1	5fwlK1.pdb1	1033.55
5fwlB1.pdb1	5fwlK1.pdb1	1314.25
6fwaA1.pdb1	6fwaB1.pdb1	653.2
3fwpD1.pdb1	3fwpC1.pdb1	1017.7
3fwpD1.pdb1	3fwpB1.pdb1	2023.65
3fwpD1.pdb1	3fwpF1.pdb1	181.45
3fwpD1.pdb1	3fwpE1.pdb1	192.05
3fwpC1.pdb1	3fwpA1.pdb1	179.35
3fwpC1.pdb1	3fwpB1.pdb1	207.55
3fwpC1.pdb1	3fwpE1.pdb1	1919.55
3fwpA1.pdb1	3fwpB1.pdb1	184.75
3fwpA1.pdb1	3fwpF1.pdb1	2013.5
3fwpA1.pdb1	3fwpE1.pdb1	1022.2
3fwpB1.pdb1	3fwpF1.pdb1	1015.6
3fwpF1.pdb1	3fwpE1.pdb1	200.65
2fwnA2.pdb1	2fwnA4.pdb1	1642.7
2fwnA2.pdb1	2fwnA3.pdb1	524.2
2fwnA2.pdb1	2fwnA1.pdb1	3461.35
2fwnA4.pdb1	2fwnA3.pdb1	3461.3
2fwnA4.pdb1	2fwnA1.pdb1	524.2
2fwnA3.pdb1	2fwnA1.pdb1	1642.7
2fw6B1.pdb1	2fw6A4.pdb1	1016.6
2fw6B1.pdb1	2fw6B3.pdb1	641.3
2fw6B1.pdb1	2fw6B4.pdb1	641.3
2fw6B1.pdb1	2fw6A1.pdb1	1591.05
2fw6B2.pdb1	2fw6A3.pdb1	1016.6
2fw6B2.pdb1	2fw6A2.pdb1	1591.05
2fw6B2.pdb1	2fw6B3.pdb1	641.3
2fw6B2.pdb1	2fw6B4.pdb1	641.3
2fw6A3.pdb1	2fw6A4.pdb1	21.3
2fw6A3.pdb1	2fw6A2.pdb1	627.05
2fw6A3.pdb1	2fw6B3.pdb1	1591.05
2fw6A3.pdb1	2fw6A1.pdb1	627.05
2fw6A4.pdb1	2fw6A2.pdb1	627.05
2fw6A4.pdb1	2fw6B4.pdb1	1591.05
2fw6A4.pdb1	2fw6A1.pdb1	627.05
2fw6A2.pdb1	2fw6B4.pdb1	1016.6
2fw6A2.pdb1	2fw6A1.pdb1	21.3
2fw6B3.pdb1	2fw6A1.pdb1	1016.6
4fwpA2.pdb1	4fwpA1.pdb1	3070.8
3fwcO1.pdb4	3fwcN1.pdb4	1571.15
3fwcO1.pdb4	3fwcM1.pdb4	52.0
3fwcP1.pdb4	3fwcN1.pdb4	1427.0
3fwcN1.pdb4	3fwcM1.pdb4	1430.2
6fwkP1.pdb1	6fwkA1.pdb1	622.75
6fwkP1.pdb1	6fwkT1.pdb1	453.05
6fwkA1.pdb1	6fwkT1.pdb1	1241.6
1fwzA1.pdb1	1fwzA2.pdb1	895.35
3fwnB1.pdb1	3fwnA1.pdb1	5419.05
2fw9B3.pdb1	2fw9B1.pdb1	665.95
2fw9B3.pdb1	2fw9A1.pdb1	1079.05
2fw9B3.pdb1	2fw9A3.pdb1	1614.15
2fw9B3.pdb1	2fw9B2.pdb1	665.95
2fw9B4.pdb1	2fw9A2.pdb1	1079.05
2fw9B4.pdb1	2fw9B1.pdb1	665.95
2fw9B4.pdb1	2fw9B2.pdb1	665.95
2fw9B4.pdb1	2fw9A4.pdb1	1614.15
2fw9A2.pdb1	2fw9A3.pdb1	602.85
2fw9A2.pdb1	2fw9B2.pdb1	1614.15
2fw9A2.pdb1	2fw9A4.pdb1	602.85
2fw9B1.pdb1	2fw9A1.pdb1	1614.15
2fw9B1.pdb1	2fw9A4.pdb1	1079.05
2fw9A1.pdb1	2fw9A3.pdb1	602.85
2fw9A1.pdb1	2fw9A4.pdb1	602.85
2fw9A3.pdb1	2fw9B2.pdb1	1079.05
2fw1A8.pdb2	2fw1A5.pdb2	623.35
2fw1A8.pdb2	2fw1B5.pdb2	1052.4
2fw1A8.pdb2	2fw1B8.pdb2	1605.9
2fw1A8.pdb2	2fw1A6.pdb2	623.35
2fw1A8.pdb2	2fw1A7.pdb2	0.4
2fw1B6.pdb2	2fw1B4.pdb2	220.1
2fw1B6.pdb2	2fw1B8.pdb2	667.0
2fw1B6.pdb2	2fw1B7.pdb2	667.0
2fw1B6.pdb2	2fw1B1.pdb2	191.9
2fw1B6.pdb2	2fw1A6.pdb2	1605.9
2fw1B6.pdb2	2fw1B3.pdb2	33.3
2fw1B6.pdb2	2fw1A7.pdb2	1052.4
2fw1A5.pdb2	2fw1B5.pdb2	1605.9
2fw1A5.pdb2	2fw1B7.pdb2	1052.4
2fw1A5.pdb2	2fw1A6.pdb2	0.4
2fw1A5.pdb2	2fw1A7.pdb2	623.35
2fw1B4.pdb2	2fw1B5.pdb2	33.3
2fw1B4.pdb2	2fw1B8.pdb2	191.9
2fw1B4.pdb2	2fw1B1.pdb2	667.05
2fw1B4.pdb2	2fw1A2.pdb2	1052.4
2fw1B4.pdb2	2fw1B2.pdb2	667.05
2fw1B4.pdb2	2fw1A4.pdb2	1605.85
2fw1A1.pdb2	2fw1B1.pdb2	1605.85
2fw1A1.pdb2	2fw1A3.pdb2	623.3
2fw1A1.pdb2	2fw1A2.pdb2	0.3
2fw1A1.pdb2	2fw1A4.pdb2	623.3
2fw1A1.pdb2	2fw1B3.pdb2	1052.4
2fw1B5.pdb2	2fw1B8.pdb2	667.0
2fw1B5.pdb2	2fw1B7.pdb2	667.0
2fw1B5.pdb2	2fw1B2.pdb2	191.9
2fw1B5.pdb2	2fw1B3.pdb2	220.1
2fw1B8.pdb2	2fw1B1.pdb2	33.3
2fw1B8.pdb2	2fw1B2.pdb2	220.1
2fw1B8.pdb2	2fw1A6.pdb2	1052.4
2fw1B7.pdb2	2fw1B1.pdb2	220.1
2fw1B7.pdb2	2fw1B2.pdb2	33.3
2fw1B7.pdb2	2fw1B3.pdb2	191.9
2fw1B7.pdb2	2fw1A7.pdb2	1605.9
2fw1B1.pdb2	2fw1A4.pdb2	1052.4
2fw1B1.pdb2	2fw1B3.pdb2	667.05
2fw1A3.pdb2	2fw1A2.pdb2	623.3
2fw1A3.pdb2	2fw1B2.pdb2	1052.4
2fw1A3.pdb2	2fw1A4.pdb2	0.3
2fw1A3.pdb2	2fw1B3.pdb2	1605.85
2fw1A2.pdb2	2fw1B2.pdb2	1605.85
2fw1A2.pdb2	2fw1A4.pdb2	623.3
2fw1B2.pdb2	2fw1B3.pdb2	667.05
2fw1A6.pdb2	2fw1A7.pdb2	623.35
1fwyA2.pdb1	1fwyA3.pdb1	888.55
1fwyA2.pdb1	1fwyA1.pdb1	888.55
1fwyA3.pdb1	1fwyA1.pdb1	888.55
2fw7A2.pdb1	2fw7A4.pdb1	624.25
2fw7A2.pdb1	2fw7B2.pdb1	1605.9
2fw7A2.pdb1	2fw7A1.pdb1	0.6
2fw7A2.pdb1	2fw7A3.pdb1	624.25
2fw7A2.pdb1	2fw7B4.pdb1	1053.45
2fw7A4.pdb1	2fw7A1.pdb1	624.25
2fw7A4.pdb1	2fw7A3.pdb1	0.6
2fw7A4.pdb1	2fw7B1.pdb1	1053.45
2fw7A4.pdb1	2fw7B4.pdb1	1605.9
2fw7B2.pdb1	2fw7A3.pdb1	1053.45
2fw7B2.pdb1	2fw7B4.pdb1	663.7
2fw7B2.pdb1	2fw7B3.pdb1	663.7
2fw7A1.pdb1	2fw7A3.pdb1	624.25
2fw7A1.pdb1	2fw7B1.pdb1	1605.9
2fw7A1.pdb1	2fw7B3.pdb1	1053.45
2fw7A3.pdb1	2fw7B3.pdb1	1605.9
2fw7B1.pdb1	2fw7B4.pdb1	663.7
2fw7B1.pdb1	2fw7B3.pdb1	663.7
4fwuA2.pdb2	4fwuA4.pdb2	705.05
4fwuA2.pdb2	4fwuA3.pdb2	705.05
4fwuA4.pdb2	4fwuA1.pdb2	705.05
4fwuA3.pdb2	4fwuA1.pdb2	705.05
2fwwB1.pdb1	2fwwA1.pdb1	423.05
2fwwB1.pdb1	2fwwC1.pdb1	1071.45
2fwwA1.pdb1	2fwwD1.pdb1	1075.0
2fwwD1.pdb1	2fwwC1.pdb1	424.85
3fw2B1.pdb1	3fw2A1.pdb1	680.45
4fwnA1.pdb1	4fwnA2.pdb1	3178.25
5fw6A1.pdb1	5fw6A2.pdb1	448.7
5fw6A1.pdb1	5fw6B3.pdb1	332.65
5fw6A1.pdb1	5fw6B4.pdb1	865.5
5fw6A2.pdb1	5fw6B3.pdb1	865.5
5fw6A2.pdb1	5fw6B4.pdb1	332.65
5fw6B3.pdb1	5fw6B4.pdb1	380.1
2fw8A5.pdb2	2fw8B7.pdb2	1011.9
2fw8A5.pdb2	2fw8A6.pdb2	1.8
2fw8A5.pdb2	2fw8A7.pdb2	618.85
2fw8A5.pdb2	2fw8B5.pdb2	1611.1
2fw8A5.pdb2	2fw8A8.pdb2	618.85
2fw8B7.pdb2	2fw8A7.pdb2	1611.1
2fw8B7.pdb2	2fw8B5.pdb2	683.35
2fw8B7.pdb2	2fw8B2.pdb2	32.25
2fw8B7.pdb2	2fw8B3.pdb2	248.0
2fw8B7.pdb2	2fw8B6.pdb2	683.35
2fw8B7.pdb2	2fw8B1.pdb2	262.4
2fw8A6.pdb2	2fw8A7.pdb2	618.85
2fw8A6.pdb2	2fw8B6.pdb2	1611.1
2fw8A6.pdb2	2fw8B8.pdb2	1011.9
2fw8A6.pdb2	2fw8A8.pdb2	618.85
2fw8A7.pdb2	2fw8B6.pdb2	1011.9
2fw8A7.pdb2	2fw8A8.pdb2	1.8
2fw8B4.pdb2	2fw8B5.pdb2	32.25
2fw8B4.pdb2	2fw8A2.pdb2	1011.9
2fw8B4.pdb2	2fw8B2.pdb2	683.4
2fw8B4.pdb2	2fw8B6.pdb2	262.4
2fw8B4.pdb2	2fw8B8.pdb2	248.0
2fw8B4.pdb2	2fw8A4.pdb2	1611.1
2fw8B4.pdb2	2fw8B1.pdb2	683.4
2fw8A3.pdb2	2fw8A2.pdb2	618.85
2fw8A3.pdb2	2fw8B2.pdb2	1011.9
2fw8A3.pdb2	2fw8A1.pdb2	618.85
2fw8A3.pdb2	2fw8B3.pdb2	1611.1
2fw8A3.pdb2	2fw8A4.pdb2	1.8
2fw8B5.pdb2	2fw8B2.pdb2	248.0
2fw8B5.pdb2	2fw8B3.pdb2	262.4
2fw8B5.pdb2	2fw8B8.pdb2	683.35
2fw8B5.pdb2	2fw8A8.pdb2	1011.9
2fw8A2.pdb2	2fw8B2.pdb2	1611.1
2fw8A2.pdb2	2fw8A1.pdb2	1.8
2fw8A2.pdb2	2fw8A4.pdb2	618.85
2fw8B2.pdb2	2fw8B3.pdb2	683.4
2fw8B2.pdb2	2fw8B8.pdb2	262.4
2fw8A1.pdb2	2fw8B3.pdb2	1011.9
2fw8A1.pdb2	2fw8A4.pdb2	618.85
2fw8A1.pdb2	2fw8B1.pdb2	1611.1
2fw8B3.pdb2	2fw8B6.pdb2	32.25
2fw8B3.pdb2	2fw8B1.pdb2	683.4
2fw8B6.pdb2	2fw8B8.pdb2	683.35
2fw8B6.pdb2	2fw8B1.pdb2	248.0
2fw8B8.pdb2	2fw8A8.pdb2	1611.1
2fw8B8.pdb2	2fw8B1.pdb2	32.25
2fw8A4.pdb2	2fw8B1.pdb2	1011.9
2fwjB1.pdb1	2fwjB3.pdb1	645.75
2fwjB1.pdb1	2fwjA1.pdb1	1610.05
2fwjB1.pdb1	2fwjB4.pdb1	645.75
2fwjB1.pdb1	2fwjA4.pdb1	1081.35
2fwjB2.pdb1	2fwjB3.pdb1	645.75
2fwjB2.pdb1	2fwjA3.pdb1	1081.35
2fwjB2.pdb1	2fwjA2.pdb1	1610.05
2fwjB2.pdb1	2fwjB4.pdb1	645.75
2fwjB3.pdb1	2fwjA3.pdb1	1610.05
2fwjB3.pdb1	2fwjA1.pdb1	1081.35
2fwjA3.pdb1	2fwjA2.pdb1	608.7
2fwjA3.pdb1	2fwjA1.pdb1	608.7
2fwjA3.pdb1	2fwjA4.pdb1	1.1
2fwjA2.pdb1	2fwjA1.pdb1	1.1
2fwjA2.pdb1	2fwjB4.pdb1	1081.35
2fwjA2.pdb1	2fwjA4.pdb1	608.7
2fwjA1.pdb1	2fwjA4.pdb1	608.7
2fwjB4.pdb1	2fwjA4.pdb1	1610.05
1fwlC1.pdb2	1fwlD1.pdb2	1449.75
3fwoA1.pdb1	3fwoB1.pdb1	805.35
6fwzA1.pdb1	6fwzA2.pdb1	1887.3
3fwzB1.pdb1	3fwzA1.pdb1	1276.0
3fwvD1.pdb2	3fwvB1.pdb2	474.0
5fwsA2.pdb1	5fwsA1.pdb1	884.25
5fwkA1.pdb1	5fwkE1.pdb1	252.05
5fwkA1.pdb1	5fwkB1.pdb1	4374.4
5fwkA1.pdb1	5fwkK1.pdb1	633.75
5fwkE1.pdb1	5fwkB1.pdb1	1769.45
5fwkE1.pdb1	5fwkK1.pdb1	709.25
5fwkB1.pdb1	5fwkK1.pdb1	1014.5
2fw8B3.pdb1	2fw8A3.pdb1	1611.1
2fw8B3.pdb1	2fw8B2.pdb1	683.4
2fw8B3.pdb1	2fw8B1.pdb1	683.4
2fw8B3.pdb1	2fw8A1.pdb1	1011.9
2fw8B4.pdb1	2fw8A4.pdb1	1611.1
2fw8B4.pdb1	2fw8A2.pdb1	1011.9
2fw8B4.pdb1	2fw8B2.pdb1	683.4
2fw8B4.pdb1	2fw8B1.pdb1	683.4
2fw8A4.pdb1	2fw8A3.pdb1	1.8
2fw8A4.pdb1	2fw8A2.pdb1	618.85
2fw8A4.pdb1	2fw8B1.pdb1	1011.9
2fw8A4.pdb1	2fw8A1.pdb1	618.85
2fw8A3.pdb1	2fw8A2.pdb1	618.85
2fw8A3.pdb1	2fw8B2.pdb1	1011.9
2fw8A3.pdb1	2fw8A1.pdb1	618.85
2fw8A2.pdb1	2fw8B2.pdb1	1611.1
2fw8A2.pdb1	2fw8A1.pdb1	1.8
2fw8B1.pdb1	2fw8A1.pdb1	1611.1
4fw2B1.pdb1	4fw2A1.pdb1	1700.1
3fwtA2.pdb1	3fwtA3.pdb1	1123.75
3fwtA2.pdb1	3fwtA1.pdb1	1123.85
3fwtA3.pdb1	3fwtA1.pdb1	1123.75
3fw2D1.pdb2	3fw2C1.pdb2	694.0
1fwtA2.pdb1	1fwtA1.pdb1	192.0
1fwtA2.pdb1	1fwtB2.pdb1	1780.5
1fwtA2.pdb1	1fwtB1.pdb1	1332.95
1fwtA1.pdb1	1fwtB2.pdb1	1332.95
1fwtA1.pdb1	1fwtB1.pdb1	1780.5
1fwtB2.pdb1	1fwtB1.pdb1	193.3
6fwdA1.pdb1	6fwdB1.pdb1	906.65
6fwdA1.pdb1	6fwdA2.pdb1	410.2
6fwdA1.pdb1	6fwdB2.pdb1	353.3
6fwdB1.pdb1	6fwdA2.pdb1	353.3
6fwdB1.pdb1	6fwdB2.pdb1	421.8
6fwdA2.pdb1	6fwdB2.pdb1	906.65
4fwlA1.pdb1	4fwlA2.pdb1	3159.6
4fwsA1.pdb1	4fwsA2.pdb1	3146.25
5fwwA1.pdb1	5fwwB1.pdb1	117.3
5fwwA1.pdb1	5fwwC1.pdb1	1049.35
5fwwB1.pdb1	5fwwC1.pdb1	980.55
2fw1B1.pdb1	2fw1B3.pdb1	667.05
2fw1B1.pdb1	2fw1A1.pdb1	1605.85
2fw1B1.pdb1	2fw1B4.pdb1	667.05
2fw1B1.pdb1	2fw1A4.pdb1	1052.4
2fw1B3.pdb1	2fw1B2.pdb1	667.05
2fw1B3.pdb1	2fw1A1.pdb1	1052.4
2fw1B3.pdb1	2fw1A3.pdb1	1605.85
2fw1B2.pdb1	2fw1A2.pdb1	1605.85
2fw1B2.pdb1	2fw1B4.pdb1	667.05
2fw1B2.pdb1	2fw1A3.pdb1	1052.4
2fw1A1.pdb1	2fw1A2.pdb1	0.3
2fw1A1.pdb1	2fw1A3.pdb1	623.3
2fw1A1.pdb1	2fw1A4.pdb1	623.3
2fw1A2.pdb1	2fw1B4.pdb1	1052.4
2fw1A2.pdb1	2fw1A3.pdb1	623.3
2fw1A2.pdb1	2fw1A4.pdb1	623.3
2fw1B4.pdb1	2fw1A4.pdb1	1605.85
2fw1A3.pdb1	2fw1A4.pdb1	0.3
2fw6A2.pdb2	2fw6A4.pdb2	627.05
2fw6A2.pdb2	2fw6B4.pdb2	1016.6
2fw6A2.pdb2	2fw6B2.pdb2	1591.05
2fw6A2.pdb2	2fw6A3.pdb2	627.05
2fw6A2.pdb2	2fw6A1.pdb2	21.3
