1pptA2.pdb1	1pptA1.pdb1	686.5
6pphb1.pdb1	6pphk1.pdb1	2.9
6pphb1.pdb1	6pphS1.pdb1	70.6
6pphb1.pdb1	6pphd1.pdb1	1249.5
6pphb1.pdb1	6pphX1.pdb1	47.15
6pphb1.pdb1	6pphW1.pdb1	1351.65
6pphb1.pdb1	6pphm1.pdb1	440.3
6pphb1.pdb1	6pphl1.pdb1	145.4
6pphT1.pdb1	6pphS1.pdb1	6129.4
6pphT1.pdb1	6pph31.pdb1	1771.8
6pphT1.pdb1	6pphd1.pdb1	341.3
6pphT1.pdb1	6pphX1.pdb1	724.55
6pphT1.pdb1	6pph71.pdb1	194.75
6pphT1.pdb1	6pphW1.pdb1	2441.4
6pphT1.pdb1	6pph61.pdb1	77.05
6pph01.pdb1	6pph11.pdb1	328.95
6pph01.pdb1	6pphX1.pdb1	405.2
6pph01.pdb1	6pphW1.pdb1	1359.55
6pph11.pdb1	6pphX1.pdb1	1837.3
6pphn1.pdb1	6pphk1.pdb1	246.6
6pphn1.pdb1	6ppho1.pdb1	125.55
6pphn1.pdb1	6pphm1.pdb1	709.6
6pphn1.pdb1	6pphl1.pdb1	876.9
6pphk1.pdb1	6pphX1.pdb1	922.1
6pphk1.pdb1	6pph71.pdb1	734.7
6pphk1.pdb1	6pph61.pdb1	367.75
6pphk1.pdb1	6pphm1.pdb1	1142.6
6pphk1.pdb1	6pphl1.pdb1	2080.45
6pphS1.pdb1	6pphX1.pdb1	2392.35
6pphS1.pdb1	6pph71.pdb1	607.8
6pphS1.pdb1	6pphW1.pdb1	1964.85
6pphS1.pdb1	6pph61.pdb1	390.6
6pphS1.pdb1	6pph41.pdb1	392.4
6ppho1.pdb1	6pphX1.pdb1	0.9
6ppho1.pdb1	6pphm1.pdb1	804.1
6ppho1.pdb1	6pphl1.pdb1	783.9
6pphd1.pdb1	6pphm1.pdb1	46.5
6pphd1.pdb1	6pphl1.pdb1	80.55
6pphX1.pdb1	6pphW1.pdb1	6140.2
6pphX1.pdb1	6pph61.pdb1	387.9
6pphX1.pdb1	6pphm1.pdb1	368.25
6pphX1.pdb1	6pphl1.pdb1	28.3
6pphX1.pdb1	6pph41.pdb1	886.75
6pph71.pdb1	6pph61.pdb1	3513.9
6pph71.pdb1	6pph41.pdb1	242.1
6pphW1.pdb1	6pph61.pdb1	267.15
6pphm1.pdb1	6pphl1.pdb1	452.15
6pphA1.pdb1	6pph41.pdb1	1136.6
2pp3C1.pdb1	2pp3B1.pdb1	2943.35
2ppwA1.pdb1	2ppwA2.pdb1	1687.5
2pp1A1.pdb1	2pp1A2.pdb1	3009.2
1ppfI1.pdb1	1ppfE1.pdb1	662.2
4pp3A1.pdb1	4pp3B1.pdb1	563.2
3pp9B1.pdb2	3pp9C1.pdb2	1100.95
3ppiC1.pdb1	3ppiD1.pdb1	162.95
3ppiC1.pdb1	3ppiB1.pdb1	1481.8
3ppiC1.pdb1	3ppiA1.pdb1	1809.6
3ppiD1.pdb1	3ppiB1.pdb1	1823.85
3ppiD1.pdb1	3ppiA1.pdb1	1482.95
3ppiB1.pdb1	3ppiA1.pdb1	159.65
2ppyA1.pdb1	2ppyD1.pdb1	87.45
2ppyA1.pdb1	2ppyC1.pdb1	1797.35
2ppyA1.pdb1	2ppyB1.pdb1	787.6
2ppyA1.pdb1	2ppyF1.pdb1	702.6
2ppyA1.pdb1	2ppyE1.pdb1	1864.7
2ppyD1.pdb1	2ppyC1.pdb1	708.65
2ppyD1.pdb1	2ppyB1.pdb1	1845.1
2ppyD1.pdb1	2ppyF1.pdb1	1862.2
2ppyD1.pdb1	2ppyE1.pdb1	807.4
2ppyC1.pdb1	2ppyB1.pdb1	86.3
2ppyC1.pdb1	2ppyF1.pdb1	795.1
2ppyC1.pdb1	2ppyE1.pdb1	1856.35
2ppyB1.pdb1	2ppyF1.pdb1	1858.65
2ppyB1.pdb1	2ppyE1.pdb1	710.0
2ppyF1.pdb1	2ppyE1.pdb1	87.8
4ppkA1.pdb5	4ppkB1.pdb5	885.45
4ppzA2.pdb1	4ppzA1.pdb1	1549.9
2pp3A2.pdb4	2pp3A6.pdb4	2967.25
2pp3A2.pdb4	2pp3A1.pdb4	300.75
2pp3A5.pdb4	2pp3A4.pdb4	300.8
2pp3A5.pdb4	2pp3A3.pdb4	2967.25
2pp3A6.pdb4	2pp3A1.pdb4	1608.8
2pp3A6.pdb4	2pp3A4.pdb4	300.8
2pp3A1.pdb4	2pp3A4.pdb4	2967.25
2pp3A1.pdb4	2pp3A3.pdb4	300.75
2pp3A4.pdb4	2pp3A3.pdb4	1608.8
4ppsC1.pdb1	4ppsA1.pdb1	559.95
4ppsA1.pdb1	4ppsB1.pdb1	1600.1
4ppsB1.pdb1	4ppsD1.pdb1	519.7
2ppiA2.pdb1	2ppiA1.pdb1	1704.7
3pplA1.pdb1	3pplB1.pdb1	2424.45
4ppcB1.pdb3	4ppcA1.pdb3	1917.5
2pp1B3.pdb5	2pp1A3.pdb5	1593.9
2pp1B3.pdb5	2pp1A1.pdb5	311.25
2pp1B1.pdb5	2pp1A3.pdb5	311.25
2pp1B1.pdb5	2pp1B2.pdb5	3024.9
2pp1B1.pdb5	2pp1A2.pdb5	311.9
2pp1B1.pdb5	2pp1A1.pdb5	1593.9
2pp1A3.pdb5	2pp1A1.pdb5	3009.2
2pp1B2.pdb5	2pp1A2.pdb5	1593.9
2pp1B2.pdb5	2pp1A1.pdb5	311.9
2pp1B1.pdb2	2pp1B2.pdb2	3024.9
4ppvA2.pdb1	4ppvA1.pdb1	1828.35
4pp1A1.pdb2	4pp1F1.pdb2	684.15
4pp1A1.pdb2	4pp1E1.pdb2	243.05
4pp1F1.pdb2	4pp1E1.pdb2	1766.85
6ppbW1.pdb1	6ppbX1.pdb1	6106.7
6ppbW1.pdb1	6ppb01.pdb1	1518.05
6ppbW1.pdb1	6ppb61.pdb1	282.4
6ppbW1.pdb1	6ppbc1.pdb1	859.15
6ppbW1.pdb1	6ppbb1.pdb1	1312.2
6ppbS1.pdb1	6ppbX1.pdb1	4899.7
6ppbS1.pdb1	6ppb11.pdb1	407.1
6ppbS1.pdb1	6ppb51.pdb1	59.65
6ppbS1.pdb1	6ppb21.pdb1	1786.1
6ppbS1.pdb1	6ppb61.pdb1	213.5
6ppbS1.pdb1	6ppbT1.pdb1	6179.35
6ppbm1.pdb1	6ppbX1.pdb1	387.3
6ppbm1.pdb1	6ppbk1.pdb1	1130.15
6ppbm1.pdb1	6ppbl1.pdb1	433.3
6ppbm1.pdb1	6ppbo1.pdb1	801.7
6ppbm1.pdb1	6ppbd1.pdb1	39.15
6ppbm1.pdb1	6ppbb1.pdb1	432.5
6ppbm1.pdb1	6ppbn1.pdb1	698.7
6ppbX1.pdb1	6ppbk1.pdb1	948.95
6ppbX1.pdb1	6ppbl1.pdb1	19.15
6ppbX1.pdb1	6ppb11.pdb1	1796.1
6ppbX1.pdb1	6ppb51.pdb1	758.85
6ppbX1.pdb1	6ppb01.pdb1	393.25
6ppbX1.pdb1	6ppb61.pdb1	737.45
6ppbX1.pdb1	6ppbc1.pdb1	187.5
6ppbk1.pdb1	6ppbl1.pdb1	2074.9
6ppbk1.pdb1	6ppb51.pdb1	379.55
6ppbk1.pdb1	6ppb61.pdb1	237.4
6ppbk1.pdb1	6ppbb1.pdb1	8.8
6ppbk1.pdb1	6ppbn1.pdb1	280.15
6ppbk1.pdb1	6ppb71.pdb1	763.65
6ppbl1.pdb1	6ppbo1.pdb1	804.55
6ppbl1.pdb1	6ppbd1.pdb1	75.7
6ppbl1.pdb1	6ppbb1.pdb1	137.7
6ppbl1.pdb1	6ppbn1.pdb1	905.7
6ppbo1.pdb1	6ppbn1.pdb1	157.05
6ppbd1.pdb1	6ppbc1.pdb1	3461.7
6ppbd1.pdb1	6ppbb1.pdb1	1234.0
6ppb31.pdb1	6ppb21.pdb1	309.75
6ppb31.pdb1	6ppbT1.pdb1	1720.2
6ppb11.pdb1	6ppb21.pdb1	294.7
6ppb11.pdb1	6ppb01.pdb1	323.9
6ppb51.pdb1	6ppb61.pdb1	1320.95
6ppb51.pdb1	6ppb71.pdb1	1014.4
6ppb21.pdb1	6ppbT1.pdb1	388.85
6ppb61.pdb1	6ppb71.pdb1	3469.25
6ppbc1.pdb1	6ppbb1.pdb1	1448.0
2pp1E1.pdb3	2pp1C1.pdb3	2760.5
3pp5A2.pdb1	3pp5A1.pdb1	990.3
3pp5A2.pdb1	3pp5A3.pdb1	990.3
3pp5A1.pdb1	3pp5A3.pdb1	990.35
3pp2B2.pdb1	3pp2B1.pdb1	105.6
3pp2B2.pdb1	3pp2A2.pdb1	570.0
3pp2B2.pdb1	3pp2A1.pdb1	688.25
3pp2B1.pdb1	3pp2A2.pdb1	688.25
3pp2B1.pdb1	3pp2A1.pdb1	569.95
3pp2A2.pdb1	3pp2A1.pdb1	127.0
4pp9A1.pdb3	4pp9B1.pdb3	1370.1
4pp6C1.pdb1	4pp6A1.pdb1	515.1
4pp6A1.pdb1	4pp6B1.pdb1	1574.35
4pp6D1.pdb1	4pp6B1.pdb1	509.9
2ppfA1.pdb1	2ppfC1.pdb1	2042.0
2ppfA1.pdb1	2ppfB1.pdb1	2080.25
2ppfC1.pdb1	2ppfB1.pdb1	2052.35
4ppyA1.pdb1	4ppyB1.pdb1	1006.35
2ppdA1.pdb1	2ppdB1.pdb1	2098.0
2ppdA1.pdb1	2ppdC1.pdb1	2062.45
2ppdB1.pdb1	2ppdC1.pdb1	2070.85
4ppuA1.pdb1	4ppuA2.pdb1	1779.4
2ppcA1.pdb1	2ppcC1.pdb1	2045.5
2ppcA1.pdb1	2ppcB1.pdb1	2092.0
2ppcC1.pdb1	2ppcB1.pdb1	2062.25
2pp9A1.pdb1	2pp9C1.pdb1	2038.9
2pp9A1.pdb1	2pp9B1.pdb1	2085.7
2pp9C1.pdb1	2pp9B1.pdb1	2052.05
4ppmB1.pdb1	4ppmA1.pdb1	5771.75
3ppbA1.pdb1	3ppbB1.pdb1	1775.6
6ppxA1.pdb1	6ppxA2.pdb1	3665.6
3pp3L1.pdb1	3pp3H1.pdb1	1765.05
4pp2E1.pdb2	4pp2C1.pdb2	222.1
4pp2E1.pdb2	4pp2D1.pdb2	616.7
4pp2C1.pdb2	4pp2D1.pdb2	1766.65
4pp8A1.pdb1	4pp8C1.pdb1	409.45
4pp8A1.pdb1	4pp8D1.pdb1	182.1
4pp8A1.pdb1	4pp8B1.pdb1	1149.55
4pp8C1.pdb1	4pp8B1.pdb1	472.05
1ppeI1.pdb1	1ppeE1.pdb1	841.65
2ppgC2.pdb1	2ppgA2.pdb1	2177.2
2ppgC2.pdb1	2ppgB2.pdb1	1032.5
2ppgC2.pdb1	2ppgB1.pdb1	465.65
2ppgC2.pdb1	2ppgD2.pdb1	432.15
2ppgA2.pdb1	2ppgB2.pdb1	417.5
2ppgA2.pdb1	2ppgD1.pdb1	376.0
2ppgA2.pdb1	2ppgD2.pdb1	1028.25
2ppgB2.pdb1	2ppgB1.pdb1	2160.75
2ppgB2.pdb1	2ppgC1.pdb1	465.65
2ppgD1.pdb1	2ppgA1.pdb1	1028.25
2ppgD1.pdb1	2ppgD2.pdb1	2249.25
2ppgD1.pdb1	2ppgC1.pdb1	432.15
2ppgA1.pdb1	2ppgB1.pdb1	417.5
2ppgA1.pdb1	2ppgD2.pdb1	375.95
2ppgA1.pdb1	2ppgC1.pdb1	2177.2
2ppgB1.pdb1	2ppgC1.pdb1	1032.55
