2vokA1.pdb1	2vokB1.pdb1	681.0
5vo8G1.pdb1	5vo8I1.pdb1	349.0
5vo8G1.pdb1	5vo8H1.pdb1	497.9
5vo8B1.pdb1	5vo8C1.pdb1	256.5
5vo8B1.pdb1	5vo8E1.pdb1	52.05
5vo8C1.pdb1	5vo8E1.pdb1	98.6
5vo8C1.pdb1	5vo8I1.pdb1	608.95
5vo8C1.pdb1	5vo8H1.pdb1	61.3
5vo8I1.pdb1	5vo8H1.pdb1	36.1
5vocB2.pdb1	5vocA2.pdb1	4000.25
5vocE1.pdb1	5vocL1.pdb1	37.45
5vocE1.pdb1	5vocD1.pdb1	2651.9
5vocE1.pdb1	5vocC1.pdb1	975.0
5vocH1.pdb1	5vocL1.pdb1	1637.3
5vocH1.pdb1	5vocA2.pdb1	146.5
5vocH1.pdb1	5vocD1.pdb1	532.45
5vocL1.pdb1	5vocD1.pdb1	921.6
5vocD1.pdb1	5vocC1.pdb1	1266.6
5vouG1.pdb1	5vouC1.pdb1	288.5
5vouG1.pdb1	5vouB1.pdb1	515.85
5vouH1.pdb1	5vouC1.pdb1	633.5
5vouH1.pdb1	5vouD1.pdb1	395.5
5vouC1.pdb1	5vouB1.pdb1	2229.65
5vouC1.pdb1	5vouA1.pdb1	47.2
5vouC1.pdb1	5vouD1.pdb1	1672.15
5vouF1.pdb1	5vouB1.pdb1	390.4
5vouF1.pdb1	5vouA1.pdb1	633.1
5vouE1.pdb1	5vouA1.pdb1	282.15
5vouE1.pdb1	5vouD1.pdb1	524.95
5vouB1.pdb1	5vouA1.pdb1	1664.1
5vouB1.pdb1	5vouD1.pdb1	11.95
5vouA1.pdb1	5vouD1.pdb1	2232.25
