6qvdB1.pdb1	6qvdA1.pdb1	2502.8
4qv8H1.pdb1	4qv8G1.pdb1	647.45
4qv8H1.pdb1	4qv8Z1.pdb1	1455.05
4qv8H1.pdb1	4qv8I1.pdb1	1629.2
4qv8H1.pdb1	4qv8Y1.pdb1	90.45
4qv8H1.pdb1	4qv8B1.pdb1	272.6
4qv8H1.pdb1	4qv8N1.pdb1	508.2
4qv8D1.pdb1	4qv8K1.pdb1	418.2
4qv8D1.pdb1	4qv8C1.pdb1	1275.8
4qv8D1.pdb1	4qv8L1.pdb1	534.75
4qv8D1.pdb1	4qv8B1.pdb1	114.4
4qv8D1.pdb1	4qv8E1.pdb1	1013.85
4qv8J1.pdb1	4qv8K1.pdb1	673.05
4qv8J1.pdb1	4qv8C1.pdb1	407.0
4qv8J1.pdb1	4qv8I1.pdb1	567.75
4qv8J1.pdb1	4qv8Y1.pdb1	758.05
4qv8J1.pdb1	4qv8B1.pdb1	537.55
4qv8J1.pdb1	4qv8X1.pdb1	707.3
4qv8V1.pdb1	4qv8K1.pdb1	92.25
4qv8V1.pdb1	4qv8L1.pdb1	1462.55
4qv8V1.pdb1	4qv8M1.pdb1	936.5
4qv8V1.pdb1	4qv8O1.pdb1	659.2
4qv8V1.pdb1	4qv8U1.pdb1	643.2
4qv8V1.pdb1	4qv8b1.pdb1	509.85
4qv8V1.pdb1	4qv8W1.pdb1	1627.9
4qv8V1.pdb1	4qv8P1.pdb1	277.15
4qv8K1.pdb1	4qv8C1.pdb1	338.0
4qv8K1.pdb1	4qv8L1.pdb1	666.55
4qv8K1.pdb1	4qv8X1.pdb1	762.05
4qv8K1.pdb1	4qv8W1.pdb1	979.15
4qv8C1.pdb1	4qv8B1.pdb1	1555.55
4qv8C1.pdb1	4qv8W1.pdb1	0.05
4qv8L1.pdb1	4qv8M1.pdb1	934.2
4qv8L1.pdb1	4qv8E1.pdb1	348.75
4qv8L1.pdb1	4qv8W1.pdb1	717.95
4qv8G1.pdb1	4qv8F1.pdb1	1380.75
4qv8G1.pdb1	4qv8B1.pdb1	132.4
4qv8G1.pdb1	4qv8N1.pdb1	460.1
4qv8M1.pdb1	4qv8F1.pdb1	449.45
4qv8M1.pdb1	4qv8U1.pdb1	73.05
4qv8M1.pdb1	4qv8b1.pdb1	1368.2
4qv8M1.pdb1	4qv8N1.pdb1	638.2
4qv8M1.pdb1	4qv8E1.pdb1	588.2
4qv8Z1.pdb1	4qv8I1.pdb1	724.45
4qv8Z1.pdb1	4qv8Y1.pdb1	667.95
4qv8Z1.pdb1	4qv8S1.pdb1	349.9
4qv8Z1.pdb1	4qv8W1.pdb1	0.05
4qv8Z1.pdb1	4qv8R1.pdb1	540.1
4qv8I1.pdb1	4qv8Y1.pdb1	971.85
4qv8I1.pdb1	4qv8B1.pdb1	482.05
4qv8I1.pdb1	4qv8W1.pdb1	0.05
4qv8O1.pdb1	4qv8U1.pdb1	1418.1
4qv8O1.pdb1	4qv8S1.pdb1	61.7
4qv8O1.pdb1	4qv8T1.pdb1	157.65
4qv8O1.pdb1	4qv8W1.pdb1	534.45
4qv8O1.pdb1	4qv8P1.pdb1	1372.1
4qv8O1.pdb1	4qv8Q1.pdb1	91.5
4qv8O1.pdb1	4qv8R1.pdb1	27.1
4qv8Y1.pdb1	4qv8X1.pdb1	672.6
4qv8Y1.pdb1	4qv8W1.pdb1	0.05
4qv8Y1.pdb1	4qv8Q1.pdb1	331.05
4qv8Y1.pdb1	4qv8R1.pdb1	419.65
4qv8F1.pdb1	4qv8B1.pdb1	143.85
4qv8F1.pdb1	4qv8N1.pdb1	485.25
4qv8F1.pdb1	4qv8E1.pdb1	1328.8
4qv8U1.pdb1	4qv8b1.pdb1	458.55
4qv8U1.pdb1	4qv8T1.pdb1	1375.95
4qv8U1.pdb1	4qv8P1.pdb1	137.45
4qv8S1.pdb1	4qv8T1.pdb1	1335.4
4qv8S1.pdb1	4qv8W1.pdb1	0.05
4qv8S1.pdb1	4qv8P1.pdb1	128.75
4qv8S1.pdb1	4qv8R1.pdb1	1032.1
4qv8B1.pdb1	4qv8E1.pdb1	135.5
4qv8B1.pdb1	4qv8W1.pdb1	0.05
4qv8b1.pdb1	4qv8T1.pdb1	487.65
4qv8b1.pdb1	4qv8N1.pdb1	641.75
4qv8b1.pdb1	4qv8W1.pdb1	0.05
4qv8T1.pdb1	4qv8P1.pdb1	141.15
4qv8N1.pdb1	4qv8W1.pdb1	0.05
4qv8E1.pdb1	4qv8W1.pdb1	0.05
4qv8X1.pdb1	4qv8W1.pdb1	563.3
4qv8X1.pdb1	4qv8P1.pdb1	541.0
4qv8X1.pdb1	4qv8Q1.pdb1	403.9
4qv8W1.pdb1	4qv8P1.pdb1	485.3
4qv8W1.pdb1	4qv8Q1.pdb1	0.05
4qv8W1.pdb1	4qv8R1.pdb1	0.05
4qv8P1.pdb1	4qv8Q1.pdb1	1527.25
4qv8P1.pdb1	4qv8R1.pdb1	117.8
4qv8Q1.pdb1	4qv8R1.pdb1	1269.3
1qvcA1.pdb1	1qvcD1.pdb1	416.7
1qvcA1.pdb1	1qvcC1.pdb1	703.55
1qvcA1.pdb1	1qvcB1.pdb1	1230.1
1qvcD1.pdb1	1qvcC1.pdb1	1120.9
1qvcD1.pdb1	1qvcB1.pdb1	512.1
1qvcC1.pdb1	1qvcB1.pdb1	422.1
2qvxX2.pdb1	2qvxX1.pdb1	1381.15
2qvmA1.pdb2	2qvmA2.pdb2	502.7
4qvvO1.pdb1	4qvvU1.pdb1	1424.75
4qvvO1.pdb1	4qvvS1.pdb1	62.7
4qvvO1.pdb1	4qvvP1.pdb1	1368.7
4qvvO1.pdb1	4qvvQ1.pdb1	88.85
4qvvO1.pdb1	4qvvV1.pdb1	653.3
4qvvO1.pdb1	4qvvW1.pdb1	517.85
4qvvO1.pdb1	4qvvN1.pdb1	0.05
4qvvO1.pdb1	4qvvT1.pdb1	159.95
4qvvO1.pdb1	4qvvR1.pdb1	26.7
4qvvb1.pdb1	4qvvU1.pdb1	455.2
4qvvb1.pdb1	4qvva1.pdb1	645.65
4qvvb1.pdb1	4qvvV1.pdb1	512.0
4qvvb1.pdb1	4qvvN1.pdb1	640.35
4qvvb1.pdb1	4qvvT1.pdb1	475.0
4qvvb1.pdb1	4qvvM1.pdb1	1372.25
4qvvB1.pdb1	4qvvI1.pdb1	472.15
4qvvB1.pdb1	4qvvH1.pdb1	275.65
4qvvB1.pdb1	4qvvC1.pdb1	1568.35
4qvvB1.pdb1	4qvvA1.pdb1	1367.75
4qvvB1.pdb1	4qvvJ1.pdb1	552.2
4qvvB1.pdb1	4qvvG1.pdb1	131.3
4qvvB1.pdb1	4qvvF1.pdb1	142.0
4qvvB1.pdb1	4qvvE1.pdb1	134.6
4qvvB1.pdb1	4qvvD1.pdb1	121.7
4qvvU1.pdb1	4qvvP1.pdb1	134.65
4qvvU1.pdb1	4qvvV1.pdb1	642.8
4qvvU1.pdb1	4qvvT1.pdb1	1386.9
4qvvU1.pdb1	4qvvM1.pdb1	69.45
4qvvS1.pdb1	4qvvP1.pdb1	136.95
4qvvS1.pdb1	4qvvZ1.pdb1	357.85
4qvvS1.pdb1	4qvva1.pdb1	592.3
4qvvS1.pdb1	4qvvN1.pdb1	0.05
4qvvS1.pdb1	4qvvT1.pdb1	1332.0
4qvvS1.pdb1	4qvvR1.pdb1	1030.75
4qvvP1.pdb1	4qvvQ1.pdb1	1530.0
4qvvP1.pdb1	4qvvV1.pdb1	277.25
4qvvP1.pdb1	4qvvX1.pdb1	545.4
4qvvP1.pdb1	4qvvW1.pdb1	474.3
4qvvP1.pdb1	4qvvT1.pdb1	147.25
4qvvP1.pdb1	4qvvR1.pdb1	119.15
4qvvI1.pdb1	4qvvZ1.pdb1	717.2
4qvvI1.pdb1	4qvvH1.pdb1	1606.0
4qvvI1.pdb1	4qvvA1.pdb1	524.95
4qvvI1.pdb1	4qvvJ1.pdb1	582.7
4qvvI1.pdb1	4qvvY1.pdb1	986.75
4qvvZ1.pdb1	4qvvH1.pdb1	1481.85
4qvvZ1.pdb1	4qvva1.pdb1	941.4
4qvvZ1.pdb1	4qvvN1.pdb1	0.05
4qvvZ1.pdb1	4qvvY1.pdb1	650.95
4qvvZ1.pdb1	4qvvR1.pdb1	534.9
4qvvH1.pdb1	4qvvA1.pdb1	645.9
4qvvH1.pdb1	4qvva1.pdb1	916.1
4qvvH1.pdb1	4qvvN1.pdb1	494.55
4qvvH1.pdb1	4qvvG1.pdb1	643.7
4qvvH1.pdb1	4qvvY1.pdb1	94.75
4qvvQ1.pdb1	4qvvX1.pdb1	403.6
4qvvQ1.pdb1	4qvvY1.pdb1	324.25
4qvvQ1.pdb1	4qvvR1.pdb1	1288.3
4qvvC1.pdb1	4qvvA1.pdb1	88.4
4qvvC1.pdb1	4qvvJ1.pdb1	405.15
4qvvC1.pdb1	4qvvD1.pdb1	1284.6
4qvvC1.pdb1	4qvvK1.pdb1	324.75
4qvvA1.pdb1	4qvvN1.pdb1	0.05
4qvvA1.pdb1	4qvvG1.pdb1	1400.2
4qvvA1.pdb1	4qvvF1.pdb1	152.5
4qvvA1.pdb1	4qvvE1.pdb1	63.5
4qvvA1.pdb1	4qvvD1.pdb1	28.0
4qvva1.pdb1	4qvvN1.pdb1	1367.7
4qvva1.pdb1	4qvvG1.pdb1	70.95
4qvva1.pdb1	4qvvT1.pdb1	439.35
4qvvV1.pdb1	4qvvL1.pdb1	1495.3
4qvvV1.pdb1	4qvvW1.pdb1	1594.7
4qvvV1.pdb1	4qvvN1.pdb1	0.05
4qvvV1.pdb1	4qvvM1.pdb1	931.25
4qvvV1.pdb1	4qvvK1.pdb1	95.35
4qvvX1.pdb1	4qvvJ1.pdb1	719.65
4qvvX1.pdb1	4qvvW1.pdb1	561.9
4qvvX1.pdb1	4qvvY1.pdb1	665.9
4qvvX1.pdb1	4qvvK1.pdb1	793.9
4qvvL1.pdb1	4qvvW1.pdb1	719.45
4qvvL1.pdb1	4qvvN1.pdb1	0.05
4qvvL1.pdb1	4qvvE1.pdb1	361.1
4qvvL1.pdb1	4qvvD1.pdb1	521.9
4qvvL1.pdb1	4qvvM1.pdb1	942.45
4qvvL1.pdb1	4qvvK1.pdb1	638.75
4qvvJ1.pdb1	4qvvY1.pdb1	772.4
4qvvJ1.pdb1	4qvvK1.pdb1	665.6
4qvvW1.pdb1	4qvvK1.pdb1	990.65
4qvvN1.pdb1	4qvvG1.pdb1	458.7
4qvvN1.pdb1	4qvvF1.pdb1	474.7
4qvvN1.pdb1	4qvvM1.pdb1	649.75
4qvvG1.pdb1	4qvvF1.pdb1	1387.9
4qvvY1.pdb1	4qvvR1.pdb1	416.6
4qvvF1.pdb1	4qvvE1.pdb1	1342.25
4qvvF1.pdb1	4qvvM1.pdb1	448.7
4qvvE1.pdb1	4qvvD1.pdb1	1005.45
4qvvE1.pdb1	4qvvM1.pdb1	587.1
4qvvD1.pdb1	4qvvK1.pdb1	415.3
1qvwB1.pdb1	1qvwA1.pdb1	549.15
3qvgA1.pdb1	3qvgB1.pdb1	972.65
3qvgD1.pdb1	3qvgB1.pdb1	562.15
3qvgD1.pdb1	3qvgC1.pdb1	872.25
6qvcA1.pdb1	6qvcB1.pdb1	2680.05
4qvaA1.pdb1	4qvaB1.pdb1	1997.45
1qveA1.pdb1	1qveB1.pdb1	161.15
3qv9A1.pdb1	3qv9B2.pdb1	1031.3
3qv9A1.pdb1	3qv9B1.pdb1	2182.25
3qv9B2.pdb1	3qv9A2.pdb1	2182.2
3qv9B1.pdb1	3qv9A2.pdb1	1031.35
2qvvB2.pdb1	2qvvA1.pdb1	712.1
2qvvB2.pdb1	2qvvB1.pdb1	1137.0
2qvvB2.pdb1	2qvvA2.pdb1	2342.5
2qvvA1.pdb1	2qvvB1.pdb1	2342.55
2qvvA1.pdb1	2qvvA2.pdb1	1027.95
2qvvB1.pdb1	2qvvA2.pdb1	712.05
1qv7B1.pdb1	1qv7A1.pdb1	1683.45
4qv7R1.pdb1	4qv7Y1.pdb1	419.95
4qv7R1.pdb1	4qv7Z1.pdb1	537.6
4qv7R1.pdb1	4qv7Q1.pdb1	1270.4
4qv7R1.pdb1	4qv7O1.pdb1	25.65
4qv7R1.pdb1	4qv7S1.pdb1	1023.9
4qv7R1.pdb1	4qv7P1.pdb1	118.85
4qv7T1.pdb1	4qv7b1.pdb1	488.8
4qv7T1.pdb1	4qv7O1.pdb1	156.3
4qv7T1.pdb1	4qv7U1.pdb1	1367.15
4qv7T1.pdb1	4qv7a1.pdb1	452.9
4qv7T1.pdb1	4qv7S1.pdb1	1325.6
4qv7T1.pdb1	4qv7P1.pdb1	140.05
4qv7Y1.pdb1	4qv7I1.pdb1	965.65
4qv7Y1.pdb1	4qv7X1.pdb1	662.4
4qv7Y1.pdb1	4qv7Z1.pdb1	664.6
4qv7Y1.pdb1	4qv7J1.pdb1	749.6
4qv7Y1.pdb1	4qv7H1.pdb1	89.4
4qv7Y1.pdb1	4qv7Q1.pdb1	327.4
4qv7W1.pdb1	4qv7V1.pdb1	1631.15
4qv7W1.pdb1	4qv7X1.pdb1	560.0
4qv7W1.pdb1	4qv7K1.pdb1	971.2
4qv7W1.pdb1	4qv7O1.pdb1	534.75
4qv7W1.pdb1	4qv7L1.pdb1	717.75
4qv7W1.pdb1	4qv7P1.pdb1	488.5
4qv7V1.pdb1	4qv7b1.pdb1	503.15
4qv7V1.pdb1	4qv7K1.pdb1	92.45
4qv7V1.pdb1	4qv7O1.pdb1	661.9
4qv7V1.pdb1	4qv7U1.pdb1	642.25
4qv7V1.pdb1	4qv7L1.pdb1	1467.6
4qv7V1.pdb1	4qv7P1.pdb1	278.0
4qv7V1.pdb1	4qv7M1.pdb1	935.85
4qv7N1.pdb1	4qv7b1.pdb1	641.0
4qv7N1.pdb1	4qv7H1.pdb1	500.9
4qv7N1.pdb1	4qv7F1.pdb1	483.95
4qv7N1.pdb1	4qv7a1.pdb1	1360.85
4qv7N1.pdb1	4qv7G1.pdb1	462.3
4qv7N1.pdb1	4qv7M1.pdb1	632.95
4qv7I1.pdb1	4qv7Z1.pdb1	718.45
4qv7I1.pdb1	4qv7J1.pdb1	566.05
4qv7I1.pdb1	4qv7B1.pdb1	482.2
4qv7I1.pdb1	4qv7H1.pdb1	1636.0
4qv7I1.pdb1	4qv7A1.pdb1	537.2
4qv7X1.pdb1	4qv7J1.pdb1	708.75
4qv7X1.pdb1	4qv7K1.pdb1	750.25
4qv7X1.pdb1	4qv7Q1.pdb1	405.4
4qv7X1.pdb1	4qv7P1.pdb1	542.05
4qv7Z1.pdb1	4qv7H1.pdb1	1454.7
4qv7Z1.pdb1	4qv7a1.pdb1	933.75
4qv7Z1.pdb1	4qv7S1.pdb1	352.05
4qv7J1.pdb1	4qv7B1.pdb1	540.55
4qv7J1.pdb1	4qv7K1.pdb1	658.2
4qv7J1.pdb1	4qv7C1.pdb1	407.15
4qv7B1.pdb1	4qv7H1.pdb1	272.15
4qv7B1.pdb1	4qv7F1.pdb1	139.5
4qv7B1.pdb1	4qv7A1.pdb1	1352.8
4qv7B1.pdb1	4qv7C1.pdb1	1553.9
4qv7B1.pdb1	4qv7E1.pdb1	131.35
4qv7B1.pdb1	4qv7G1.pdb1	131.45
4qv7B1.pdb1	4qv7D1.pdb1	116.75
4qv7b1.pdb1	4qv7U1.pdb1	459.55
4qv7b1.pdb1	4qv7a1.pdb1	631.75
4qv7b1.pdb1	4qv7M1.pdb1	1363.45
4qv7H1.pdb1	4qv7a1.pdb1	930.65
4qv7H1.pdb1	4qv7A1.pdb1	658.55
4qv7H1.pdb1	4qv7G1.pdb1	645.9
4qv7F1.pdb1	4qv7A1.pdb1	155.45
4qv7F1.pdb1	4qv7E1.pdb1	1322.85
4qv7F1.pdb1	4qv7G1.pdb1	1377.05
4qv7F1.pdb1	4qv7M1.pdb1	459.55
4qv7K1.pdb1	4qv7C1.pdb1	329.9
4qv7K1.pdb1	4qv7L1.pdb1	660.65
4qv7K1.pdb1	4qv7D1.pdb1	422.65
4qv7Q1.pdb1	4qv7O1.pdb1	87.45
4qv7Q1.pdb1	4qv7P1.pdb1	1519.3
4qv7O1.pdb1	4qv7U1.pdb1	1417.6
4qv7O1.pdb1	4qv7S1.pdb1	60.4
4qv7O1.pdb1	4qv7P1.pdb1	1356.55
4qv7U1.pdb1	4qv7P1.pdb1	136.95
4qv7U1.pdb1	4qv7M1.pdb1	76.65
4qv7a1.pdb1	4qv7S1.pdb1	590.4
4qv7a1.pdb1	4qv7G1.pdb1	76.85
4qv7A1.pdb1	4qv7C1.pdb1	83.15
4qv7A1.pdb1	4qv7E1.pdb1	62.5
4qv7A1.pdb1	4qv7G1.pdb1	1395.3
4qv7A1.pdb1	4qv7D1.pdb1	23.85
4qv7S1.pdb1	4qv7P1.pdb1	125.5
4qv7C1.pdb1	4qv7D1.pdb1	1270.7
4qv7L1.pdb1	4qv7E1.pdb1	352.25
4qv7L1.pdb1	4qv7M1.pdb1	928.85
4qv7L1.pdb1	4qv7D1.pdb1	528.3
4qv7E1.pdb1	4qv7M1.pdb1	580.95
4qv7E1.pdb1	4qv7D1.pdb1	1004.55
4qvnB1.pdb1	4qvnI1.pdb1	475.25
4qvnB1.pdb1	4qvnF1.pdb1	139.95
4qvnB1.pdb1	4qvnG1.pdb1	131.5
4qvnB1.pdb1	4qvnA1.pdb1	1353.8
4qvnB1.pdb1	4qvnJ1.pdb1	546.5
4qvnB1.pdb1	4qvnD1.pdb1	113.25
4qvnB1.pdb1	4qvnC1.pdb1	1551.0
4qvnB1.pdb1	4qvnH1.pdb1	276.2
4qvnB1.pdb1	4qvnE1.pdb1	127.65
4qvnb1.pdb1	4qvnT1.pdb1	471.75
4qvnb1.pdb1	4qvnV1.pdb1	486.75
4qvnb1.pdb1	4qvna1.pdb1	629.55
4qvnb1.pdb1	4qvnM1.pdb1	1356.3
4qvnb1.pdb1	4qvnN1.pdb1	635.55
4qvnb1.pdb1	4qvnU1.pdb1	458.25
4qvnY1.pdb1	4qvnI1.pdb1	991.9
4qvnY1.pdb1	4qvnX1.pdb1	639.1
4qvnY1.pdb1	4qvnJ1.pdb1	779.8
4qvnY1.pdb1	4qvnZ1.pdb1	650.75
4qvnY1.pdb1	4qvnQ1.pdb1	328.15
4qvnY1.pdb1	4qvnR1.pdb1	425.8
4qvnY1.pdb1	4qvnH1.pdb1	92.15
4qvnT1.pdb1	4qvnP1.pdb1	139.15
4qvnT1.pdb1	4qvna1.pdb1	450.45
4qvnT1.pdb1	4qvnO1.pdb1	151.5
4qvnT1.pdb1	4qvnU1.pdb1	1366.9
4qvnT1.pdb1	4qvnS1.pdb1	1336.4
4qvnI1.pdb1	4qvnA1.pdb1	526.45
4qvnI1.pdb1	4qvnJ1.pdb1	579.9
4qvnI1.pdb1	4qvnZ1.pdb1	727.2
4qvnI1.pdb1	4qvnH1.pdb1	1605.9
4qvnF1.pdb1	4qvnG1.pdb1	1364.85
4qvnF1.pdb1	4qvnA1.pdb1	151.5
4qvnF1.pdb1	4qvnM1.pdb1	459.85
4qvnF1.pdb1	4qvnN1.pdb1	473.1
4qvnF1.pdb1	4qvnE1.pdb1	1325.6
4qvnP1.pdb1	4qvnV1.pdb1	284.65
4qvnP1.pdb1	4qvnX1.pdb1	543.25
4qvnP1.pdb1	4qvnO1.pdb1	1379.1
4qvnP1.pdb1	4qvnW1.pdb1	485.3
4qvnP1.pdb1	4qvnQ1.pdb1	1504.7
4qvnP1.pdb1	4qvnR1.pdb1	118.95
4qvnP1.pdb1	4qvnU1.pdb1	136.65
4qvnP1.pdb1	4qvnS1.pdb1	121.95
4qvnG1.pdb1	4qvnA1.pdb1	1400.7
4qvnG1.pdb1	4qvna1.pdb1	75.65
4qvnG1.pdb1	4qvnN1.pdb1	461.0
4qvnG1.pdb1	4qvnH1.pdb1	648.3
4qvnL1.pdb1	4qvnV1.pdb1	1469.55
4qvnL1.pdb1	4qvnM1.pdb1	934.8
4qvnL1.pdb1	4qvnW1.pdb1	732.75
4qvnL1.pdb1	4qvnD1.pdb1	532.9
4qvnL1.pdb1	4qvnK1.pdb1	648.75
4qvnL1.pdb1	4qvnE1.pdb1	360.4
4qvnV1.pdb1	4qvnM1.pdb1	929.95
4qvnV1.pdb1	4qvnO1.pdb1	656.95
4qvnV1.pdb1	4qvnW1.pdb1	1598.7
4qvnV1.pdb1	4qvnK1.pdb1	93.5
4qvnV1.pdb1	4qvnU1.pdb1	643.65
4qvnA1.pdb1	4qvnD1.pdb1	22.85
4qvnA1.pdb1	4qvnC1.pdb1	82.25
4qvnA1.pdb1	4qvnH1.pdb1	653.85
4qvnA1.pdb1	4qvnE1.pdb1	58.3
4qvna1.pdb1	4qvnZ1.pdb1	945.4
4qvna1.pdb1	4qvnN1.pdb1	1360.6
4qvna1.pdb1	4qvnH1.pdb1	925.6
4qvna1.pdb1	4qvnS1.pdb1	590.05
4qvnM1.pdb1	4qvnN1.pdb1	626.25
4qvnM1.pdb1	4qvnU1.pdb1	74.5
4qvnM1.pdb1	4qvnE1.pdb1	582.5
4qvnX1.pdb1	4qvnW1.pdb1	576.45
4qvnX1.pdb1	4qvnJ1.pdb1	718.95
4qvnX1.pdb1	4qvnK1.pdb1	798.45
4qvnX1.pdb1	4qvnQ1.pdb1	395.9
4qvnO1.pdb1	4qvnW1.pdb1	518.55
4qvnO1.pdb1	4qvnQ1.pdb1	89.5
4qvnO1.pdb1	4qvnR1.pdb1	26.4
4qvnO1.pdb1	4qvnU1.pdb1	1417.8
4qvnO1.pdb1	4qvnS1.pdb1	57.25
4qvnW1.pdb1	4qvnK1.pdb1	1000.35
4qvnJ1.pdb1	4qvnK1.pdb1	637.0
4qvnJ1.pdb1	4qvnC1.pdb1	399.45
4qvnD1.pdb1	4qvnK1.pdb1	426.4
4qvnD1.pdb1	4qvnC1.pdb1	1263.05
4qvnD1.pdb1	4qvnE1.pdb1	1022.05
4qvnZ1.pdb1	4qvnR1.pdb1	540.05
4qvnZ1.pdb1	4qvnH1.pdb1	1465.65
4qvnZ1.pdb1	4qvnS1.pdb1	359.1
4qvnK1.pdb1	4qvnC1.pdb1	332.15
4qvnQ1.pdb1	4qvnR1.pdb1	1268.75
4qvnN1.pdb1	4qvnH1.pdb1	490.7
4qvnR1.pdb1	4qvnS1.pdb1	1036.7
3qvjA5.pdb1	3qvjA2.pdb1	1731.35
3qvjA5.pdb1	3qvjA4.pdb1	149.25
3qvjA5.pdb1	3qvjA6.pdb1	149.25
3qvjA5.pdb1	3qvjA3.pdb1	1463.35
3qvjA2.pdb1	3qvjA6.pdb1	1463.4
3qvjA2.pdb1	3qvjA3.pdb1	149.25
3qvjA2.pdb1	3qvjA1.pdb1	149.2
3qvjA4.pdb1	3qvjA6.pdb1	149.25
3qvjA4.pdb1	3qvjA3.pdb1	1731.3
3qvjA4.pdb1	3qvjA1.pdb1	1463.35
3qvjA6.pdb1	3qvjA1.pdb1	1731.4
3qvjA3.pdb1	3qvjA1.pdb1	149.25
2qvlA1.pdb2	2qvlA2.pdb2	737.1
6qvpF1.pdb2	6qvpE1.pdb2	682.15
3qvcA2.pdb2	3qvcA1.pdb2	820.2
6qv1A1.pdb1	6qv1E1.pdb1	361.25
6qv1A1.pdb1	6qv1B1.pdb1	7449.35
6qv1E1.pdb1	6qv1B1.pdb1	447.3
1qvnA1.pdb4	1qvnC2.pdb4	538.85
4qv2A1.pdb1	4qv2B1.pdb1	1999.75
6qv2F1.pdb2	6qv2D1.pdb2	614.7
6qv2C1.pdb2	6qv2D1.pdb2	7375.25
1qvtD4.pdb3	1qvtD2.pdb3	368.8
1qvtD4.pdb3	1qvtB5.pdb3	916.15
1qvtD4.pdb3	1qvtB8.pdb3	214.45
1qvtD3.pdb3	1qvtB7.pdb3	214.45
1qvtD3.pdb3	1qvtD1.pdb3	368.8
1qvtD3.pdb3	1qvtB6.pdb3	916.15
1qvtD2.pdb3	1qvtB5.pdb3	214.45
1qvtD2.pdb3	1qvtB8.pdb3	916.15
1qvtA7.pdb3	1qvtE7.pdb3	392.6
1qvtA7.pdb3	1qvtB5.pdb3	97.7
1qvtA7.pdb3	1qvtA5.pdb3	893.1
1qvtA7.pdb3	1qvtB7.pdb3	1516.55
1qvtA7.pdb3	1qvtE5.pdb3	540.25
1qvtE8.pdb3	1qvtA8.pdb3	392.6
1qvtE8.pdb3	1qvtA6.pdb3	540.25
1qvtE7.pdb3	1qvtA5.pdb3	540.25
1qvtB5.pdb3	1qvtA5.pdb3	1516.6
1qvtB5.pdb3	1qvtB7.pdb3	164.25
1qvtB5.pdb3	1qvtB8.pdb3	244.8
1qvtB5.pdb3	1qvtB6.pdb3	70.7
1qvtA5.pdb3	1qvtB7.pdb3	97.7
1qvtA5.pdb3	1qvtE5.pdb3	392.6
1qvtB7.pdb3	1qvtD1.pdb3	916.15
1qvtB7.pdb3	1qvtB8.pdb3	70.7
1qvtB7.pdb3	1qvtB6.pdb3	244.8
1qvtA8.pdb3	1qvtE6.pdb3	540.25
1qvtA8.pdb3	1qvtB8.pdb3	1516.55
1qvtA8.pdb3	1qvtB6.pdb3	97.7
1qvtA8.pdb3	1qvtA6.pdb3	893.1
1qvtE6.pdb3	1qvtA6.pdb3	392.6
1qvtD1.pdb3	1qvtB6.pdb3	214.45
1qvtB8.pdb3	1qvtB6.pdb3	164.25
1qvtB8.pdb3	1qvtA6.pdb3	97.7
1qvtB6.pdb3	1qvtA6.pdb3	1516.55
1qviA1.pdb1	1qviY1.pdb1	1834.0
1qviA1.pdb1	1qviZ1.pdb1	1949.4
1qviY1.pdb1	1qviZ1.pdb1	225.4
3qv1H1.pdb4	3qv1C1.pdb4	697.95
3qv1H1.pdb4	3qv1B1.pdb4	290.45
3qv1C1.pdb4	3qv1B1.pdb4	1338.15
6qv2E1.pdb1	6qv2B1.pdb1	635.45
6qv2B1.pdb1	6qv2A1.pdb1	7577.65
6qvhA4.pdb1	6qvhA3.pdb1	670.0
6qvhA4.pdb1	6qvhA1.pdb1	341.5
6qvhA4.pdb1	6qvhA2.pdb1	1057.6
6qvhA3.pdb1	6qvhA1.pdb1	1057.6
6qvhA3.pdb1	6qvhA2.pdb1	341.5
6qvhA1.pdb1	6qvhA2.pdb1	670.0
1qvtB1.pdb6	1qvtB2.pdb6	164.25
1qvtB1.pdb6	1qvtA2.pdb6	97.7
1qvtB1.pdb6	1qvtA1.pdb6	1516.6
1qvtB2.pdb6	1qvtA2.pdb6	1516.55
1qvtB2.pdb6	1qvtA1.pdb6	97.7
1qvtA2.pdb6	1qvtD2.pdb6	4.65
1qvtA2.pdb6	1qvtA1.pdb6	893.1
1qvtA2.pdb6	1qvtE1.pdb6	540.25
1qvtA2.pdb6	1qvtE2.pdb6	392.6
1qvtD2.pdb6	1qvtE2.pdb6	1543.1
1qvtA1.pdb6	1qvtD1.pdb6	4.65
1qvtA1.pdb6	1qvtE1.pdb6	392.6
1qvtA1.pdb6	1qvtE2.pdb6	540.25
1qvtD1.pdb6	1qvtE1.pdb6	1543.1
2qvhA1.pdb2	2qvhB1.pdb2	330.15
1qvuB1.pdb1	1qvuA1.pdb1	1457.05
2qvcA1.pdb1	2qvcB2.pdb1	566.05
2qvsB1.pdb1	2qvsE1.pdb1	1711.55
6qvgA1.pdb1	6qvgB1.pdb1	4452.05
3qvdG1.pdb4	3qvdH1.pdb4	4204.7
4qvsA1.pdb1	4qvsA2.pdb1	7831.6
3qvqA1.pdb1	3qvqD1.pdb1	1072.95
3qviC1.pdb3	3qviD1.pdb3	3785.25
3qv0A2.pdb1	3qv0A3.pdb1	1155.75
3qv0A2.pdb1	3qv0A1.pdb1	1157.0
3qv0A3.pdb1	3qv0A1.pdb1	1159.9
