2eixA1.pdb1	2eixB1.pdb1	634.75
2einA1.pdb1	2einT1.pdb1	744.2
2einA1.pdb1	2einG1.pdb1	356.7
2einA1.pdb1	2einC1.pdb1	2574.85
2einT1.pdb1	2einC1.pdb1	104.6
2einG1.pdb1	2einC1.pdb1	1667.6
3eisB1.pdb5	3eisC2.pdb5	795.45
3ei1G1.pdb1	3ei1H1.pdb1	576.8
3ei1G1.pdb1	3ei1B1.pdb1	410.15
3ei1H1.pdb1	3ei1B1.pdb1	402.55
3ei1A1.pdb1	3ei1B1.pdb1	1896.6
4ei6D1.pdb2	4ei6C1.pdb2	2182.75
3ei9B1.pdb1	3ei9A1.pdb1	3798.1
1ei6B1.pdb2	1ei6C1.pdb2	1223.8
5eigG1.pdb2	5eigE1.pdb2	863.75
5eigG1.pdb2	5eigF1.pdb2	1464.0
5eigG1.pdb2	5eigH1.pdb2	2424.5
5eigE1.pdb2	5eigF1.pdb2	2170.1
5eigE1.pdb2	5eigH1.pdb2	1464.75
5eigF1.pdb2	5eigH1.pdb2	858.5
3eicC2.pdb1	3eicA1.pdb1	644.5
3eicC2.pdb1	3eicE1.pdb1	6.5
3eicC2.pdb1	3eicA2.pdb1	492.4
3eicC2.pdb1	3eicE2.pdb1	472.85
3eicA1.pdb1	3eicE1.pdb1	508.85
3eicA1.pdb1	3eicC1.pdb1	492.4
3eicA1.pdb1	3eicA2.pdb1	8.1
3eicE1.pdb1	3eicC1.pdb1	472.85
3eicE1.pdb1	3eicE2.pdb1	615.0
3eicC1.pdb1	3eicA2.pdb1	644.5
3eicC1.pdb1	3eicE2.pdb1	6.5
3eicA2.pdb1	3eicE2.pdb1	508.85
5eiyD1.pdb2	5eiyB1.pdb2	235.65
5eilA1.pdb1	5eilB1.pdb1	424.4
5eilA1.pdb1	5eilC1.pdb1	433.15
5eilB1.pdb1	5eilC1.pdb1	430.2
3eivB1.pdb2	3eivA1.pdb2	1419.9
2eihA1.pdb1	2eihB2.pdb1	805.6
2eihA1.pdb1	2eihA2.pdb1	1144.8
2eihA1.pdb1	2eihB1.pdb1	344.25
2eihB2.pdb1	2eihA2.pdb1	344.25
2eihB2.pdb1	2eihB1.pdb1	1267.8
2eihA2.pdb1	2eihB1.pdb1	805.6
2eiwA1.pdb1	2eiwB1.pdb1	3025.2
1eiqA4.pdb1	1eiqA1.pdb1	559.5
1eiqA4.pdb1	1eiqA2.pdb1	559.5
1eiqA4.pdb1	1eiqA5.pdb1	661.9
1eiqA4.pdb1	1eiqA8.pdb1	372.15
1eiqA1.pdb1	1eiqA3.pdb1	559.5
1eiqA1.pdb1	1eiqA6.pdb1	372.15
1eiqA1.pdb1	1eiqA8.pdb1	661.9
1eiqA2.pdb1	1eiqA5.pdb1	372.15
1eiqA2.pdb1	1eiqA3.pdb1	559.5
1eiqA2.pdb1	1eiqA7.pdb1	661.9
1eiqA5.pdb1	1eiqA8.pdb1	559.5
1eiqA5.pdb1	1eiqA7.pdb1	559.5
1eiqA3.pdb1	1eiqA6.pdb1	661.9
1eiqA3.pdb1	1eiqA7.pdb1	372.15
1eiqA6.pdb1	1eiqA8.pdb1	559.5
1eiqA6.pdb1	1eiqA7.pdb1	559.5
4eikA1.pdb1	4eikB1.pdb1	594.65
2eiiB1.pdb1	2eiiA1.pdb1	3013.2
6ei0Q1.pdb1	6ei0U1.pdb1	411.3
6ei0Q1.pdb1	6ei0G1.pdb1	673.6
6ei0Q1.pdb1	6ei0N1.pdb1	1027.95
6ei0U1.pdb1	6ei0G1.pdb1	1000.05
6ei0U1.pdb1	6ei0N1.pdb1	668.75
6ei0G1.pdb1	6ei0N1.pdb1	367.95
4eijB2.pdb2	4eijA3.pdb2	451.05
4eijB2.pdb2	4eijA1.pdb2	31.8
4eijB2.pdb2	4eijB1.pdb2	189.45
4eijB2.pdb2	4eijA2.pdb2	1406.0
4eijB2.pdb2	4eijB3.pdb2	189.4
4eijA3.pdb2	4eijA1.pdb2	204.35
4eijA3.pdb2	4eijB1.pdb2	31.9
4eijA3.pdb2	4eijA2.pdb2	204.4
4eijA3.pdb2	4eijB3.pdb2	1406.05
4eijA1.pdb2	4eijB1.pdb2	1406.05
4eijA1.pdb2	4eijA2.pdb2	204.4
4eijA1.pdb2	4eijB3.pdb2	450.95
4eijB1.pdb2	4eijA2.pdb2	451.0
4eijB1.pdb2	4eijB3.pdb2	189.45
4eijA2.pdb2	4eijB3.pdb2	31.85
5eihB1.pdb1	5eihA1.pdb1	990.85
2ei8A1.pdb1	2ei8B1.pdb1	798.85
2eiuE1.pdb2	2eiuC1.pdb2	875.15
1eixB1.pdb1	1eixA1.pdb1	2072.05
1ei8F1.pdb2	1ei8D1.pdb2	657.05
1ei8F1.pdb2	1ei8E1.pdb2	673.2
1ei8D1.pdb2	1ei8E1.pdb2	671.95
6eimA1.pdb1	6eimB1.pdb1	2061.25
1eilA1.pdb1	1eilA7.pdb1	671.6
1eilA1.pdb1	1eilA5.pdb1	366.9
1eilA1.pdb1	1eilA4.pdb1	566.75
1eilA1.pdb1	1eilA3.pdb1	566.75
1eilA7.pdb1	1eilA6.pdb1	566.75
1eilA7.pdb1	1eilA5.pdb1	566.75
1eilA7.pdb1	1eilA4.pdb1	366.9
1eilA8.pdb1	1eilA6.pdb1	566.75
1eilA8.pdb1	1eilA5.pdb1	566.75
1eilA8.pdb1	1eilA2.pdb1	671.6
1eilA8.pdb1	1eilA3.pdb1	366.9
1eilA6.pdb1	1eilA4.pdb1	671.6
1eilA6.pdb1	1eilA2.pdb1	366.9
1eilA5.pdb1	1eilA3.pdb1	671.6
1eilA4.pdb1	1eilA2.pdb1	566.75
1eilA2.pdb1	1eilA3.pdb1	566.75
1eiyA2.pdb1	1eiyA1.pdb1	233.1
1eiyA2.pdb1	1eiyB2.pdb1	4170.45
1eiyA2.pdb1	1eiyB1.pdb1	1877.05
1eiyA2.pdb1	1eiyC2.pdb1	345.65
1eiyA2.pdb1	1eiyC1.pdb1	696.8
1eiyA1.pdb1	1eiyB2.pdb1	1876.95
1eiyA1.pdb1	1eiyB1.pdb1	4170.45
1eiyA1.pdb1	1eiyC2.pdb1	696.8
1eiyA1.pdb1	1eiyC1.pdb1	345.65
1eiyB2.pdb1	1eiyB1.pdb1	1402.45
1eiyB2.pdb1	1eiyC2.pdb1	511.45
1eiyB2.pdb1	1eiyC1.pdb1	801.45
1eiyB1.pdb1	1eiyC2.pdb1	801.55
1eiyB1.pdb1	1eiyC1.pdb1	511.45
6eigB2.pdb2	6eigB1.pdb2	1919.8
5eixE1.pdb1	5eixA1.pdb1	731.7
5eixE1.pdb1	5eixG1.pdb1	37.85
5eixE1.pdb1	5eixF1.pdb1	373.15
5eixE1.pdb1	5eixI1.pdb1	4.3
5eixA1.pdb1	5eixH1.pdb1	32.0
5eixA1.pdb1	5eixG1.pdb1	2171.2
5eixA1.pdb1	5eixF1.pdb1	798.45
5eixA1.pdb1	5eixI1.pdb1	77.15
5eixH1.pdb1	5eixG1.pdb1	624.9
5eixH1.pdb1	5eixF1.pdb1	1.4
5eixH1.pdb1	5eixI1.pdb1	365.25
5eixG1.pdb1	5eixF1.pdb1	72.7
5eixG1.pdb1	5eixI1.pdb1	743.75
5eixF1.pdb1	5eixI1.pdb1	175.55
4eitB1.pdb1	4eitC1.pdb1	1540.15
4eitB1.pdb1	4eitA1.pdb1	608.6
4eitB1.pdb1	4eitD1.pdb1	1429.85
4eitC1.pdb1	4eitA1.pdb1	1435.2
4eitC1.pdb1	4eitD1.pdb1	564.05
4eitA1.pdb1	4eitD1.pdb1	1509.2
4eitF2.pdb2	4eitE1.pdb2	612.7
4eitF2.pdb2	4eitF1.pdb2	1445.05
4eitF2.pdb2	4eitE2.pdb2	1487.9
4eitE1.pdb2	4eitF1.pdb2	1487.9
4eitE1.pdb2	4eitE2.pdb2	1451.75
4eitF1.pdb2	4eitE2.pdb2	612.65
3eiyA1.pdb2	3eiyA3.pdb2	692.95
3eiyA1.pdb2	3eiyA2.pdb2	693.0
3eiyA3.pdb2	3eiyA2.pdb2	692.9
2ei2A3.pdb1	2ei2A2.pdb1	659.25
2ei2A3.pdb1	2ei2A1.pdb1	659.25
2ei2A3.pdb1	2ei2A8.pdb1	473.6
2ei2A3.pdb1	2ei2A5.pdb1	719.3
2ei2A4.pdb1	2ei2A7.pdb1	473.6
2ei2A4.pdb1	2ei2A2.pdb1	659.25
2ei2A4.pdb1	2ei2A6.pdb1	719.3
2ei2A4.pdb1	2ei2A1.pdb1	659.25
2ei2A7.pdb1	2ei2A6.pdb1	659.25
2ei2A7.pdb1	2ei2A1.pdb1	719.3
2ei2A7.pdb1	2ei2A5.pdb1	659.25
2ei2A2.pdb1	2ei2A6.pdb1	473.6
2ei2A2.pdb1	2ei2A8.pdb1	719.25
2ei2A6.pdb1	2ei2A8.pdb1	659.25
2ei2A1.pdb1	2ei2A5.pdb1	473.6
2ei2A8.pdb1	2ei2A5.pdb1	659.25
4ei6A1.pdb1	4ei6B1.pdb1	2215.3
1ei8A1.pdb1	1ei8C1.pdb1	618.9
1ei8A1.pdb1	1ei8B1.pdb1	671.95
1ei8C1.pdb1	1ei8B1.pdb1	623.0
4ei5E1.pdb2	4ei5G1.pdb2	479.9
4ei5E1.pdb2	4ei5F1.pdb2	1146.95
4ei5E1.pdb2	4ei5H1.pdb2	452.75
4ei5G1.pdb2	4ei5H1.pdb2	1762.85
2ei7A1.pdb1	2ei7B1.pdb1	774.25
4eilD1.pdb2	4eilC1.pdb2	3272.7
4eibB1.pdb1	4eibA1.pdb1	566.25
5eivK1.pdb2	5eivJ1.pdb2	138.15
5eivK1.pdb2	5eivI1.pdb2	137.2
5eivJ1.pdb2	5eivI1.pdb2	101.6
3ei7A1.pdb1	3ei7B1.pdb1	3750.6
6eidB1.pdb2	6eidB2.pdb2	1730.0
3eilE1.pdb3	3eilF1.pdb3	483.1
3eidD1.pdb2	3eidC1.pdb2	1353.65
5ei3B1.pdb1	5ei3A1.pdb1	672.25
4eirB1.pdb3	4eirA1.pdb3	800.7
4eigA1.pdb1	4eigB1.pdb1	888.6
4eilA1.pdb1	4eilB1.pdb1	3269.0
2eiiA3.pdb2	2eiiB3.pdb2	3013.25
2eiiA3.pdb2	2eiiA1.pdb2	332.45
2eiiA3.pdb2	2eiiA2.pdb2	332.35
2eiiA3.pdb2	2eiiB1.pdb2	1119.65
2eiiB3.pdb2	2eiiA2.pdb2	1119.65
2eiiB3.pdb2	2eiiB2.pdb2	345.3
2eiiB3.pdb2	2eiiB1.pdb2	345.25
2eiiA1.pdb2	2eiiA2.pdb2	332.4
2eiiA1.pdb2	2eiiB2.pdb2	1119.7
2eiiA1.pdb2	2eiiB1.pdb2	3013.25
2eiiA2.pdb2	2eiiB2.pdb2	3013.1
2eiiB2.pdb2	2eiiB1.pdb2	345.25
2eimL1.pdb1	2eimM1.pdb1	716.9
2eimL1.pdb1	2eimJ1.pdb1	142.5
2eimL1.pdb1	2eimC1.pdb1	25.3
2eimL1.pdb1	2eimA1.pdb1	1724.0
2eimE1.pdb1	2eimD1.pdb1	1267.35
2eimE1.pdb1	2eimI1.pdb1	624.35
2eimE1.pdb1	2eimF1.pdb1	150.95
2eimE1.pdb1	2eimB1.pdb1	275.95
2eimH1.pdb1	2eimC1.pdb1	232.75
2eimH1.pdb1	2eimG1.pdb1	203.0
2eimH1.pdb1	2eimU1.pdb1	361.0
2eimH1.pdb1	2eimA1.pdb1	121.5
2eimH1.pdb1	2eimB1.pdb1	975.25
2eimM1.pdb1	2eimD1.pdb1	327.55
2eimM1.pdb1	2eimK1.pdb1	4.75
2eimM1.pdb1	2eimA1.pdb1	1064.6
2eimP1.pdb1	2eimY1.pdb1	26.25
2eimP1.pdb1	2eimN1.pdb1	2592.3
2eimP1.pdb1	2eimO1.pdb1	26.4
2eimP1.pdb1	2eimS1.pdb1	907.1
2eimP1.pdb1	2eimG1.pdb1	98.05
2eimP1.pdb1	2eimU1.pdb1	240.3
2eimP1.pdb1	2eimW1.pdb1	1298.35
2eimP1.pdb1	2eimT1.pdb1	1650.95
2eimY1.pdb1	2eimN1.pdb1	1743.75
2eimY1.pdb1	2eimZ1.pdb1	713.7
2eimY1.pdb1	2eimW1.pdb1	147.2
2eimV1.pdb1	2eimX1.pdb1	116.15
2eimV1.pdb1	2eimR1.pdb1	606.05
2eimV1.pdb1	2eimQ1.pdb1	395.5
2eimV1.pdb1	2eimN1.pdb1	96.4
2eimV1.pdb1	2eimO1.pdb1	1457.25
2eimX1.pdb1	2eimQ1.pdb1	1437.4
2eimX1.pdb1	2eimN1.pdb1	341.5
2eimX1.pdb1	2eimO1.pdb1	178.7
2eimX1.pdb1	2eimZ1.pdb1	2.0
2eimJ1.pdb1	2eimC1.pdb1	1316.45
2eimJ1.pdb1	2eimF1.pdb1	147.95
2eimJ1.pdb1	2eimA1.pdb1	257.0
2eimR1.pdb1	2eimQ1.pdb1	1281.35
2eimR1.pdb1	2eimO1.pdb1	278.9
2eimR1.pdb1	2eimS1.pdb1	157.8
2eimQ1.pdb1	2eimN1.pdb1	1360.1
2eimQ1.pdb1	2eimO1.pdb1	835.15
2eimQ1.pdb1	2eimS1.pdb1	142.75
2eimQ1.pdb1	2eimZ1.pdb1	327.85
2eimC1.pdb1	2eimG1.pdb1	1648.0
2eimC1.pdb1	2eimF1.pdb1	891.35
2eimC1.pdb1	2eimT1.pdb1	97.6
2eimC1.pdb1	2eimA1.pdb1	2617.55
2eimC1.pdb1	2eimB1.pdb1	24.95
2eimN1.pdb1	2eimO1.pdb1	3479.8
2eimN1.pdb1	2eimS1.pdb1	1263.9
2eimN1.pdb1	2eimG1.pdb1	753.8
2eimN1.pdb1	2eimU1.pdb1	132.6
2eimN1.pdb1	2eimZ1.pdb1	1054.7
2eimN1.pdb1	2eimW1.pdb1	256.15
2eimN1.pdb1	2eimT1.pdb1	355.05
2eimD1.pdb1	2eimI1.pdb1	379.5
2eimD1.pdb1	2eimK1.pdb1	1444.15
2eimD1.pdb1	2eimF1.pdb1	137.0
2eimD1.pdb1	2eimA1.pdb1	1356.75
2eimD1.pdb1	2eimB1.pdb1	809.35
2eimO1.pdb1	2eimG1.pdb1	41.0
2eimO1.pdb1	2eimU1.pdb1	994.9
2eimI1.pdb1	2eimK1.pdb1	117.25
2eimI1.pdb1	2eimA1.pdb1	100.25
2eimI1.pdb1	2eimB1.pdb1	1461.75
2eimS1.pdb1	2eimG1.pdb1	50.35
2eimS1.pdb1	2eimF1.pdb1	123.35
2eimS1.pdb1	2eimW1.pdb1	148.5
2eimS1.pdb1	2eimT1.pdb1	61.75
2eimG1.pdb1	2eimF1.pdb1	63.85
2eimG1.pdb1	2eimA1.pdb1	363.8
2eimU1.pdb1	2eimT1.pdb1	211.75
2eimK1.pdb1	2eimA1.pdb1	340.0
2eimK1.pdb1	2eimB1.pdb1	169.4
2eimF1.pdb1	2eimT1.pdb1	48.15
2eimF1.pdb1	2eimA1.pdb1	1244.9
2eimT1.pdb1	2eimA1.pdb1	750.4
2eimT1.pdb1	2eimB1.pdb1	36.95
2eimA1.pdb1	2eimB1.pdb1	3447.6
2eiqA1.pdb3	2eiqA2.pdb3	677.0
5eigD1.pdb1	5eigB1.pdb1	870.9
5eigD1.pdb1	5eigA1.pdb1	1475.0
5eigD1.pdb1	5eigC1.pdb1	2219.9
5eigB1.pdb1	5eigA1.pdb1	2155.35
5eigB1.pdb1	5eigC1.pdb1	1474.3
5eigA1.pdb1	5eigC1.pdb1	901.9
2ei5B1.pdb1	2ei5A1.pdb1	1439.0
4eizB1.pdb2	4eizC1.pdb2	529.15
4ei0A1.pdb1	4ei0B1.pdb1	508.8
1ei4B1.pdb1	1ei4A1.pdb1	485.3
3ei2A1.pdb1	3ei2B1.pdb1	1981.45
3ei2G1.pdb1	3ei2B1.pdb1	569.5
3ei2G1.pdb1	3ei2H1.pdb1	571.55
3ei2B1.pdb1	3ei2H1.pdb1	447.7
2eiaA1.pdb1	2eiaB1.pdb1	1010.55
2eiaA1.pdb1	2eiaB2.pdb1	656.15
2eiaA1.pdb1	2eiaA2.pdb1	404.2
2eiaB1.pdb1	2eiaB2.pdb1	569.55
2eiaB1.pdb1	2eiaA2.pdb1	656.15
2eiaB2.pdb1	2eiaA2.pdb1	1010.5
3eiqC1.pdb1	3eiqD1.pdb1	1171.15
3eiqC1.pdb1	3eiqA1.pdb1	1727.9
3eiqD1.pdb1	3eiqA1.pdb1	3.65
3ei0E1.pdb1	3ei0D1.pdb1	2061.75
3ei0E1.pdb1	3ei0A1.pdb1	2049.9
3ei0B1.pdb1	3ei0A1.pdb1	2012.2
3ei0B1.pdb1	3ei0C1.pdb1	2060.35
3ei0D1.pdb1	3ei0C1.pdb1	2002.1
2eiyA1.pdb1	2eiyC1.pdb1	833.25
2eiyA1.pdb1	2eiyB1.pdb1	832.15
2eiyA1.pdb1	2eiyC2.pdb1	2434.65
2eiyA1.pdb1	2eiyB2.pdb1	573.4
2eiyC1.pdb1	2eiyA2.pdb1	2434.65
2eiyC1.pdb1	2eiyB1.pdb1	797.7
2eiyC1.pdb1	2eiyC2.pdb1	583.2
2eiyA2.pdb1	2eiyB1.pdb1	573.4
2eiyA2.pdb1	2eiyC2.pdb1	833.25
2eiyA2.pdb1	2eiyB2.pdb1	832.15
2eiyB1.pdb1	2eiyB2.pdb1	2438.5
2eiyC2.pdb1	2eiyB2.pdb1	797.6
4einB1.pdb1	4einA1.pdb1	2164.6
1eixD1.pdb2	1eixC1.pdb2	2069.45
2eizA1.pdb1	2eizC1.pdb1	406.4
2eizA1.pdb1	2eizB1.pdb1	674.5
2eizC1.pdb1	2eizB1.pdb1	510.3
2eipB3.pdb1	2eipA3.pdb1	666.35
2eipB3.pdb1	2eipB2.pdb1	642.8
2eipB3.pdb1	2eipA2.pdb1	172.25
2eipB3.pdb1	2eipB1.pdb1	642.8
2eipA3.pdb1	2eipA2.pdb1	659.8
2eipA3.pdb1	2eipB1.pdb1	172.25
2eipA3.pdb1	2eipA1.pdb1	659.75
2eipB2.pdb1	2eipA2.pdb1	666.35
2eipB2.pdb1	2eipB1.pdb1	642.85
2eipB2.pdb1	2eipA1.pdb1	172.2
2eipA2.pdb1	2eipA1.pdb1	659.8
2eipB1.pdb1	2eipA1.pdb1	666.4
2eiuA1.pdb1	2eiuF1.pdb1	808.6
5ei9F1.pdb2	5ei9D1.pdb2	874.35
5ei9F1.pdb2	5ei9C1.pdb2	1272.35
5ei9D1.pdb2	5ei9C1.pdb2	951.7
2eiuG1.pdb3	2eiuD1.pdb3	948.65
3ei4A1.pdb1	3ei4B1.pdb1	2459.0
4eilF1.pdb3	4eilE1.pdb3	3281.05
2ei4A2.pdb1	2ei4A1.pdb1	688.9
2ei4A2.pdb1	2ei4A3.pdb1	688.95
2ei4A1.pdb1	2ei4A3.pdb1	688.85
2eigD1.pdb1	2eigB1.pdb1	128.6
2eigD1.pdb1	2eigC1.pdb1	1007.3
2eigD1.pdb1	2eigA1.pdb1	970.95
2eigB1.pdb1	2eigC1.pdb1	943.95
2eigB1.pdb1	2eigA1.pdb1	1014.25
2eigC1.pdb1	2eigA1.pdb1	192.95
2eivM1.pdb6	2eivI1.pdb6	627.1
3eipA1.pdb1	3eipB1.pdb1	469.55
5ei1D1.pdb1	5ei1B1.pdb1	485.05
5ei1C1.pdb1	5ei1A1.pdb1	509.15
5ei1B1.pdb1	5ei1A1.pdb1	1623.95
3eivC1.pdb3	3eivD1.pdb3	1416.95
3eizA3.pdb2	3eizA1.pdb2	720.4
3eizA3.pdb2	3eizA2.pdb2	720.45
3eizA1.pdb2	3eizA2.pdb2	720.45
5eimC1.pdb1	5eimA1.pdb1	764.95
4eizA1.pdb1	4eizD1.pdb1	500.15
6eizF1.pdb1	6eizE1.pdb1	695.5
6eizF1.pdb1	6eizA1.pdb1	690.85
6eizC1.pdb1	6eizB1.pdb1	684.35
6eizC1.pdb1	6eizD1.pdb1	687.55
6eizE1.pdb1	6eizD1.pdb1	675.15
6eizB1.pdb1	6eizA1.pdb1	693.75
1ei5A2.pdb1	1ei5A1.pdb1	1716.4
5eiiL1.pdb2	5eiiH1.pdb2	1755.95
5eiiL1.pdb2	5eiiG1.pdb2	188.25
5eiiH1.pdb2	5eiiG1.pdb2	613.4
2eivG1.pdb5	2eivL1.pdb5	605.3
5eiiB1.pdb1	5eiiA1.pdb1	1641.7
5eiiB1.pdb1	5eiiI1.pdb1	182.5
5eiiA1.pdb1	5eiiI1.pdb1	584.55
3einA1.pdb1	3einA2.pdb1	1406.6
2eiwA3.pdb2	2eiwB3.pdb2	3025.2
2eiwA3.pdb2	2eiwB1.pdb2	1127.15
2eiwA3.pdb2	2eiwA2.pdb2	339.3
2eiwA3.pdb2	2eiwA1.pdb2	339.25
2eiwB3.pdb2	2eiwB2.pdb2	343.55
2eiwB3.pdb2	2eiwB1.pdb2	343.6
2eiwB3.pdb2	2eiwA2.pdb2	1127.15
2eiwB2.pdb2	2eiwB1.pdb2	343.55
2eiwB2.pdb2	2eiwA2.pdb2	3025.15
2eiwB2.pdb2	2eiwA1.pdb2	1127.1
2eiwB1.pdb2	2eiwA1.pdb2	3025.25
2eiwA2.pdb2	2eiwA1.pdb2	339.3
3ei6B1.pdb1	3ei6A1.pdb1	3804.7
1ei3E1.pdb1	1ei3A1.pdb1	96.65
1ei3E1.pdb1	1ei3D1.pdb1	234.95
1ei3E1.pdb1	1ei3F1.pdb1	247.05
1ei3A1.pdb1	1ei3D1.pdb1	13.45
1ei3A1.pdb1	1ei3C1.pdb1	111.55
1ei3A1.pdb1	1ei3B1.pdb1	245.4
1ei3D1.pdb1	1ei3B1.pdb1	46.9
1ei3D1.pdb1	1ei3F1.pdb1	80.3
1ei3C1.pdb1	1ei3B1.pdb1	274.35
1ei3C1.pdb1	1ei3F1.pdb1	43.3
2eijX1.pdb1	2eijN1.pdb1	338.9
2eijX1.pdb1	2eijV1.pdb1	114.5
2eijX1.pdb1	2eijQ1.pdb1	1451.4
2eijX1.pdb1	2eijO1.pdb1	171.7
2eijX1.pdb1	2eijZ1.pdb1	5.85
2eijR1.pdb1	2eijV1.pdb1	602.95
2eijR1.pdb1	2eijQ1.pdb1	1288.55
2eijR1.pdb1	2eijO1.pdb1	284.1
2eijR1.pdb1	2eijS1.pdb1	164.45
2eijB1.pdb1	2eijE1.pdb1	273.4
2eijB1.pdb1	2eijK1.pdb1	171.2
2eijB1.pdb1	2eijD1.pdb1	820.5
2eijB1.pdb1	2eijC1.pdb1	23.5
2eijB1.pdb1	2eijH1.pdb1	954.25
2eijB1.pdb1	2eijA1.pdb1	3513.25
2eijB1.pdb1	2eijI1.pdb1	1447.7
2eijB1.pdb1	2eijT1.pdb1	32.95
2eijM1.pdb1	2eijK1.pdb1	8.25
2eijM1.pdb1	2eijD1.pdb1	329.35
2eijM1.pdb1	2eijL1.pdb1	719.9
2eijM1.pdb1	2eijA1.pdb1	1073.6
2eijE1.pdb1	2eijD1.pdb1	1276.1
2eijE1.pdb1	2eijF1.pdb1	154.4
2eijE1.pdb1	2eijI1.pdb1	625.2
2eijG1.pdb1	2eijC1.pdb1	1634.6
2eijG1.pdb1	2eijP1.pdb1	109.75
2eijG1.pdb1	2eijH1.pdb1	205.2
2eijG1.pdb1	2eijF1.pdb1	64.85
2eijG1.pdb1	2eijN1.pdb1	737.15
2eijG1.pdb1	2eijA1.pdb1	358.35
2eijG1.pdb1	2eijO1.pdb1	40.05
2eijG1.pdb1	2eijS1.pdb1	51.25
2eijK1.pdb1	2eijD1.pdb1	1462.2
2eijK1.pdb1	2eijA1.pdb1	337.2
2eijK1.pdb1	2eijI1.pdb1	115.85
2eijD1.pdb1	2eijF1.pdb1	132.55
2eijD1.pdb1	2eijA1.pdb1	1359.4
2eijD1.pdb1	2eijI1.pdb1	397.65
2eijL1.pdb1	2eijC1.pdb1	22.65
2eijL1.pdb1	2eijJ1.pdb1	144.6
2eijL1.pdb1	2eijA1.pdb1	1708.05
2eijC1.pdb1	2eijJ1.pdb1	1329.15
2eijC1.pdb1	2eijH1.pdb1	239.8
2eijC1.pdb1	2eijF1.pdb1	896.05
2eijC1.pdb1	2eijA1.pdb1	2593.5
2eijC1.pdb1	2eijT1.pdb1	107.45
2eijP1.pdb1	2eijN1.pdb1	2594.1
2eijP1.pdb1	2eijY1.pdb1	23.1
2eijP1.pdb1	2eijU1.pdb1	236.05
2eijP1.pdb1	2eijT1.pdb1	1645.55
2eijP1.pdb1	2eijW1.pdb1	1319.4
2eijP1.pdb1	2eijO1.pdb1	21.55
2eijP1.pdb1	2eijS1.pdb1	900.15
2eijJ1.pdb1	2eijF1.pdb1	150.85
2eijJ1.pdb1	2eijA1.pdb1	262.4
2eijH1.pdb1	2eijA1.pdb1	131.7
2eijH1.pdb1	2eijU1.pdb1	348.1
2eijF1.pdb1	2eijA1.pdb1	1243.85
2eijF1.pdb1	2eijT1.pdb1	49.0
2eijF1.pdb1	2eijS1.pdb1	123.4
2eijN1.pdb1	2eijY1.pdb1	1714.95
2eijN1.pdb1	2eijU1.pdb1	140.65
2eijN1.pdb1	2eijT1.pdb1	353.9
2eijN1.pdb1	2eijV1.pdb1	98.55
2eijN1.pdb1	2eijQ1.pdb1	1365.6
2eijN1.pdb1	2eijW1.pdb1	260.75
2eijN1.pdb1	2eijO1.pdb1	3493.9
2eijN1.pdb1	2eijZ1.pdb1	1063.45
2eijN1.pdb1	2eijS1.pdb1	1262.2
2eijA1.pdb1	2eijI1.pdb1	101.35
2eijA1.pdb1	2eijT1.pdb1	739.9
2eijY1.pdb1	2eijQ1.pdb1	0.45
2eijY1.pdb1	2eijW1.pdb1	151.0
2eijY1.pdb1	2eijZ1.pdb1	709.4
2eijU1.pdb1	2eijT1.pdb1	211.0
2eijU1.pdb1	2eijO1.pdb1	962.05
2eijT1.pdb1	2eijS1.pdb1	63.2
2eijV1.pdb1	2eijQ1.pdb1	403.8
2eijV1.pdb1	2eijO1.pdb1	1429.75
2eijQ1.pdb1	2eijO1.pdb1	829.05
2eijQ1.pdb1	2eijZ1.pdb1	339.65
2eijQ1.pdb1	2eijS1.pdb1	134.55
2eijW1.pdb1	2eijS1.pdb1	148.95
5eizC1.pdb1	5eizB1.pdb1	1055.95
5eizC1.pdb1	5eizA1.pdb1	1054.9
5eizB1.pdb1	5eizA1.pdb1	1063.95
4ei5B1.pdb1	4ei5A1.pdb1	1624.15
4ei5A1.pdb1	4ei5D1.pdb1	441.6
4ei5A1.pdb1	4ei5C1.pdb1	474.45
4ei5D1.pdb1	4ei5C1.pdb1	2255.15
6eifD1.pdb1	6eifB1.pdb1	6.0
6eifD1.pdb1	6eifC1.pdb1	887.3
6eifD1.pdb1	6eifA1.pdb1	889.8
6eifB1.pdb1	6eifC1.pdb1	618.2
6eifB1.pdb1	6eifA1.pdb1	960.35
6eifC1.pdb1	6eifA1.pdb1	18.5
2ei6B1.pdb1	2ei6A1.pdb1	768.75
1ei1A1.pdb1	1ei1B1.pdb1	2774.35
3eibB1.pdb1	3eibA1.pdb1	3843.8
3eilC1.pdb2	3eilD1.pdb2	480.25
