5c6pB1.pdb1	5c6pA1.pdb1	476.25
6c62B3.pdb2	6c62D1.pdb2	977.85
6c62B3.pdb2	6c62A1.pdb2	657.85
6c62D1.pdb2	6c62A1.pdb2	1511.65
6c62C4.pdb2	6c62B4.pdb2	1559.65
4c6tC1.pdb2	4c6tD1.pdb2	620.8
6c6fB1.pdb1	6c6fA1.pdb1	1142.6
1c6xA1.pdb1	1c6xB1.pdb1	1829.8
5c6hN1.pdb1	5c6hM1.pdb1	1054.6
5c6hN1.pdb1	5c6hK1.pdb1	285.75
5c6hU1.pdb1	5c6hV1.pdb1	987.45
5c6hU1.pdb1	5c6hM1.pdb1	20.4
5c6hU1.pdb1	5c6hO1.pdb1	280.35
5c6hU1.pdb1	5c6hS1.pdb1	81.8
5c6hU1.pdb1	5c6hQ1.pdb1	261.75
5c6hU1.pdb1	5c6hP1.pdb1	302.15
5c6hU1.pdb1	5c6hT1.pdb1	87.3
5c6hB1.pdb1	5c6hA1.pdb1	1036.7
5c6hA1.pdb1	5c6hI1.pdb1	46.8
5c6hA1.pdb1	5c6hF1.pdb1	285.65
5c6hA1.pdb1	5c6hE1.pdb1	245.05
5c6hA1.pdb1	5c6hJ1.pdb1	88.65
5c6hV1.pdb1	5c6hM1.pdb1	137.4
5c6hV1.pdb1	5c6hQ1.pdb1	304.95
5c6hI1.pdb1	5c6hC1.pdb1	299.45
5c6hI1.pdb1	5c6hE1.pdb1	292.7
5c6hI1.pdb1	5c6hJ1.pdb1	1025.45
5c6hI1.pdb1	5c6hD1.pdb1	338.05
5c6hI1.pdb1	5c6hH1.pdb1	97.8
5c6hI1.pdb1	5c6hG1.pdb1	46.4
5c6hC1.pdb1	5c6hX1.pdb1	71.85
5c6hC1.pdb1	5c6hR1.pdb1	55.1
5c6hC1.pdb1	5c6hQ1.pdb1	196.05
5c6hC1.pdb1	5c6hE1.pdb1	45.1
5c6hC1.pdb1	5c6hK1.pdb1	258.1
5c6hC1.pdb1	5c6hW1.pdb1	49.8
5c6hC1.pdb1	5c6hD1.pdb1	968.4
5c6hC1.pdb1	5c6hH1.pdb1	334.95
5c6hC1.pdb1	5c6hG1.pdb1	276.05
5c6hM1.pdb1	5c6hR1.pdb1	306.3
5c6hM1.pdb1	5c6hQ1.pdb1	264.2
5c6hM1.pdb1	5c6hK1.pdb1	258.6
5c6hF1.pdb1	5c6hE1.pdb1	1032.65
5c6hX1.pdb1	5c6hQ1.pdb1	4.6
5c6hX1.pdb1	5c6hW1.pdb1	989.8
5c6hX1.pdb1	5c6hG1.pdb1	272.8
5c6hR1.pdb1	5c6hQ1.pdb1	1033.2
5c6hR1.pdb1	5c6hK1.pdb1	62.65
5c6hO1.pdb1	5c6hS1.pdb1	281.4
5c6hO1.pdb1	5c6hQ1.pdb1	36.4
5c6hO1.pdb1	5c6hW1.pdb1	147.7
5c6hO1.pdb1	5c6hP1.pdb1	961.8
5c6hO1.pdb1	5c6hT1.pdb1	326.9
5c6hS1.pdb1	5c6hT1.pdb1	951.7
5c6hQ1.pdb1	5c6hK1.pdb1	76.1
5c6hQ1.pdb1	5c6hW1.pdb1	219.1
5c6hQ1.pdb1	5c6hP1.pdb1	125.8
5c6hE1.pdb1	5c6hK1.pdb1	297.5
5c6hE1.pdb1	5c6hL1.pdb1	66.0
5c6hE1.pdb1	5c6hJ1.pdb1	303.35
5c6hE1.pdb1	5c6hD1.pdb1	108.3
5c6hK1.pdb1	5c6hL1.pdb1	984.6
5c6hK1.pdb1	5c6hD1.pdb1	72.35
5c6hW1.pdb1	5c6hP1.pdb1	55.25
5c6hW1.pdb1	5c6hG1.pdb1	269.0
5c6hH1.pdb1	5c6hG1.pdb1	996.95
5c69A2.pdb1	5c69A4.pdb1	213.15
5c69A2.pdb1	5c69A3.pdb1	2095.15
5c69A2.pdb1	5c69A5.pdb1	11.95
5c69A2.pdb1	5c69A1.pdb1	2103.55
5c69A2.pdb1	5c69A6.pdb1	207.75
5c69A4.pdb1	5c69A3.pdb1	12.4
5c69A4.pdb1	5c69A5.pdb1	2103.55
5c69A4.pdb1	5c69A1.pdb1	206.5
5c69A4.pdb1	5c69A6.pdb1	2099.0
5c69A3.pdb1	5c69A5.pdb1	207.8
5c69A3.pdb1	5c69A1.pdb1	2099.0
5c69A3.pdb1	5c69A6.pdb1	213.75
5c69A5.pdb1	5c69A1.pdb1	213.1
5c69A5.pdb1	5c69A6.pdb1	2095.15
5c69A1.pdb1	5c69A6.pdb1	12.35
1c6yB1.pdb1	1c6yA1.pdb1	1801.65
2c6xB1.pdb1	2c6xA1.pdb1	3436.9
5c6uA2.pdb1	5c6uA1.pdb1	2181.2
6c6xL1.pdb4	6c6xH1.pdb4	1612.4
6c6yH1.pdb2	6c6yR1.pdb2	416.25
6c6yH1.pdb2	6c6yL1.pdb2	1631.1
6c6yR1.pdb2	6c6yL1.pdb2	528.75
5c6hG1.pdb5	5c6hH1.pdb5	996.95
6c67A1.pdb1	6c67B1.pdb1	1196.65
3c66D1.pdb2	3c66B1.pdb2	959.65
1c6oB1.pdb1	1c6oA1.pdb1	369.75
2c6qF1.pdb2	2c6qH1.pdb2	1318.5
2c6qF1.pdb2	2c6qE1.pdb2	1279.4
2c6qH1.pdb2	2c6qG1.pdb2	1346.8
2c6qG1.pdb2	2c6qE1.pdb2	1030.25
5c68A1.pdb2	5c68A2.pdb2	1507.9
6c6eB1.pdb1	6c6eA1.pdb1	1198.85
5c6bF5.pdb1	5c6bF4.pdb1	2252.9
5c6bF5.pdb1	5c6bF1.pdb1	264.05
5c6bF5.pdb1	5c6bF3.pdb1	193.0
5c6bF5.pdb1	5c6bF6.pdb1	2247.9
5c6bF5.pdb1	5c6bF2.pdb1	11.25
5c6bF4.pdb1	5c6bF1.pdb1	193.75
5c6bF4.pdb1	5c6bF3.pdb1	11.6
5c6bF4.pdb1	5c6bF6.pdb1	2249.75
5c6bF4.pdb1	5c6bF2.pdb1	264.1
5c6bF1.pdb1	5c6bF3.pdb1	2249.75
5c6bF1.pdb1	5c6bF6.pdb1	11.6
5c6bF1.pdb1	5c6bF2.pdb1	2252.95
5c6bF3.pdb1	5c6bF6.pdb1	265.2
5c6bF3.pdb1	5c6bF2.pdb1	2247.95
5c6bF6.pdb1	5c6bF2.pdb1	193.05
2c6pA1.pdb1	2c6pA2.pdb1	2332.3
3c61C1.pdb2	3c61D1.pdb2	2348.4
6c6hB1.pdb1	6c6hA1.pdb1	1173.35
4c60C1.pdb2	4c60B2.pdb2	1.95
4c60C1.pdb2	4c60A2.pdb2	1012.85
4c60C1.pdb2	4c60D1.pdb2	1895.35
4c60C1.pdb2	4c60C2.pdb2	11.1
4c60C1.pdb2	4c60B1.pdb2	493.9
4c60C1.pdb2	4c60A1.pdb2	1005.05
4c60B2.pdb2	4c60D2.pdb2	992.35
4c60B2.pdb2	4c60A2.pdb2	1893.15
4c60B2.pdb2	4c60D1.pdb2	998.9
4c60B2.pdb2	4c60C2.pdb2	493.9
4c60B2.pdb2	4c60B1.pdb2	10.1
4c60D2.pdb2	4c60A2.pdb2	2.15
4c60D2.pdb2	4c60D1.pdb2	11.35
4c60D2.pdb2	4c60C2.pdb2	1895.3
4c60D2.pdb2	4c60B1.pdb2	998.85
4c60D2.pdb2	4c60A1.pdb2	461.65
4c60A2.pdb2	4c60D1.pdb2	461.7
4c60A2.pdb2	4c60C2.pdb2	1005.05
4c60A2.pdb2	4c60A1.pdb2	10.6
4c60D1.pdb2	4c60B1.pdb2	992.35
4c60D1.pdb2	4c60A1.pdb2	2.2
4c60C2.pdb2	4c60B1.pdb2	2.0
4c60C2.pdb2	4c60A1.pdb2	1012.85
4c60B1.pdb2	4c60A1.pdb2	1893.15
3c6cA1.pdb1	3c6cA2.pdb1	679.9
3c6cA1.pdb1	3c6cA3.pdb1	1514.5
3c6cA1.pdb1	3c6cA4.pdb1	3.6
3c6cA2.pdb1	3c6cA3.pdb1	3.6
3c6cA2.pdb1	3c6cA4.pdb1	1514.5
3c6cA3.pdb1	3c6cA4.pdb1	679.9
4c65A1.pdb1	4c65D1.pdb1	2.9
4c65A1.pdb1	4c65B1.pdb1	1886.85
4c65A1.pdb1	4c65D2.pdb1	469.0
4c65A1.pdb1	4c65A2.pdb1	8.9
4c65A1.pdb1	4c65C1.pdb1	999.65
4c65A1.pdb1	4c65C2.pdb1	988.65
4c65B2.pdb1	4c65D1.pdb1	985.7
4c65B2.pdb1	4c65B1.pdb1	8.8
4c65B2.pdb1	4c65D2.pdb1	997.8
4c65B2.pdb1	4c65A2.pdb1	1886.85
4c65B2.pdb1	4c65C1.pdb1	2.2
4c65B2.pdb1	4c65C2.pdb1	468.4
4c65D1.pdb1	4c65B1.pdb1	997.8
4c65D1.pdb1	4c65D2.pdb1	16.5
4c65D1.pdb1	4c65A2.pdb1	469.0
4c65D1.pdb1	4c65C1.pdb1	1905.75
4c65B1.pdb1	4c65D2.pdb1	985.7
4c65B1.pdb1	4c65C1.pdb1	468.4
4c65B1.pdb1	4c65C2.pdb1	2.2
4c65D2.pdb1	4c65A2.pdb1	2.9
4c65D2.pdb1	4c65C2.pdb1	1905.75
4c65A2.pdb1	4c65C1.pdb1	988.65
4c65A2.pdb1	4c65C2.pdb1	999.65
4c65C1.pdb1	4c65C2.pdb1	14.9
4c65F2.pdb2	4c65E2.pdb2	1888.0
4c65F2.pdb2	4c65G1.pdb2	2.4
4c65F2.pdb2	4c65F1.pdb2	13.95
4c65F2.pdb2	4c65H2.pdb2	985.6
4c65F2.pdb2	4c65H1.pdb2	992.9
4c65F2.pdb2	4c65G2.pdb2	454.3
4c65E2.pdb2	4c65G1.pdb2	986.9
4c65E2.pdb2	4c65E1.pdb2	12.35
4c65E2.pdb2	4c65H2.pdb2	2.3
4c65E2.pdb2	4c65H1.pdb2	473.2
4c65E2.pdb2	4c65G2.pdb2	994.65
4c65G1.pdb2	4c65E1.pdb2	994.65
4c65G1.pdb2	4c65F1.pdb2	454.3
4c65G1.pdb2	4c65H1.pdb2	1884.55
4c65G1.pdb2	4c65G2.pdb2	14.5
4c65E1.pdb2	4c65F1.pdb2	1887.95
4c65E1.pdb2	4c65H2.pdb2	473.2
4c65E1.pdb2	4c65H1.pdb2	2.4
4c65E1.pdb2	4c65G2.pdb2	986.9
4c65F1.pdb2	4c65H2.pdb2	992.9
4c65F1.pdb2	4c65H1.pdb2	985.65
4c65F1.pdb2	4c65G2.pdb2	2.4
4c65H2.pdb2	4c65H1.pdb2	8.45
4c65H2.pdb2	4c65G2.pdb2	1884.55
