1axsL1.pdb1	1axsH1.pdb1	1638.7
5axsA1.pdb1	5axsA2.pdb1	22.4
5axsA1.pdb1	5axsA5.pdb1	645.9
5axsA1.pdb1	5axsA16.pdb1	604.0
5axsA1.pdb1	5axsA9.pdb1	647.8
5axsA3.pdb1	5axsA14.pdb1	604.0
5axsA3.pdb1	5axsA4.pdb1	22.3
5axsA3.pdb1	5axsA10.pdb1	647.8
5axsA3.pdb1	5axsA13.pdb1	604.0
5axsA3.pdb1	5axsA24.pdb1	1555.45
5axsA3.pdb1	5axsA8.pdb1	645.85
5axsA22.pdb1	5axsA15.pdb1	647.8
5axsA22.pdb1	5axsA6.pdb1	601.5
5axsA22.pdb1	5axsA5.pdb1	601.15
5axsA22.pdb1	5axsA20.pdb1	645.8
5axsA15.pdb1	5axsA2.pdb1	604.0
5axsA15.pdb1	5axsA20.pdb1	645.9
5axsA15.pdb1	5axsA12.pdb1	1555.45
5axsA15.pdb1	5axsA16.pdb1	22.4
5axsA14.pdb1	5axsA4.pdb1	604.0
5axsA14.pdb1	5axsA11.pdb1	1555.45
5axsA14.pdb1	5axsA13.pdb1	22.3
5axsA14.pdb1	5axsA19.pdb1	645.85
5axsA14.pdb1	5axsA24.pdb1	647.8
5axsA4.pdb1	5axsA11.pdb1	647.8
5axsA4.pdb1	5axsA13.pdb1	604.0
5axsA4.pdb1	5axsA6.pdb1	645.85
5axsA2.pdb1	5axsA23.pdb1	1555.45
5axsA2.pdb1	5axsA12.pdb1	647.8
5axsA2.pdb1	5axsA7.pdb1	645.9
5axsA2.pdb1	5axsA16.pdb1	604.0
5axsA10.pdb1	5axsA13.pdb1	1555.45
5axsA10.pdb1	5axsA18.pdb1	601.45
5axsA10.pdb1	5axsA17.pdb1	601.15
5axsA10.pdb1	5axsA8.pdb1	645.8
5axsA10.pdb1	5axsA9.pdb1	21.7
5axsA11.pdb1	5axsA6.pdb1	645.8
5axsA11.pdb1	5axsA20.pdb1	601.45
5axsA11.pdb1	5axsA19.pdb1	601.15
5axsA11.pdb1	5axsA12.pdb1	21.7
5axsA13.pdb1	5axsA17.pdb1	645.85
5axsA6.pdb1	5axsA5.pdb1	22.7
5axsA6.pdb1	5axsA20.pdb1	1551.4
5axsA5.pdb1	5axsA17.pdb1	1551.4
5axsA5.pdb1	5axsA9.pdb1	645.8
5axsA18.pdb1	5axsA17.pdb1	22.7
5axsA18.pdb1	5axsA23.pdb1	645.8
5axsA18.pdb1	5axsA8.pdb1	1551.4
5axsA18.pdb1	5axsA16.pdb1	645.9
5axsA18.pdb1	5axsA9.pdb1	601.15
5axsA20.pdb1	5axsA19.pdb1	22.7
5axsA20.pdb1	5axsA12.pdb1	601.15
5axsA17.pdb1	5axsA9.pdb1	601.5
5axsA19.pdb1	5axsA12.pdb1	601.5
5axsA19.pdb1	5axsA24.pdb1	645.8
5axsA19.pdb1	5axsA7.pdb1	1551.4
5axsA23.pdb1	5axsA24.pdb1	21.7
5axsA23.pdb1	5axsA8.pdb1	601.5
5axsA23.pdb1	5axsA7.pdb1	601.15
5axsA23.pdb1	5axsA16.pdb1	647.8
5axsA12.pdb1	5axsA7.pdb1	645.8
5axsA24.pdb1	5axsA8.pdb1	601.15
5axsA24.pdb1	5axsA7.pdb1	601.45
5axsA8.pdb1	5axsA7.pdb1	22.7
5axsA16.pdb1	5axsA9.pdb1	1555.45
1axzA1.pdb1	1axzA2.pdb1	818.1
6axlB1.pdb1	6axlA1.pdb1	1771.85
6axlG1.pdb1	6axlA1.pdb1	252.3
5axnB1.pdb1	5axnA2.pdb1	320.0
5axnB1.pdb1	5axnA1.pdb1	1946.3
5axnB1.pdb1	5axnB2.pdb1	317.3
5axnB1.pdb1	5axnP1.pdb1	705.85
5axnA2.pdb1	5axnP2.pdb1	673.4
5axnA2.pdb1	5axnA1.pdb1	514.7
5axnA2.pdb1	5axnB2.pdb1	1946.3
5axnP2.pdb1	5axnB2.pdb1	705.85
5axnA1.pdb1	5axnB2.pdb1	320.0
5axnA1.pdb1	5axnP1.pdb1	673.4
2axyG1.pdb2	2axyC1.pdb2	559.95
2axyH1.pdb2	2axyD1.pdb2	542.0
2axyD1.pdb2	2axyC1.pdb2	914.05
2axgC1.pdb1	2axgA1.pdb1	840.25
2axgB1.pdb1	2axgA1.pdb1	1256.1
5axaA2.pdb1	5axaC1.pdb1	467.05
5axaA2.pdb1	5axaC2.pdb1	1842.6
5axaA2.pdb1	5axaA1.pdb1	3109.1
5axaC1.pdb1	5axaC2.pdb1	3073.6
5axaC1.pdb1	5axaA1.pdb1	1842.6
5axaC2.pdb1	5axaA1.pdb1	467.05
1axgA1.pdb1	1axgB1.pdb1	1697.75
2ax4C1.pdb2	2ax4D1.pdb2	1650.6
5axmA1.pdb1	5axmB1.pdb1	1866.75
5axmA1.pdb1	5axmB2.pdb1	377.15
5axmA1.pdb1	5axmA2.pdb1	484.6
5axmA1.pdb1	5axmP1.pdb1	764.15
5axmP2.pdb1	5axmB2.pdb1	721.45
5axmP2.pdb1	5axmA2.pdb1	764.15
5axmP2.pdb1	5axmP1.pdb1	12.2
5axmB1.pdb1	5axmB2.pdb1	357.2
5axmB1.pdb1	5axmA2.pdb1	377.15
5axmB1.pdb1	5axmP1.pdb1	721.45
5axmB2.pdb1	5axmA2.pdb1	1866.75
6axfC1.pdb2	6axfD1.pdb2	1578.75
6axfP1.pdb8	6axfO1.pdb8	1523.6
4ax9L1.pdb1	4ax9H1.pdb1	1063.2
4ax9I1.pdb1	4ax9H1.pdb1	561.95
4axdA2.pdb1	4axdA1.pdb1	936.3
6axvA2.pdb1	6axvA4.pdb1	1052.4
6axvA2.pdb1	6axvA1.pdb1	5.4
6axvA2.pdb1	6axvA6.pdb1	1052.4
6axvA2.pdb1	6axvA3.pdb1	5.5
6axvA5.pdb1	6axvA4.pdb1	5.4
6axvA5.pdb1	6axvA1.pdb1	1052.4
6axvA5.pdb1	6axvA6.pdb1	5.5
6axvA5.pdb1	6axvA3.pdb1	1052.4
6axvA4.pdb1	6axvA6.pdb1	5.5
6axvA4.pdb1	6axvA3.pdb1	1052.4
6axvA1.pdb1	6axvA6.pdb1	1052.4
6axvA1.pdb1	6axvA3.pdb1	5.5
2axuA1.pdb1	2axuF1.pdb1	536.95
2axuA1.pdb1	2axuB1.pdb1	2655.95
2axuF1.pdb1	2axuE1.pdb1	2565.0
2axuB1.pdb1	2axuE1.pdb1	539.75
2axuH1.pdb3	2axuG1.pdb3	2673.5
2axuH1.pdb3	2axuI1.pdb3	553.6
2axuG1.pdb3	2axuJ1.pdb3	544.65
2axuI1.pdb3	2axuJ1.pdb3	2499.75
1axiA1.pdb1	1axiB1.pdb1	1283.0
1axiA1.pdb1	1axiB2.pdb1	490.05
1axiA2.pdb1	1axiB1.pdb1	490.05
1axiA2.pdb1	1axiB2.pdb1	1282.95
1axiB1.pdb1	1axiB2.pdb1	684.1
3axbA1.pdb1	3axbA2.pdb1	2029.8
2axtu1.pdb1	2axto1.pdb1	500.0
2axtu1.pdb1	2axta1.pdb1	88.35
2axtu1.pdb1	2axtv1.pdb1	617.35
2axtu1.pdb1	2axtd1.pdb1	113.45
2axtu1.pdb1	2axtc1.pdb1	436.2
2axtu1.pdb1	2axtb1.pdb1	395.65
2axtU1.pdb1	2axtO1.pdb1	499.3
2axtU1.pdb1	2axtA1.pdb1	88.7
2axtU1.pdb1	2axtV1.pdb1	615.8
2axtU1.pdb1	2axtD1.pdb1	111.9
2axtU1.pdb1	2axtC1.pdb1	439.05
2axtU1.pdb1	2axtB1.pdb1	395.1
2axtO1.pdb1	2axtA1.pdb1	663.15
2axtO1.pdb1	2axtD1.pdb1	658.2
2axtO1.pdb1	2axtC1.pdb1	1287.05
2axtO1.pdb1	2axtB1.pdb1	739.8
2axtO1.pdb1	2axtb1.pdb1	235.5
2axto1.pdb1	2axta1.pdb1	666.4
2axto1.pdb1	2axtd1.pdb1	659.75
2axto1.pdb1	2axtc1.pdb1	1288.1
2axto1.pdb1	2axtB1.pdb1	218.95
2axto1.pdb1	2axtb1.pdb1	740.45
2axtF1.pdb1	2axtJ1.pdb1	334.55
2axtF1.pdb1	2axtA1.pdb1	51.3
2axtF1.pdb1	2axtV1.pdb1	87.5
2axtF1.pdb1	2axtD1.pdb1	458.15
2axtF1.pdb1	2axtX1.pdb1	82.4
2axtF1.pdb1	2axtE1.pdb1	802.65
2axtf1.pdb1	2axtj1.pdb1	338.65
2axtf1.pdb1	2axta1.pdb1	50.25
2axtf1.pdb1	2axtv1.pdb1	88.15
2axtf1.pdb1	2axtd1.pdb1	460.35
2axtf1.pdb1	2axtx1.pdb1	81.15
2axtf1.pdb1	2axte1.pdb1	805.55
2axtZ1.pdb1	2axtK1.pdb1	268.7
2axtZ1.pdb1	2axtD1.pdb1	0.05
2axtZ1.pdb1	2axtX1.pdb1	335.25
2axtZ1.pdb1	2axtC1.pdb1	373.35
2axtz1.pdb1	2axtk1.pdb1	261.15
2axtz1.pdb1	2axtD1.pdb1	0.05
2axtz1.pdb1	2axtx1.pdb1	334.05
2axtz1.pdb1	2axtc1.pdb1	370.35
2axtI1.pdb1	2axtA1.pdb1	822.7
2axtI1.pdb1	2axtC1.pdb1	361.95
2axti1.pdb1	2axta1.pdb1	826.95
2axti1.pdb1	2axtc1.pdb1	360.5
2axtJ1.pdb1	2axtA1.pdb1	138.5
2axtJ1.pdb1	2axtV1.pdb1	54.35
2axtJ1.pdb1	2axtK1.pdb1	133.45
2axtJ1.pdb1	2axtD1.pdb1	78.6
2axtJ1.pdb1	2axtX1.pdb1	149.75
2axtJ1.pdb1	2axtE1.pdb1	279.25
2axtJ1.pdb1	2axtC1.pdb1	51.3
2axtj1.pdb1	2axta1.pdb1	137.45
2axtj1.pdb1	2axtv1.pdb1	55.8
2axtj1.pdb1	2axtk1.pdb1	133.25
2axtj1.pdb1	2axtd1.pdb1	79.85
2axtj1.pdb1	2axtx1.pdb1	149.4
2axtj1.pdb1	2axte1.pdb1	281.4
2axtj1.pdb1	2axtc1.pdb1	51.55
2axta1.pdb1	2axtv1.pdb1	575.8
2axta1.pdb1	2axtt1.pdb1	499.8
2axta1.pdb1	2axtD1.pdb1	0.05
2axta1.pdb1	2axtd1.pdb1	5385.7
2axta1.pdb1	2axtl1.pdb1	251.0
2axta1.pdb1	2axte1.pdb1	320.65
2axta1.pdb1	2axtm1.pdb1	40.4
2axta1.pdb1	2axtc1.pdb1	3171.0
2axta1.pdb1	2axtB1.pdb1	25.85
2axta1.pdb1	2axtb1.pdb1	563.3
2axtA1.pdb1	2axtV1.pdb1	572.85
2axtA1.pdb1	2axtT1.pdb1	496.05
2axtA1.pdb1	2axtD1.pdb1	5385.55
2axtA1.pdb1	2axtL1.pdb1	252.55
2axtA1.pdb1	2axtE1.pdb1	318.0
2axtA1.pdb1	2axtM1.pdb1	38.85
2axtA1.pdb1	2axtC1.pdb1	3174.05
2axtA1.pdb1	2axtB1.pdb1	566.4
2axtA1.pdb1	2axtb1.pdb1	36.85
2axtV1.pdb1	2axtD1.pdb1	208.3
2axtV1.pdb1	2axtE1.pdb1	157.35
2axtV1.pdb1	2axtC1.pdb1	868.1
2axtv1.pdb1	2axtd1.pdb1	210.45
2axtv1.pdb1	2axte1.pdb1	156.0
2axtv1.pdb1	2axtc1.pdb1	867.25
2axtK1.pdb1	2axtD1.pdb1	8.5
2axtK1.pdb1	2axtX1.pdb1	464.1
2axtK1.pdb1	2axtC1.pdb1	787.0
2axtk1.pdb1	2axtD1.pdb1	0.05
2axtk1.pdb1	2axtd1.pdb1	10.55
2axtk1.pdb1	2axtx1.pdb1	463.55
2axtk1.pdb1	2axtc1.pdb1	785.3
2axtT1.pdb1	2axtD1.pdb1	190.65
2axtT1.pdb1	2axtL1.pdb1	601.0
2axtT1.pdb1	2axtm1.pdb1	31.95
2axtT1.pdb1	2axtM1.pdb1	180.25
2axtT1.pdb1	2axtC1.pdb1	156.95
2axtT1.pdb1	2axtb1.pdb1	108.2
2axtt1.pdb1	2axtD1.pdb1	0.05
2axtt1.pdb1	2axtd1.pdb1	192.4
2axtt1.pdb1	2axtl1.pdb1	602.4
2axtt1.pdb1	2axtm1.pdb1	181.15
2axtt1.pdb1	2axtM1.pdb1	31.1
2axtt1.pdb1	2axtc1.pdb1	157.0
2axtt1.pdb1	2axtB1.pdb1	99.85
2axtD1.pdb1	2axtX1.pdb1	567.45
2axtD1.pdb1	2axtL1.pdb1	387.4
2axtD1.pdb1	2axtE1.pdb1	1325.4
2axtD1.pdb1	2axtM1.pdb1	161.45
2axtD1.pdb1	2axtC1.pdb1	856.7
2axtD1.pdb1	2axtB1.pdb1	2427.05
2axtD1.pdb1	2axtH1.pdb1	283.05
2axtd1.pdb1	2axtx1.pdb1	566.7
2axtd1.pdb1	2axtl1.pdb1	387.85
2axtd1.pdb1	2axte1.pdb1	1317.15
2axtd1.pdb1	2axtm1.pdb1	162.0
2axtd1.pdb1	2axtc1.pdb1	854.7
2axtd1.pdb1	2axtb1.pdb1	2422.25
2axtd1.pdb1	2axth1.pdb1	282.35
2axtX1.pdb1	2axtE1.pdb1	563.6
2axtX1.pdb1	2axtC1.pdb1	17.3
2axtX1.pdb1	2axtB1.pdb1	76.6
2axtX1.pdb1	2axtH1.pdb1	314.4
2axtx1.pdb1	2axte1.pdb1	562.3
2axtx1.pdb1	2axtc1.pdb1	18.0
2axtx1.pdb1	2axtb1.pdb1	77.05
2axtx1.pdb1	2axth1.pdb1	315.05
2axtl1.pdb1	2axtm1.pdb1	816.35
2axtl1.pdb1	2axtM1.pdb1	83.5
2axtl1.pdb1	2axtb1.pdb1	658.65
2axtl1.pdb1	2axth1.pdb1	0.6
2axtL1.pdb1	2axtm1.pdb1	81.6
2axtL1.pdb1	2axtM1.pdb1	815.95
2axtL1.pdb1	2axtB1.pdb1	659.75
2axtL1.pdb1	2axtH1.pdb1	0.3
2axte1.pdb1	2axtb1.pdb1	25.05
2axte1.pdb1	2axth1.pdb1	88.05
2axtE1.pdb1	2axtB1.pdb1	24.05
2axtE1.pdb1	2axtH1.pdb1	87.9
2axtm1.pdb1	2axtM1.pdb1	656.3
2axtm1.pdb1	2axtb1.pdb1	97.1
2axtM1.pdb1	2axtB1.pdb1	95.3
2axtB1.pdb1	2axtH1.pdb1	1838.3
2axtb1.pdb1	2axth1.pdb1	1837.9
1axrA1.pdb1	1axrA2.pdb1	2685.0
6axxA4.pdb1	6axxA5.pdb1	19.5
6axxA4.pdb1	6axxA6.pdb1	19.5
6axxA4.pdb1	6axxA2.pdb1	1051.8
6axxA4.pdb1	6axxA1.pdb1	8.5
6axxA4.pdb1	6axxA3.pdb1	1051.85
6axxA5.pdb1	6axxA6.pdb1	19.45
6axxA5.pdb1	6axxA2.pdb1	8.4
6axxA5.pdb1	6axxA1.pdb1	1051.8
6axxA5.pdb1	6axxA3.pdb1	1051.8
6axxA6.pdb1	6axxA2.pdb1	1051.8
6axxA6.pdb1	6axxA1.pdb1	1051.85
6axxA6.pdb1	6axxA3.pdb1	8.5
6axxA2.pdb1	6axxA1.pdb1	19.5
6axxA2.pdb1	6axxA3.pdb1	19.45
6axxA1.pdb1	6axxA3.pdb1	19.5
1axeB1.pdb1	1axeA1.pdb1	1691.3
1axkB1.pdb1	1axkA1.pdb1	67.75
3ax9B1.pdb1	3ax9A1.pdb1	2944.9
5ax7A1.pdb1	5ax7B1.pdb1	930.9
3axyH1.pdb2	3axyJ1.pdb2	643.05
3axyL1.pdb2	3axyJ1.pdb2	506.1
3axyK1.pdb2	3axyI1.pdb2	525.6
3axyJ1.pdb2	3axyI1.pdb2	1096.7
3axyI1.pdb2	3axyG1.pdb2	619.1
4ax3B1.pdb1	4ax3B2.pdb1	2303.9
4ax3B1.pdb1	4ax3B3.pdb1	2303.4
4ax3B2.pdb1	4ax3B3.pdb1	2309.95
6axwA4.pdb1	6axwA2.pdb1	1048.75
6axwA4.pdb1	6axwA1.pdb1	5.6
6axwA4.pdb1	6axwA5.pdb1	18.3
6axwA4.pdb1	6axwA6.pdb1	18.3
6axwA4.pdb1	6axwA3.pdb1	1048.75
6axwA2.pdb1	6axwA1.pdb1	18.3
6axwA2.pdb1	6axwA5.pdb1	5.7
6axwA2.pdb1	6axwA6.pdb1	1048.7
6axwA2.pdb1	6axwA3.pdb1	18.35
6axwA1.pdb1	6axwA5.pdb1	1048.75
6axwA1.pdb1	6axwA6.pdb1	1048.75
6axwA1.pdb1	6axwA3.pdb1	18.3
6axwA5.pdb1	6axwA6.pdb1	18.35
6axwA5.pdb1	6axwA3.pdb1	1048.7
6axwA6.pdb1	6axwA3.pdb1	5.6
2axiB1.pdb3	2axiA2.pdb3	121.4
2axiB1.pdb3	2axiA1.pdb3	495.45
2axiA2.pdb3	2axiB2.pdb3	495.45
2axiA2.pdb3	2axiA1.pdb3	416.2
2axiB2.pdb3	2axiA1.pdb3	121.4
6axfH1.pdb4	6axfG1.pdb4	1534.35
5axlB2.pdb1	5axlA1.pdb1	464.55
5axlB2.pdb1	5axlB1.pdb1	389.0
5axlB2.pdb1	5axlA2.pdb1	1863.85
5axlA1.pdb1	5axlB1.pdb1	1863.85
5axlA1.pdb1	5axlA2.pdb1	405.8
5axlB1.pdb1	5axlA2.pdb1	464.55
3axgO4.pdb5	3axgO2.pdb5	1452.0
3axgO4.pdb5	3axgO1.pdb5	3149.05
3axgO4.pdb5	3axgO3.pdb5	57.1
3axgO2.pdb5	3axgO1.pdb5	57.1
3axgO2.pdb5	3axgO3.pdb5	3149.05
3axgO1.pdb5	3axgO3.pdb5	1452.0
5axiE1.pdb2	5axiB1.pdb2	198.55
2axjB1.pdb1	2axjA1.pdb1	1642.7
2axhA1.pdb1	2axhB1.pdb1	1623.9
3ax2F1.pdb3	3ax2E1.pdb3	515.65
6axpA1.pdb1	6axpE1.pdb1	400.5
6axpA1.pdb1	6axpB1.pdb1	1746.6
6axpE1.pdb1	6axpB1.pdb1	335.75
3axzA2.pdb1	3axzA1.pdb1	3399.8
4axlA1.pdb1	4axlA2.pdb1	661.25
3axyE1.pdb1	3axyC1.pdb1	530.6
3axyB1.pdb1	3axyD1.pdb1	643.45
3axyD1.pdb1	3axyC1.pdb1	1112.6
3axyD1.pdb1	3axyF1.pdb1	512.15
3axyC1.pdb1	3axyA1.pdb1	655.95
6axjE2.pdb1	6axjA2.pdb1	209.35
6axjA3.pdb1	6axjA2.pdb1	706.9
6axjA3.pdb1	6axjE3.pdb1	209.4
6axjA3.pdb1	6axjA1.pdb1	706.9
6axjA2.pdb1	6axjA1.pdb1	706.85
6axjE1.pdb1	6axjA1.pdb1	209.35
4axsA1.pdb1	4axsA2.pdb1	2211.85
4axhB1.pdb1	4axhA1.pdb1	4880.35
5ax8D1.pdb2	5ax8B1.pdb2	3283.35
3axgC1.pdb1	3axgD1.pdb1	3113.8
3axgC1.pdb1	3axgA1.pdb1	120.85
3axgC1.pdb1	3axgB1.pdb1	1382.45
3axgD1.pdb1	3axgA1.pdb1	1445.25
3axgD1.pdb1	3axgB1.pdb1	34.1
3axgA1.pdb1	3axgB1.pdb1	3168.25
6axkE1.pdb1	6axkB1.pdb1	143.25
6axkE1.pdb1	6axkA1.pdb1	520.25
6axkB1.pdb1	6axkA1.pdb1	1877.95
3axkB3.pdb1	3axkB1.pdb1	489.95
3axkB3.pdb1	3axkT1.pdb1	933.3
3axkB3.pdb1	3axkT4.pdb1	0.05
3axkB3.pdb1	3axkS2.pdb1	361.35
3axkB3.pdb1	3axkB2.pdb1	489.95
3axkB3.pdb1	3axkT3.pdb1	1804.8
3axkB3.pdb1	3axkA3.pdb1	3089.9
3axkB3.pdb1	3axkA2.pdb1	479.05
3axkS4.pdb1	3axkA4.pdb1	1823.2
3axkS4.pdb1	3axkS2.pdb1	384.25
3axkS4.pdb1	3axkB2.pdb1	361.35
3axkS4.pdb1	3axkS1.pdb1	384.25
3axkS4.pdb1	3axkA2.pdb1	932.3
3axkB1.pdb1	3axkT1.pdb1	1804.8
3axkB1.pdb1	3axkT4.pdb1	933.3
3axkB1.pdb1	3axkA3.pdb1	479.05
3axkB1.pdb1	3axkS3.pdb1	361.35
3axkB1.pdb1	3axkB4.pdb1	489.95
3axkB1.pdb1	3axkA1.pdb1	3089.9
3axkT1.pdb1	3axkT4.pdb1	393.1
3axkT1.pdb1	3axkT3.pdb1	393.1
3axkT1.pdb1	3axkA3.pdb1	342.8
3axkT2.pdb1	3axkT4.pdb1	393.1
3axkT2.pdb1	3axkA4.pdb1	342.8
3axkT2.pdb1	3axkB2.pdb1	1804.8
3axkT2.pdb1	3axkT3.pdb1	393.1
3axkT2.pdb1	3axkB4.pdb1	933.3
3axkT4.pdb1	3axkB4.pdb1	1804.8
3axkT4.pdb1	3axkA1.pdb1	342.8
3axkA4.pdb1	3axkB2.pdb1	479.0
3axkA4.pdb1	3axkS1.pdb1	932.3
3axkA4.pdb1	3axkB4.pdb1	3089.9
3axkA4.pdb1	3axkA2.pdb1	494.75
3axkA4.pdb1	3axkA1.pdb1	494.75
3axkS2.pdb1	3axkA3.pdb1	932.3
3axkS2.pdb1	3axkS3.pdb1	384.25
3axkS2.pdb1	3axkA2.pdb1	1823.2
3axkB2.pdb1	3axkT3.pdb1	933.3
3axkB2.pdb1	3axkB4.pdb1	489.95
3axkB2.pdb1	3axkA2.pdb1	3089.9
3axkT3.pdb1	3axkA2.pdb1	342.8
3axkA3.pdb1	3axkS3.pdb1	1823.2
3axkA3.pdb1	3axkA2.pdb1	494.75
3axkA3.pdb1	3axkA1.pdb1	494.75
3axkS1.pdb1	3axkS3.pdb1	384.25
3axkS1.pdb1	3axkB4.pdb1	361.35
3axkS1.pdb1	3axkA1.pdb1	1823.2
3axkS3.pdb1	3axkA1.pdb1	932.3
3axkB4.pdb1	3axkA1.pdb1	479.05
6axfE1.pdb3	6axfF1.pdb3	1562.4
5axvA9.pdb1	5axvA10.pdb1	752.1
5axvA9.pdb1	5axvA8.pdb1	1907.25
5axvA9.pdb1	5axvA4.pdb1	63.0
5axvA9.pdb1	5axvA2.pdb1	1906.45
5axvA9.pdb1	5axvA7.pdb1	63.75
5axvA12.pdb1	5axvA1.pdb1	1906.45
5axvA12.pdb1	5axvA5.pdb1	63.75
5axvA12.pdb1	5axvA11.pdb1	752.1
5axvA12.pdb1	5axvA6.pdb1	1907.25
5axvA12.pdb1	5axvA3.pdb1	63.0
5axvA1.pdb1	5axvA8.pdb1	63.55
5axvA1.pdb1	5axvA11.pdb1	63.0
5axvA1.pdb1	5axvA6.pdb1	1904.65
5axvA1.pdb1	5axvA2.pdb1	759.2
5axvA10.pdb1	5axvA5.pdb1	1907.25
5axvA10.pdb1	5axvA4.pdb1	1906.45
5axvA10.pdb1	5axvA6.pdb1	63.75
5axvA10.pdb1	5axvA2.pdb1	63.0
5axvA8.pdb1	5axvA11.pdb1	63.75
5axvA8.pdb1	5axvA2.pdb1	1904.65
5axvA8.pdb1	5axvA7.pdb1	754.6
5axvA5.pdb1	5axvA4.pdb1	1904.7
5axvA5.pdb1	5axvA6.pdb1	754.6
5axvA5.pdb1	5axvA3.pdb1	63.55
5axvA11.pdb1	5axvA3.pdb1	1906.45
5axvA11.pdb1	5axvA7.pdb1	1907.25
5axvA4.pdb1	5axvA3.pdb1	759.2
5axvA4.pdb1	5axvA7.pdb1	63.55
5axvA6.pdb1	5axvA2.pdb1	63.55
5axvA3.pdb1	5axvA7.pdb1	1904.7
2axhB1.pdb3	2axhB2.pdb3	30.8
2axhB1.pdb3	2axhA1.pdb3	1623.9
2axhB1.pdb3	2axhA2.pdb3	832.3
2axhB2.pdb3	2axhA1.pdb3	832.3
2axhB2.pdb3	2axhA2.pdb3	1624.0
2axhA1.pdb3	2axhA2.pdb3	40.7
2axiA1.pdb5	2axiB1.pdb5	495.45
2axiA1.pdb5	2axiB2.pdb5	6.8
2axiB1.pdb5	2axiB2.pdb5	20.6
2axiB1.pdb5	2axiA2.pdb5	6.8
2axiB2.pdb5	2axiA2.pdb5	495.45
4axaI1.pdb1	4axaA1.pdb1	1020.65
6axjB2.pdb3	6axjB1.pdb3	712.9
6axjB2.pdb3	6axjB3.pdb3	712.95
6axjB2.pdb3	6axjG2.pdb3	215.0
6axjB1.pdb3	6axjB3.pdb3	712.9
6axjB1.pdb3	6axjG1.pdb3	214.95
6axjB3.pdb3	6axjG3.pdb3	214.95
1ax8A2.pdb2	1ax8A3.pdb2	675.55
1ax8A2.pdb2	1ax8A1.pdb2	675.55
1ax8A3.pdb2	1ax8A1.pdb2	675.55
5axuA5.pdb1	5axuA9.pdb1	1901.05
5axuA5.pdb1	5axuA1.pdb1	1896.05
5axuA5.pdb1	5axuA6.pdb1	735.8
5axuA5.pdb1	5axuA2.pdb1	57.95
5axuA5.pdb1	5axuA11.pdb1	58.05
5axuA9.pdb1	5axuA1.pdb1	1901.1
5axuA9.pdb1	5axuA10.pdb1	726.9
5axuA9.pdb1	5axuA6.pdb1	58.05
5axuA9.pdb1	5axuA3.pdb1	57.35
5axuA7.pdb1	5axuA1.pdb1	57.95
5axuA7.pdb1	5axuA8.pdb1	735.8
5axuA7.pdb1	5axuA10.pdb1	58.05
5axuA7.pdb1	5axuA12.pdb1	1901.05
5axuA7.pdb1	5axuA2.pdb1	1896.05
5axuA1.pdb1	5axuA10.pdb1	57.35
5axuA1.pdb1	5axuA2.pdb1	737.1
5axuA4.pdb1	5axuA8.pdb1	57.95
5axuA4.pdb1	5axuA6.pdb1	1896.05
5axuA4.pdb1	5axuA12.pdb1	57.35
5axuA4.pdb1	5axuA3.pdb1	737.1
5axuA4.pdb1	5axuA11.pdb1	1901.1
5axuA8.pdb1	5axuA10.pdb1	1901.1
5axuA8.pdb1	5axuA12.pdb1	58.05
5axuA8.pdb1	5axuA3.pdb1	1896.05
5axuA10.pdb1	5axuA3.pdb1	1901.1
5axuA6.pdb1	5axuA3.pdb1	57.95
5axuA6.pdb1	5axuA11.pdb1	1901.1
5axuA12.pdb1	5axuA2.pdb1	1901.1
5axuA12.pdb1	5axuA11.pdb1	726.9
5axuA2.pdb1	5axuA11.pdb1	57.35
