2q3bA2.pdb1	2q3bA1.pdb1	2053.4
2q3eH1.pdb2	2q3eG1.pdb2	2695.4
2q3eH1.pdb2	2q3eL1.pdb2	602.9
2q3eH1.pdb2	2q3eJ1.pdb2	603.1
2q3eG1.pdb2	2q3eK1.pdb2	610.3
2q3eG1.pdb2	2q3eL1.pdb2	82.25
2q3eK1.pdb2	2q3eL1.pdb2	2653.55
2q3eK1.pdb2	2q3eJ1.pdb2	82.15
2q3eL1.pdb2	2q3eJ1.pdb2	590.6
3q3gD1.pdb1	3q3gG1.pdb1	540.3
3q3gD1.pdb1	3q3gC1.pdb1	2040.85
3q3gG1.pdb1	3q3gC1.pdb1	395.0
1q39A2.pdb2	1q39A3.pdb2	371.7
1q39A2.pdb2	1q39A1.pdb2	1024.8
1q39A2.pdb2	1q39A4.pdb2	725.7
1q39A3.pdb2	1q39A1.pdb2	725.7
1q39A3.pdb2	1q39A4.pdb2	1024.8
1q39A1.pdb2	1q39A4.pdb2	371.7
4q3vD2.pdb4	4q3vD3.pdb4	1417.75
4q3vD2.pdb4	4q3vD1.pdb4	1414.15
4q3vD3.pdb4	4q3vD1.pdb4	1415.15
4q3lB1.pdb1	4q3lA1.pdb1	1282.1
4q3lB1.pdb1	4q3lD1.pdb1	1575.95
4q3lA1.pdb1	4q3lC1.pdb1	1611.9
4q3lC1.pdb1	4q3lD1.pdb1	1288.25
1q3gW1.pdb4	1q3gX1.pdb4	977.95
1q3gW1.pdb4	1q3gZ1.pdb4	813.95
1q3gW1.pdb4	1q3gY1.pdb4	294.3
1q3gX1.pdb4	1q3gZ1.pdb4	326.8
1q3gX1.pdb4	1q3gY1.pdb4	789.05
1q3gZ1.pdb4	1q3gY1.pdb4	973.05
4q3pC3.pdb3	4q3pC2.pdb3	1457.65
4q3pC3.pdb3	4q3pC1.pdb3	1455.3
4q3pC2.pdb3	4q3pC1.pdb3	1456.35
6q3dB1.pdb1	6q3dA1.pdb1	2276.25
4q3fA1.pdb1	4q3fA2.pdb1	1127.95
4q3fA1.pdb1	4q3fA3.pdb1	1127.95
4q3fA2.pdb1	4q3fA3.pdb1	1128.0
1q3uH1.pdb1	1q3uE1.pdb1	1408.15
1q3uH1.pdb1	1q3uF1.pdb1	1424.65
1q3uH1.pdb1	1q3uG1.pdb1	1608.6
1q3uH1.pdb1	1q3uA1.pdb1	47.65
1q3uD1.pdb1	1q3uC1.pdb1	1606.0
1q3uD1.pdb1	1q3uE1.pdb1	48.6
1q3uD1.pdb1	1q3uB1.pdb1	1436.95
1q3uD1.pdb1	1q3uA1.pdb1	1440.25
1q3uC1.pdb1	1q3uB1.pdb1	1487.0
1q3uC1.pdb1	1q3uA1.pdb1	1100.65
1q3uE1.pdb1	1q3uF1.pdb1	1993.45
1q3uE1.pdb1	1q3uB1.pdb1	1590.2
1q3uE1.pdb1	1q3uG1.pdb1	1110.4
1q3uF1.pdb1	1q3uG1.pdb1	1479.6
1q3uF1.pdb1	1q3uA1.pdb1	1643.15
1q3uB1.pdb1	1q3uA1.pdb1	1997.65
4q3rD2.pdb4	4q3rD1.pdb4	881.9
4q3rD2.pdb4	4q3rD3.pdb4	883.15
4q3rD1.pdb4	4q3rD3.pdb4	883.65
3q39B1.pdb1	3q39A1.pdb1	1826.05
1q3gF1.pdb2	1q3gG1.pdb2	778.55
1q3gF1.pdb2	1q3gE1.pdb2	964.1
1q3gF1.pdb2	1q3gH1.pdb2	301.05
1q3gG1.pdb2	1q3gE1.pdb2	307.7
1q3gG1.pdb2	1q3gH1.pdb2	944.1
1q3gE1.pdb2	1q3gH1.pdb2	804.85
2q3vB2.pdb1	2q3vA1.pdb1	284.2
2q3vB2.pdb1	2q3vA2.pdb1	510.95
2q3vB2.pdb1	2q3vB1.pdb1	799.6
2q3vA1.pdb1	2q3vA2.pdb1	713.9
2q3vA1.pdb1	2q3vB1.pdb1	510.95
2q3vA2.pdb1	2q3vB1.pdb1	284.2
2q3aB1.pdb1	2q3aA1.pdb1	1128.55
2q30G1.pdb4	2q30H1.pdb4	1278.95
6q36D1.pdb1	6q36B1.pdb1	538.05
6q36B1.pdb1	6q36A1.pdb1	988.55
6q36C1.pdb1	6q36A1.pdb1	566.6
4q3eB2.pdb3	4q3eA1.pdb3	905.15
3q3aA1.pdb1	3q3aB1.pdb1	1818.6
1q3iA2.pdb2	1q3iA1.pdb2	454.1
1q3iA2.pdb2	1q3iA3.pdb2	451.7
1q3iA1.pdb2	1q3iA3.pdb2	453.05
3q37A1.pdb1	3q37B1.pdb1	1568.8
4q3uB2.pdb2	4q3uB1.pdb2	1436.0
4q3uB2.pdb2	4q3uB3.pdb2	1437.75
4q3uB1.pdb2	4q3uB3.pdb2	1436.5
2q30C1.pdb2	2q30D1.pdb2	1351.4
4q3qD1.pdb4	4q3qD3.pdb4	1439.95
4q3qD1.pdb4	4q3qD2.pdb4	1441.5
4q3qD3.pdb4	4q3qD2.pdb4	1438.95
2q30E1.pdb3	2q30F1.pdb3	1285.5
3q3gI1.pdb3	3q3gF1.pdb3	408.3
3q3gI1.pdb3	3q3gH1.pdb3	543.55
3q3gF1.pdb3	3q3gH1.pdb3	2030.3
3q3xB1.pdb3	3q3xA1.pdb3	855.5
4q3uA2.pdb1	4q3uA1.pdb1	1423.4
4q3uA2.pdb1	4q3uA3.pdb1	1421.35
4q3uA1.pdb1	4q3uA3.pdb1	1422.2
4q3pA2.pdb1	4q3pA1.pdb1	1413.0
4q3pA2.pdb1	4q3pA3.pdb1	1415.6
4q3pA1.pdb1	4q3pA3.pdb1	1407.55
4q3sD2.pdb4	4q3sD3.pdb4	1444.5
4q3sD2.pdb4	4q3sD1.pdb4	1446.55
4q3sD3.pdb4	4q3sD1.pdb4	1443.15
4q3kA2.pdb1	4q3kB1.pdb1	1144.85
4q3kA2.pdb1	4q3kB2.pdb1	1447.0
4q3kA1.pdb1	4q3kB1.pdb1	1446.95
4q3kA1.pdb1	4q3kB2.pdb1	1144.85
1q3wA1.pdb1	1q3wB1.pdb1	919.85
4q3oE1.pdb4	4q3oH1.pdb4	1349.2
6q31B1.pdb1	6q31A1.pdb1	2273.05
1q3rC3.pdb2	1q3rD1.pdb2	2940.35
1q3rC3.pdb2	1q3rC2.pdb2	45.5
1q3rC3.pdb2	1q3rC1.pdb2	45.5
1q3rC3.pdb2	1q3rD3.pdb2	2971.65
1q3rD1.pdb2	1q3rD4.pdb2	42.8
1q3rD1.pdb2	1q3rC1.pdb2	2971.65
1q3rD1.pdb2	1q3rD3.pdb2	42.8
1q3rC4.pdb2	1q3rD4.pdb2	2971.65
1q3rC4.pdb2	1q3rC2.pdb2	45.5
1q3rC4.pdb2	1q3rD2.pdb2	2940.4
1q3rC4.pdb2	1q3rC1.pdb2	45.5
1q3rD4.pdb2	1q3rD2.pdb2	42.85
1q3rD4.pdb2	1q3rC1.pdb2	2940.35
1q3rC2.pdb2	1q3rD2.pdb2	2971.7
1q3rC2.pdb2	1q3rD3.pdb2	2940.35
1q3rD2.pdb2	1q3rD3.pdb2	42.85
4q3vA2.pdb1	4q3vA1.pdb1	1413.9
4q3vA2.pdb1	4q3vA3.pdb1	1414.4
4q3vA1.pdb1	4q3vA3.pdb1	1412.4
3q3yB1.pdb3	3q3yA1.pdb3	782.8
2q39A1.pdb1	2q39B1.pdb1	496.4
4q3mF1.pdb3	4q3mE1.pdb3	890.7
6q3sD1.pdb2	6q3sE1.pdb2	2167.8
1q3nA3.pdb1	1q3nA1.pdb1	1512.75
1q3nA3.pdb1	1q3nA4.pdb1	173.8
1q3nA3.pdb1	1q3nA2.pdb1	1712.2
1q3nA1.pdb1	1q3nA4.pdb1	1712.2
1q3nA1.pdb1	1q3nA2.pdb1	173.8
1q3nA4.pdb1	1q3nA2.pdb1	1512.75
4q3mB1.pdb1	4q3mA1.pdb1	886.3
4q3rA1.pdb1	4q3rA3.pdb1	1443.75
4q3rA1.pdb1	4q3rA2.pdb1	1439.05
4q3rA3.pdb1	4q3rA2.pdb1	1442.2
4q3tD2.pdb4	4q3tD3.pdb4	1393.2
4q3tD2.pdb4	4q3tD1.pdb4	1399.05
4q3tD3.pdb4	4q3tD1.pdb4	1394.25
4q3pB2.pdb2	4q3pB1.pdb2	1424.25
4q3pB2.pdb2	4q3pB3.pdb2	1422.55
4q3pB1.pdb2	4q3pB3.pdb2	1421.65
4q3cB2.pdb5	4q3cA1.pdb5	944.35
2q3tA1.pdb1	2q3tA2.pdb1	1174.7
1q3aA1.pdb1	1q3aB1.pdb1	478.9
4q3oA1.pdb1	4q3oB1.pdb1	1378.0
4q37C2.pdb3	4q37C1.pdb3	1824.7
4q39A1.pdb3	4q39A2.pdb3	927.3
4q3uC2.pdb3	4q3uC3.pdb3	1429.55
4q3uC2.pdb3	4q3uC1.pdb3	1432.7
4q3uC3.pdb3	4q3uC1.pdb3	1429.25
3q38A1.pdb1	3q38B1.pdb1	1839.45
4q3vC2.pdb3	4q3vC1.pdb3	1437.7
4q3vC2.pdb3	4q3vC3.pdb3	1437.65
4q3vC1.pdb3	4q3vC3.pdb3	1437.55
4q3mD1.pdb2	4q3mC1.pdb2	877.3
4q3nA4.pdb1	4q3nA1.pdb1	1160.55
4q3nA4.pdb1	4q3nA3.pdb1	575.35
4q3nA4.pdb1	4q3nA2.pdb1	2373.5
4q3nA1.pdb1	4q3nA3.pdb1	2373.6
4q3nA1.pdb1	4q3nA2.pdb1	575.35
4q3nA3.pdb1	4q3nA2.pdb1	1160.55
4q3qB2.pdb2	4q3qB3.pdb2	1424.85
4q3qB2.pdb2	4q3qB1.pdb2	1426.45
4q3qB3.pdb2	4q3qB1.pdb2	1421.85
4q3pD2.pdb4	4q3pD1.pdb4	1439.3
4q3pD2.pdb4	4q3pD3.pdb4	1440.45
4q3pD1.pdb4	4q3pD3.pdb4	1440.05
4q3sA2.pdb1	4q3sA1.pdb1	1419.7
4q3sA2.pdb1	4q3sA3.pdb1	1417.9
4q3sA1.pdb1	4q3sA3.pdb1	1418.55
2q36A1.pdb1	2q36A2.pdb1	545.35
2q3dA2.pdb1	2q3dA1.pdb1	2196.8
6q34B1.pdb1	6q34A1.pdb1	2237.3
1q3eB3.pdb3	1q3eA1.pdb3	12.5
1q3eB3.pdb3	1q3eA3.pdb3	556.6
1q3eB3.pdb3	1q3eB1.pdb3	1084.35
1q3eB3.pdb3	1q3eB2.pdb3	1084.35
1q3eA2.pdb3	1q3eA4.pdb3	1092.25
1q3eA2.pdb3	1q3eA3.pdb3	1092.25
1q3eA2.pdb3	1q3eB2.pdb3	556.6
1q3eA2.pdb3	1q3eB4.pdb3	12.5
1q3eA1.pdb3	1q3eA4.pdb3	1092.25
1q3eA1.pdb3	1q3eA3.pdb3	1092.25
1q3eA1.pdb3	1q3eB1.pdb3	556.6
1q3eA4.pdb3	1q3eB1.pdb3	12.5
1q3eA4.pdb3	1q3eB4.pdb3	556.6
1q3eA3.pdb3	1q3eB2.pdb3	12.5
1q3eB1.pdb3	1q3eB4.pdb3	1084.35
1q3eB2.pdb3	1q3eB4.pdb3	1084.35
4q3oG1.pdb3	4q3oD1.pdb3	1320.7
1q3vE1.pdb1	1q3vD1.pdb1	49.0
1q3vE1.pdb1	1q3vH1.pdb1	1383.4
1q3vE1.pdb1	1q3vY1.pdb1	1118.55
1q3vE1.pdb1	1q3vF1.pdb1	2024.3
1q3vE1.pdb1	1q3vG1.pdb1	2.1
1q3vE1.pdb1	1q3vB1.pdb1	1617.2
1q3vD1.pdb1	1q3vC1.pdb1	614.7
1q3vD1.pdb1	1q3vX1.pdb1	973.65
1q3vD1.pdb1	1q3vF1.pdb1	1.2
1q3vD1.pdb1	1q3vA1.pdb1	1436.9
1q3vD1.pdb1	1q3vB1.pdb1	1442.45
1q3vH1.pdb1	1q3vY1.pdb1	970.2
1q3vH1.pdb1	1q3vF1.pdb1	1391.6
1q3vH1.pdb1	1q3vA1.pdb1	48.55
1q3vH1.pdb1	1q3vG1.pdb1	607.45
1q3vC1.pdb1	1q3vA1.pdb1	3.65
1q3vC1.pdb1	1q3vB1.pdb1	976.9
1q3vX1.pdb1	1q3vA1.pdb1	1103.75
1q3vX1.pdb1	1q3vB1.pdb1	375.5
1q3vY1.pdb1	1q3vF1.pdb1	386.65
1q3vF1.pdb1	1q3vA1.pdb1	1697.35
1q3vF1.pdb1	1q3vG1.pdb1	963.85
1q3vA1.pdb1	1q3vB1.pdb1	2019.7
3q3oE1.pdb1	3q3oB2.pdb1	226.85
3q3oE1.pdb1	3q3oA2.pdb1	251.0
3q3oE1.pdb1	3q3oA1.pdb1	1723.9
3q3oB2.pdb1	3q3oB1.pdb1	494.5
3q3oB2.pdb1	3q3oA2.pdb1	4226.95
3q3oB2.pdb1	3q3oA1.pdb1	11.85
3q3oC2.pdb1	3q3oA2.pdb1	1288.25
3q3oB1.pdb1	3q3oA2.pdb1	11.85
3q3oB1.pdb1	3q3oE2.pdb1	226.85
3q3oB1.pdb1	3q3oA1.pdb1	4226.95
3q3oA2.pdb1	3q3oE2.pdb1	1723.9
3q3oA2.pdb1	3q3oA1.pdb1	458.5
3q3oE2.pdb1	3q3oA1.pdb1	251.0
3q3oC1.pdb1	3q3oA1.pdb1	1288.25
4q3aB1.pdb5	4q3aA2.pdb5	936.8
4q3lE1.pdb2	4q3lG1.pdb2	1282.1
4q3lE1.pdb2	4q3lH1.pdb2	1559.15
4q3lG1.pdb2	4q3lF1.pdb2	1547.8
4q3lF1.pdb2	4q3lH1.pdb2	1298.95
3q3gJ1.pdb4	3q3gK1.pdb4	1982.7
3q3gJ1.pdb4	3q3gL1.pdb4	375.9
3q3gK1.pdb4	3q3gL1.pdb4	555.0
4q3dB2.pdb5	4q3dA1.pdb5	914.55
6q39C1.pdb1	6q39B1.pdb1	655.2
6q39C1.pdb1	6q39A1.pdb1	627.75
6q39B1.pdb1	6q39A1.pdb1	645.05
4q31F1.pdb2	4q31G1.pdb2	1574.4
4q31F1.pdb2	4q31E1.pdb2	1916.95
4q31F1.pdb2	4q31H1.pdb2	849.15
4q31G1.pdb2	4q31E1.pdb2	863.3
4q31G1.pdb2	4q31H1.pdb2	1964.85
4q31E1.pdb2	4q31H1.pdb2	1571.8
2q3zX1.pdb1	2q3zA1.pdb1	391.4
4q3bB2.pdb5	4q3bA1.pdb5	926.85
2q3eB1.pdb1	2q3eC1.pdb1	82.9
2q3eB1.pdb1	2q3eD1.pdb1	589.55
2q3eB1.pdb1	2q3eF1.pdb1	583.4
2q3eB1.pdb1	2q3eA1.pdb1	2682.2
2q3eC1.pdb1	2q3eD1.pdb1	2691.05
2q3eC1.pdb1	2q3eA1.pdb1	589.35
2q3eC1.pdb1	2q3eE1.pdb1	609.65
2q3eD1.pdb1	2q3eF1.pdb1	596.05
2q3eD1.pdb1	2q3eE1.pdb1	88.3
2q3eF1.pdb1	2q3eA1.pdb1	82.95
2q3eF1.pdb1	2q3eE1.pdb1	2667.85
2q3eA1.pdb1	2q3eE1.pdb1	589.85
1q3gK1.pdb3	1q3gJ1.pdb3	801.75
1q3gK1.pdb3	1q3gL1.pdb3	928.15
1q3gK1.pdb3	1q3gI1.pdb3	296.35
1q3gJ1.pdb3	1q3gL1.pdb3	342.15
1q3gJ1.pdb3	1q3gI1.pdb3	967.7
1q3gL1.pdb3	1q3gI1.pdb3	840.8
2q31A1.pdb1	2q31A2.pdb1	250.1
3q37D1.pdb2	3q37C1.pdb2	1603.1
2q3sC1.pdb1	2q3sB1.pdb1	1353.45
2q3sC1.pdb1	2q3sD1.pdb1	1524.4
2q3sF1.pdb1	2q3sA1.pdb1	1323.1
2q3sF1.pdb1	2q3sE1.pdb1	1381.85
2q3sB1.pdb1	2q3sA1.pdb1	1438.85
2q3sE1.pdb1	2q3sD1.pdb1	1349.75
4q3sB1.pdb2	4q3sB3.pdb2	1454.35
4q3sB1.pdb2	4q3sB2.pdb2	1455.05
4q3sB3.pdb2	4q3sB2.pdb2	1457.45
