3ihjA2.pdb2	3ihjA1.pdb2	3248.05
3ihkA2.pdb1	3ihkA1.pdb1	1568.6
1ihsH1.pdb1	1ihsL1.pdb1	1080.2
1ihsH1.pdb1	1ihsI1.pdb1	1031.35
5ihlB1.pdb1	5ihlA1.pdb1	809.7
3ihtA1.pdb1	3ihtB1.pdb1	1105.1
6ih3B1.pdb1	6ih3A1.pdb1	1173.4
4ihoD1.pdb2	4ihoE1.pdb2	1265.25
4ihoD1.pdb2	4ihoF1.pdb2	951.3
1ih5A1.pdb1	1ih5A4.pdb1	1337.95
1ih5A1.pdb1	1ih5A3.pdb1	1337.95
1ih5A1.pdb1	1ih5A2.pdb1	2.1
1ih5A4.pdb1	1ih5A3.pdb1	2.1
1ih5A4.pdb1	1ih5A2.pdb1	1337.95
1ih5A3.pdb1	1ih5A2.pdb1	1337.95
3ihaB2.pdb2	3ihaB1.pdb2	4351.6
2ihtC1.pdb1	2ihtB1.pdb1	223.25
2ihtC1.pdb1	2ihtA1.pdb1	998.7
2ihtC1.pdb1	2ihtD1.pdb1	3683.55
2ihtB1.pdb1	2ihtA1.pdb1	3693.85
2ihtB1.pdb1	2ihtD1.pdb1	1026.6
2ihtA1.pdb1	2ihtD1.pdb1	218.2
4ihbC2.pdb7	4ihbB1.pdb7	61.65
4ihbC2.pdb7	4ihbC1.pdb7	625.6
4ihbC2.pdb7	4ihbB2.pdb7	433.85
4ihbC2.pdb7	4ihbA2.pdb7	424.7
4ihbB1.pdb7	4ihbA1.pdb7	425.35
4ihbB1.pdb7	4ihbC1.pdb7	433.85
4ihbB1.pdb7	4ihbA2.pdb7	656.65
4ihbA1.pdb7	4ihbC1.pdb7	424.7
4ihbA1.pdb7	4ihbB2.pdb7	656.65
4ihbA1.pdb7	4ihbA2.pdb7	52.6
4ihbC1.pdb7	4ihbB2.pdb7	61.65
4ihbB2.pdb7	4ihbA2.pdb7	425.35
6ih5B1.pdb1	6ih5A1.pdb1	1183.35
6ihdA2.pdb1	6ihdA1.pdb1	937.9
6ihdA2.pdb1	6ihdB2.pdb1	2132.65
6ihdA2.pdb1	6ihdB1.pdb1	216.35
6ihdA1.pdb1	6ihdB2.pdb1	216.35
6ihdA1.pdb1	6ihdB1.pdb1	2132.65
6ihdB2.pdb1	6ihdB1.pdb1	925.8
5ihuH1.pdb1	5ihuL1.pdb1	2107.5
3ihmA1.pdb1	3ihmB1.pdb1	1041.2
6ihtX1.pdb1	6ihtA1.pdb1	168.35
1ihdA2.pdb1	1ihdA1.pdb1	682.75
1ihdA2.pdb1	1ihdC2.pdb1	2009.05
1ihdA2.pdb1	1ihdC1.pdb1	904.4
1ihdA1.pdb1	1ihdC2.pdb1	904.35
1ihdA1.pdb1	1ihdC1.pdb1	2008.95
1ihdC2.pdb1	1ihdC1.pdb1	655.05
3ih2A2.pdb1	3ih2A1.pdb1	1306.5
4ihuB3.pdb3	4ihuA2.pdb3	477.9
4ihuB3.pdb3	4ihuB4.pdb3	584.4
4ihuA2.pdb3	4ihuA1.pdb3	545.2
4ihuA1.pdb3	4ihuB4.pdb3	477.9
5ihzA1.pdb1	5ihzB1.pdb1	1509.9
1ihcA2.pdb1	1ihcA1.pdb1	792.45
1ihcA2.pdb1	1ihcA3.pdb1	792.45
1ihcA1.pdb1	1ihcA3.pdb1	792.45
6ih2A1.pdb1	6ih2B2.pdb1	3070.9
2ihfA1.pdb1	2ihfA2.pdb1	1509.15
1ihjC1.pdb2	1ihjB1.pdb2	303.3
4ihdA1.pdb1	4ihdA2.pdb1	1699.4
1ih8A1.pdb1	1ih8B1.pdb1	2603.6
