5u36A1.pdb1	5u36B2.pdb1	1166.5
3u33E1.pdb2	3u33H1.pdb2	693.55
3u33E1.pdb2	3u33F1.pdb2	3298.75
3u33H1.pdb2	3u33F1.pdb2	918.2
1u3rA1.pdb1	1u3rB1.pdb1	1193.8
1u3rA1.pdb1	1u3rC1.pdb1	414.0
1u3rB1.pdb1	1u3rD1.pdb1	445.2
3u37D1.pdb4	3u37B1.pdb4	1254.2
3u3tA1.pdb1	3u3tA2.pdb1	799.4
3u36A1.pdb2	3u36B1.pdb2	1708.95
5u3kB1.pdb2	5u3kA1.pdb2	1872.45
5u3kC1.pdb2	5u3kA1.pdb2	747.45
5u3kP1.pdb1	5u3kH1.pdb1	816.35
5u3kH1.pdb1	5u3kL1.pdb1	1939.0
