1jiwP1.pdb1	1jiwI1.pdb1	1009.35
5ji3E2.pdb1	5ji3F2.pdb1	2168.2
5ji3E2.pdb1	5ji3D2.pdb1	7.25
5ji3F2.pdb1	5ji3D2.pdb1	388.5
5ji3F2.pdb1	5ji3E3.pdb1	2095.15
5ji3D3.pdb1	5ji3F3.pdb1	388.5
5ji3D3.pdb1	5ji3E3.pdb1	7.2
5ji3D3.pdb1	5ji3C1.pdb1	408.2
5ji3D3.pdb1	5ji3C3.pdb1	807.45
5ji3D3.pdb1	5ji3A3.pdb1	610.95
5ji3D3.pdb1	5ji3B3.pdb1	501.25
5ji3F3.pdb1	5ji3E3.pdb1	2168.15
5ji3D2.pdb1	5ji3B2.pdb1	501.25
5ji3D2.pdb1	5ji3E3.pdb1	5.45
5ji3D2.pdb1	5ji3A2.pdb1	611.05
5ji3D2.pdb1	5ji3C3.pdb1	408.15
5ji3B2.pdb1	5ji3A2.pdb1	488.9
5ji3B2.pdb1	5ji3A1.pdb1	843.15
5ji3E3.pdb1	5ji3C3.pdb1	254.8
5ji3C1.pdb1	5ji3B1.pdb1	661.25
5ji3C1.pdb1	5ji3A3.pdb1	503.7
5ji3A2.pdb1	5ji3C3.pdb1	503.75
5ji3A2.pdb1	5ji3B3.pdb1	843.15
5ji3C3.pdb1	5ji3B3.pdb1	661.25
5ji3B1.pdb1	5ji3A1.pdb1	488.9
5ji3B1.pdb1	5ji3A3.pdb1	843.1
5ji3A3.pdb1	5ji3B3.pdb1	488.9
4ji3T1.pdb1	4ji3A1.pdb1	2593.5
4ji3F1.pdb1	4ji3R1.pdb1	1062.45
4ji3F1.pdb1	4ji3A1.pdb1	602.75
4ji3F1.pdb1	4ji3O1.pdb1	29.15
4ji3L1.pdb1	4ji3A1.pdb1	3013.5
4ji3L1.pdb1	4ji3H1.pdb1	63.65
4ji3L1.pdb1	4ji3Q1.pdb1	227.75
4ji3J1.pdb1	4ji3A1.pdb1	1744.3
4ji3J1.pdb1	4ji3N1.pdb1	824.85
4ji3J1.pdb1	4ji3C1.pdb1	417.0
4ji3J1.pdb1	4ji3I1.pdb1	168.2
4ji3E1.pdb1	4ji3A1.pdb1	1999.2
4ji3E1.pdb1	4ji3D1.pdb1	403.25
4ji3E1.pdb1	4ji3H1.pdb1	572.5
4ji3E1.pdb1	4ji3C1.pdb1	108.3
4ji3R1.pdb1	4ji3K1.pdb1	340.65
4ji3R1.pdb1	4ji3A1.pdb1	892.75
4ji3G1.pdb1	4ji3K1.pdb1	166.5
4ji3G1.pdb1	4ji3A1.pdb1	1832.55
4ji3G1.pdb1	4ji3I1.pdb1	274.2
4ji3B1.pdb1	4ji3A1.pdb1	1053.95
4ji3B1.pdb1	4ji3H1.pdb1	281.6
4ji3K1.pdb1	4ji3A1.pdb1	1772.35
4ji3A1.pdb1	4ji3D1.pdb1	2923.0
4ji3A1.pdb1	4ji3P1.pdb1	2470.9
4ji3A1.pdb1	4ji3H1.pdb1	1818.95
4ji3A1.pdb1	4ji3S1.pdb1	1560.35
4ji3A1.pdb1	4ji3O1.pdb1	1758.4
4ji3A1.pdb1	4ji3U1.pdb1	1255.3
4ji3A1.pdb1	4ji3N1.pdb1	1816.55
4ji3A1.pdb1	4ji3C1.pdb1	1823.5
4ji3A1.pdb1	4ji3Q1.pdb1	2512.65
4ji3A1.pdb1	4ji3M1.pdb1	1947.95
4ji3A1.pdb1	4ji3I1.pdb1	2850.2
4ji3D1.pdb1	4ji3C1.pdb1	42.0
4ji3H1.pdb1	4ji3Q1.pdb1	139.65
4ji3S1.pdb1	4ji3M1.pdb1	394.45
4ji3U1.pdb1	4ji3M1.pdb1	42.1
4ji3N1.pdb1	4ji3C1.pdb1	860.6
4ji3N1.pdb1	4ji3I1.pdb1	72.55
6ji1A1.pdb1	6ji1B1.pdb1	750.2
6ji1A1.pdb1	6ji1C1.pdb1	747.55
6ji1B1.pdb1	6ji1D1.pdb1	750.1
6ji1D1.pdb1	6ji1C1.pdb1	748.15
1jiiA1.pdb1	1jiiA2.pdb1	629.35
2jixF1.pdb1	2jixA1.pdb1	1750.75
2jixF1.pdb1	2jixC1.pdb1	477.8
2jixD1.pdb1	2jixE1.pdb1	446.35
2jixD1.pdb1	2jixG1.pdb1	1805.65
2jixA1.pdb1	2jixB1.pdb1	358.25
2jixA1.pdb1	2jixC1.pdb1	387.25
2jixA1.pdb1	2jixG1.pdb1	46.4
2jixB1.pdb1	2jixC1.pdb1	741.2
2jixE1.pdb1	2jixC1.pdb1	695.2
2jixE1.pdb1	2jixL1.pdb1	347.9
2jixE1.pdb1	2jixG1.pdb1	447.65
2jixC1.pdb1	2jixG1.pdb1	356.05
2jixL1.pdb1	2jixH1.pdb1	1841.4
2jixL1.pdb1	2jixG1.pdb1	90.05
4jifB1.pdb1	4jifA1.pdb1	962.4
2ji3A1.pdb1	2ji3B1.pdb1	1590.9
4jigA4.pdb1	4jigA3.pdb1	2.0
4jigA4.pdb1	4jigA1.pdb1	1666.9
4jigA4.pdb1	4jigA2.pdb1	1279.0
4jigA3.pdb1	4jigA1.pdb1	1279.0
4jigA3.pdb1	4jigA2.pdb1	1666.9
4jigA1.pdb1	4jigA2.pdb1	2.0
2jidA1.pdb1	2jidB1.pdb1	2199.6
5jisC1.pdb2	5jisB1.pdb2	2069.85
4jimA1.pdb2	4jimB1.pdb2	2828.05
4jimA1.pdb2	4jimA2.pdb2	389.8
4jimA2.pdb2	4jimB2.pdb2	2828.05
1jieB1.pdb1	1jieA1.pdb1	1583.6
6ji6A2.pdb1	6ji6A1.pdb1	1301.7
1ji3A1.pdb1	1ji3B1.pdb1	411.1
1jikA2.pdb2	1jikA1.pdb2	1576.1
5jihB1.pdb1	5jihA1.pdb1	1142.7
4jimB1.pdb3	4jimB2.pdb3	534.05
4jimB1.pdb3	4jimA1.pdb3	2828.05
4jimB1.pdb3	4jimA2.pdb3	37.15
4jimB2.pdb3	4jimA1.pdb3	37.2
4jimB2.pdb3	4jimA2.pdb3	2828.05
4jimA1.pdb3	4jimA2.pdb3	548.5
4jimA1.pdb1	4jimB1.pdb1	2828.05
5jirB1.pdb3	5jirA1.pdb3	1380.0
2jibA2.pdb1	2jibB2.pdb1	3827.3
2jibA2.pdb1	2jibA1.pdb1	893.3
2jibA2.pdb1	2jibB1.pdb1	1316.35
2jibB2.pdb1	2jibA1.pdb1	1316.35
2jibB2.pdb1	2jibB1.pdb1	885.95
2jibA1.pdb1	2jibB1.pdb1	3827.3
1jijA1.pdb2	1jijA2.pdb2	1513.2
5ji0F1.pdb1	5ji0A1.pdb1	485.45
5ji0A1.pdb1	5ji0D1.pdb1	1155.85
5ji0D1.pdb1	5ji0E1.pdb1	723.1
2ji9A1.pdb1	2ji9B2.pdb1	1326.5
2ji9A1.pdb1	2ji9B1.pdb1	3081.55
2ji9A1.pdb1	2ji9A2.pdb1	895.3
2ji9B2.pdb1	2ji9B1.pdb1	885.95
2ji9B2.pdb1	2ji9A2.pdb1	3081.55
2ji9B1.pdb1	2ji9A2.pdb1	1326.6
2ji6B1.pdb1	2ji6A1.pdb1	3836.25
2ji6B1.pdb1	2ji6A2.pdb1	1320.35
2ji6B1.pdb1	2ji6B2.pdb1	894.1
2ji6A1.pdb1	2ji6A2.pdb1	881.2
2ji6A1.pdb1	2ji6B2.pdb1	1320.4
2ji6A2.pdb1	2ji6B2.pdb1	3836.25
4jiwA1.pdb1	4jiwB1.pdb1	3584.35
4jiwA1.pdb1	4jiwD1.pdb1	258.75
4jiwA1.pdb1	4jiwC1.pdb1	3593.6
4jiwB1.pdb1	4jiwD1.pdb1	300.1
4jiwB1.pdb1	4jiwC1.pdb1	3604.25
4jiwD1.pdb1	4jiwC1.pdb1	300.25
1jiaA1.pdb1	1jiaB1.pdb1	331.6
4ji5I1.pdb1	4ji5N1.pdb1	74.05
4ji5I1.pdb1	4ji5J1.pdb1	172.8
4ji5I1.pdb1	4ji5A1.pdb1	2893.8
4ji5I1.pdb1	4ji5G1.pdb1	219.7
4ji5E1.pdb1	4ji5H1.pdb1	573.15
4ji5E1.pdb1	4ji5D1.pdb1	381.7
4ji5E1.pdb1	4ji5A1.pdb1	1907.75
4ji5E1.pdb1	4ji5B1.pdb1	10.1
4ji5E1.pdb1	4ji5C1.pdb1	87.05
4ji5H1.pdb1	4ji5Q1.pdb1	128.5
4ji5H1.pdb1	4ji5A1.pdb1	1962.15
4ji5H1.pdb1	4ji5B1.pdb1	254.85
4ji5H1.pdb1	4ji5L1.pdb1	64.75
4ji5O1.pdb1	4ji5Q1.pdb1	5.2
4ji5O1.pdb1	4ji5A1.pdb1	1767.75
4ji5O1.pdb1	4ji5F1.pdb1	27.65
4ji5D1.pdb1	4ji5A1.pdb1	3094.95
4ji5D1.pdb1	4ji5C1.pdb1	19.3
4ji5T1.pdb1	4ji5A1.pdb1	2534.55
4ji5N1.pdb1	4ji5J1.pdb1	805.65
4ji5N1.pdb1	4ji5A1.pdb1	1929.0
4ji5N1.pdb1	4ji5S1.pdb1	2.95
4ji5N1.pdb1	4ji5C1.pdb1	854.95
4ji5J1.pdb1	4ji5A1.pdb1	1894.45
4ji5J1.pdb1	4ji5C1.pdb1	350.7
4ji5P1.pdb1	4ji5A1.pdb1	2523.05
4ji5Q1.pdb1	4ji5A1.pdb1	2549.3
4ji5Q1.pdb1	4ji5L1.pdb1	217.4
4ji5U1.pdb1	4ji5A1.pdb1	1343.35
4ji5U1.pdb1	4ji5M1.pdb1	26.25
4ji5R1.pdb1	4ji5A1.pdb1	881.0
4ji5R1.pdb1	4ji5K1.pdb1	305.45
4ji5R1.pdb1	4ji5F1.pdb1	1052.4
4ji5A1.pdb1	4ji5B1.pdb1	1016.55
4ji5A1.pdb1	4ji5G1.pdb1	1990.55
4ji5A1.pdb1	4ji5K1.pdb1	1868.2
4ji5A1.pdb1	4ji5S1.pdb1	1606.25
4ji5A1.pdb1	4ji5F1.pdb1	545.35
4ji5A1.pdb1	4ji5C1.pdb1	1687.8
4ji5A1.pdb1	4ji5M1.pdb1	2009.5
4ji5A1.pdb1	4ji5L1.pdb1	2998.85
4ji5G1.pdb1	4ji5K1.pdb1	238.25
4ji5S1.pdb1	4ji5M1.pdb1	361.9
1jiqC1.pdb2	1jiqD1.pdb2	6472.35
6jidB1.pdb1	6jidA1.pdb1	1543.5
5jikB1.pdb1	5jikA1.pdb1	1144.65
5jimA2.pdb1	5jimB1.pdb1	369.45
5jimA2.pdb1	5jimB2.pdb1	889.85
5jimA2.pdb1	5jimA1.pdb1	441.5
5jimB1.pdb1	5jimB2.pdb1	424.1
5jimB1.pdb1	5jimA1.pdb1	889.85
5jimB2.pdb1	5jimA1.pdb1	369.45
4jiwL1.pdb3	4jiwJ1.pdb3	295.7
4jiwL1.pdb3	4jiwI1.pdb3	268.75
4jiwL1.pdb3	4jiwK1.pdb3	290.95
4jiwJ1.pdb3	4jiwI1.pdb3	3554.75
4jiwJ1.pdb3	4jiwK1.pdb3	3537.7
4jiwI1.pdb3	4jiwK1.pdb3	3606.95
5jifA1.pdb1	5jifB1.pdb1	1256.7
2ji8A2.pdb1	2ji8B1.pdb1	1316.15
2ji8A2.pdb1	2ji8B2.pdb1	3708.0
2ji8A2.pdb1	2ji8A1.pdb1	874.5
2ji8B1.pdb1	2ji8B2.pdb1	896.1
2ji8B1.pdb1	2ji8A1.pdb1	3708.0
2ji8B2.pdb1	2ji8A1.pdb1	1316.1
2ji3C1.pdb2	2ji3D1.pdb2	1576.55
5jinA1.pdb1	5jinF1.pdb1	743.1
5jinA1.pdb1	5jinB1.pdb1	1180.65
5jinG1.pdb1	5jinB1.pdb1	730.0
2jisA1.pdb1	2jisB1.pdb1	6913.4
4jiwG1.pdb2	4jiwF1.pdb2	3611.55
4jiwG1.pdb2	4jiwE1.pdb2	3617.5
4jiwG1.pdb2	4jiwH1.pdb2	294.95
4jiwF1.pdb2	4jiwE1.pdb2	3546.35
4jiwF1.pdb2	4jiwH1.pdb2	288.4
4jiwE1.pdb2	4jiwH1.pdb2	268.15
2jifA1.pdb1	2jifB1.pdb1	1664.3
2jifA1.pdb1	2jifD1.pdb1	166.05
2jifA1.pdb1	2jifC1.pdb1	1698.8
2jifB1.pdb1	2jifD1.pdb1	1696.0
2jifB1.pdb1	2jifC1.pdb1	168.45
2jifD1.pdb1	2jifC1.pdb1	1658.15
5jioA1.pdb1	5jioA2.pdb1	1032.5
5jioA1.pdb1	5jioA3.pdb1	884.45
5jioA4.pdb1	5jioA2.pdb1	884.3
5jioA4.pdb1	5jioA3.pdb1	1032.5
4ji0T1.pdb1	4ji0A1.pdb1	2513.75
4ji0J1.pdb1	4ji0A1.pdb1	1815.1
4ji0J1.pdb1	4ji0I1.pdb1	170.85
4ji0J1.pdb1	4ji0N1.pdb1	781.4
4ji0J1.pdb1	4ji0C1.pdb1	352.8
4ji0P1.pdb1	4ji0A1.pdb1	2507.3
4ji0Q1.pdb1	4ji0A1.pdb1	2587.05
4ji0Q1.pdb1	4ji0H1.pdb1	138.8
4ji0Q1.pdb1	4ji0L1.pdb1	227.7
4ji0A1.pdb1	4ji0B1.pdb1	1066.05
4ji0A1.pdb1	4ji0H1.pdb1	1821.05
4ji0A1.pdb1	4ji0L1.pdb1	2922.75
4ji0A1.pdb1	4ji0K1.pdb1	1775.4
4ji0A1.pdb1	4ji0D1.pdb1	2952.85
4ji0A1.pdb1	4ji0E1.pdb1	1957.95
4ji0A1.pdb1	4ji0M1.pdb1	1992.3
4ji0A1.pdb1	4ji0I1.pdb1	2894.55
4ji0A1.pdb1	4ji0G1.pdb1	1880.0
4ji0A1.pdb1	4ji0O1.pdb1	1712.0
4ji0A1.pdb1	4ji0N1.pdb1	1915.15
4ji0A1.pdb1	4ji0R1.pdb1	893.35
4ji0A1.pdb1	4ji0U1.pdb1	1275.9
4ji0A1.pdb1	4ji0F1.pdb1	613.9
4ji0A1.pdb1	4ji0C1.pdb1	1634.55
4ji0A1.pdb1	4ji0S1.pdb1	1560.45
4ji0B1.pdb1	4ji0H1.pdb1	269.5
4ji0H1.pdb1	4ji0L1.pdb1	63.4
4ji0H1.pdb1	4ji0E1.pdb1	597.8
4ji0K1.pdb1	4ji0G1.pdb1	182.0
4ji0K1.pdb1	4ji0R1.pdb1	333.05
4ji0D1.pdb1	4ji0E1.pdb1	377.15
4ji0D1.pdb1	4ji0C1.pdb1	3.75
4ji0E1.pdb1	4ji0C1.pdb1	80.0
4ji0M1.pdb1	4ji0U1.pdb1	44.6
4ji0M1.pdb1	4ji0S1.pdb1	404.1
4ji0I1.pdb1	4ji0G1.pdb1	240.05
4ji0I1.pdb1	4ji0N1.pdb1	72.9
4ji0O1.pdb1	4ji0F1.pdb1	19.85
4ji0N1.pdb1	4ji0C1.pdb1	887.7
4ji0N1.pdb1	4ji0S1.pdb1	10.45
4ji0R1.pdb1	4ji0F1.pdb1	1039.9
5ji1B1.pdb1	5ji1A1.pdb1	636.35
1ji2B1.pdb1	1ji2A1.pdb1	2157.0
1jidB1.pdb1	1jidA1.pdb1	681.2
5jiyB1.pdb1	5jiyA1.pdb1	1182.25
5jiyB1.pdb1	5jiyG1.pdb1	623.3
5jiyF1.pdb1	5jiyA1.pdb1	641.65
4jijB1.pdb2	4jijQ1.pdb2	428.1
5jiuB1.pdb1	5jiuA1.pdb1	481.55
5jiuB1.pdb1	5jiuD1.pdb1	283.6
5jiuA1.pdb1	5jiuC1.pdb1	314.7
4jiwM1.pdb4	4jiwO1.pdb4	3587.3
4jiwM1.pdb4	4jiwP1.pdb4	270.45
4jiwM1.pdb4	4jiwN1.pdb4	3602.35
4jiwO1.pdb4	4jiwP1.pdb4	286.0
4jiwO1.pdb4	4jiwN1.pdb4	3525.2
4jiwP1.pdb4	4jiwN1.pdb4	295.7
1jifB1.pdb1	1jifA1.pdb1	1546.7
4jitB1.pdb1	4jitD1.pdb1	986.5
4jitB1.pdb1	4jitA1.pdb1	1332.5
4jitB1.pdb1	4jitC1.pdb1	496.1
4jitD1.pdb1	4jitA1.pdb1	496.55
4jitD1.pdb1	4jitC1.pdb1	1352.35
4jitA1.pdb1	4jitC1.pdb1	942.45
5ji2A1.pdb1	5ji2B1.pdb1	411.5
5ji2E1.pdb3	5ji2F1.pdb3	2096.25
