4cgwC1.pdb1	4cgwA1.pdb1	390.6
3cgiC1.pdb3	3cgiC3.pdb3	137.75
3cgiC1.pdb3	3cgiB1.pdb3	330.8
3cgiB3.pdb3	3cgiC3.pdb3	330.75
3cgiB3.pdb3	3cgiB1.pdb3	135.65
3cgiB3.pdb3	3cgiA1.pdb3	1378.5
3cgiB1.pdb3	3cgiA1.pdb3	1356.55
4cgqA1.pdb1	4cgqQ1.pdb1	274.0
3cg9A1.pdb1	3cg9C1.pdb1	328.75
3cg9A1.pdb1	3cg9B1.pdb1	736.4
3cg9A1.pdb1	3cg9D1.pdb1	72.55
3cg9C1.pdb1	3cg9D1.pdb1	492.2
3cg9B1.pdb1	3cg9D1.pdb1	83.2
6cg7A1.pdb1	6cg7B1.pdb1	1273.65
6cgqB2.pdb1	6cgqA1.pdb1	2886.55
6cg9B1.pdb1	6cg9A1.pdb1	1495.25
1cg4A1.pdb1	1cg4A2.pdb1	2760.8
5cgnH1.pdb1	5cgnE1.pdb1	23.85
5cgnH1.pdb1	5cgnG1.pdb1	391.5
5cgnH1.pdb1	5cgnF1.pdb1	129.05
5cgnB1.pdb1	5cgnE1.pdb1	8.35
5cgnD1.pdb1	5cgnE1.pdb1	33.05
5cgnE1.pdb1	5cgnF1.pdb1	474.45
5cggE1.pdb1	5cggB1.pdb1	129.35
5cggE1.pdb1	5cggA1.pdb1	53.85
5cggE1.pdb1	5cggL1.pdb1	359.35
5cggE1.pdb1	5cggM1.pdb1	598.45
5cggE1.pdb1	5cggF1.pdb1	1333.2
5cggE1.pdb1	5cggD1.pdb1	1004.45
5cggU1.pdb1	5cggb1.pdb1	423.65
5cggU1.pdb1	5cggM1.pdb1	77.6
5cggU1.pdb1	5cggP1.pdb1	136.05
5cggU1.pdb1	5cggV1.pdb1	646.7
5cggU1.pdb1	5cggO1.pdb1	1403.5
5cggU1.pdb1	5cggT1.pdb1	1372.5
5cggh1.pdb1	5cggY1.pdb1	237.7
5cggh1.pdb1	5cggZ1.pdb1	52.7
5cggH1.pdb1	5cggB1.pdb1	11.3
5cggH1.pdb1	5cgga1.pdb1	916.2
5cggH1.pdb1	5cggA1.pdb1	671.95
5cggH1.pdb1	5cggY1.pdb1	93.25
5cggH1.pdb1	5cggZ1.pdb1	1393.75
5cggH1.pdb1	5cggN1.pdb1	482.2
5cggH1.pdb1	5cggG1.pdb1	649.9
5cggH1.pdb1	5cggI1.pdb1	1621.3
5cggC1.pdb1	5cggB1.pdb1	1529.0
5cggC1.pdb1	5cggA1.pdb1	99.0
5cggC1.pdb1	5cggD1.pdb1	1269.25
5cggC1.pdb1	5cggK1.pdb1	329.6
5cggC1.pdb1	5cggJ1.pdb1	406.0
5cggB1.pdb1	5cggA1.pdb1	1341.05
5cggB1.pdb1	5cggF1.pdb1	134.6
5cggB1.pdb1	5cggD1.pdb1	110.75
5cggB1.pdb1	5cggG1.pdb1	131.3
5cggB1.pdb1	5cggJ1.pdb1	527.35
5cggB1.pdb1	5cggI1.pdb1	486.2
5cggb1.pdb1	5cgga1.pdb1	599.9
5cggb1.pdb1	5cggM1.pdb1	1326.85
5cggb1.pdb1	5cggN1.pdb1	642.8
5cggb1.pdb1	5cggV1.pdb1	479.45
5cggb1.pdb1	5cggT1.pdb1	472.6
5cggS1.pdb1	5cgga1.pdb1	602.75
5cggS1.pdb1	5cggZ1.pdb1	359.7
5cggS1.pdb1	5cggP1.pdb1	125.6
5cggS1.pdb1	5cggR1.pdb1	1022.45
5cggS1.pdb1	5cggO1.pdb1	53.1
5cggS1.pdb1	5cggT1.pdb1	1336.25
5cgga1.pdb1	5cggZ1.pdb1	932.15
5cgga1.pdb1	5cggN1.pdb1	1328.9
5cgga1.pdb1	5cggG1.pdb1	76.2
5cgga1.pdb1	5cggT1.pdb1	471.25
5cggA1.pdb1	5cggF1.pdb1	145.0
5cggA1.pdb1	5cggD1.pdb1	29.15
5cggA1.pdb1	5cggG1.pdb1	1387.3
5cggA1.pdb1	5cggI1.pdb1	529.2
5cggX1.pdb1	5cggQ1.pdb1	402.3
5cggX1.pdb1	5cggW1.pdb1	585.75
5cggX1.pdb1	5cggY1.pdb1	623.4
5cggX1.pdb1	5cggP1.pdb1	526.45
5cggX1.pdb1	5cggK1.pdb1	786.2
5cggX1.pdb1	5cggJ1.pdb1	718.7
5cggL1.pdb1	5cggW1.pdb1	748.8
5cggL1.pdb1	5cggM1.pdb1	926.85
5cggL1.pdb1	5cggD1.pdb1	531.5
5cggL1.pdb1	5cggg1.pdb1	52.25
5cggL1.pdb1	5cggK1.pdb1	679.25
5cggL1.pdb1	5cggV1.pdb1	1402.6
5cggQ1.pdb1	5cggY1.pdb1	324.9
5cggQ1.pdb1	5cggP1.pdb1	1498.9
5cggQ1.pdb1	5cggR1.pdb1	1267.25
5cggQ1.pdb1	5cggO1.pdb1	104.25
5cggW1.pdb1	5cggP1.pdb1	492.0
5cggW1.pdb1	5cggK1.pdb1	998.25
5cggW1.pdb1	5cggV1.pdb1	1620.6
5cggW1.pdb1	5cggO1.pdb1	524.35
5cggY1.pdb1	5cggZ1.pdb1	680.1
5cggY1.pdb1	5cggR1.pdb1	420.2
5cggY1.pdb1	5cggJ1.pdb1	783.3
5cggY1.pdb1	5cggI1.pdb1	992.45
5cggM1.pdb1	5cggN1.pdb1	598.3
5cggM1.pdb1	5cggF1.pdb1	479.85
5cggM1.pdb1	5cggV1.pdb1	925.25
5cggZ1.pdb1	5cggR1.pdb1	536.0
5cggZ1.pdb1	5cggI1.pdb1	744.4
5cggP1.pdb1	5cggR1.pdb1	116.8
5cggP1.pdb1	5cggV1.pdb1	14.1
5cggP1.pdb1	5cggO1.pdb1	1353.45
5cggP1.pdb1	5cggT1.pdb1	135.2
5cggR1.pdb1	5cggO1.pdb1	32.45
5cggN1.pdb1	5cggF1.pdb1	470.45
5cggN1.pdb1	5cggG1.pdb1	428.65
5cggF1.pdb1	5cggG1.pdb1	1370.85
5cggD1.pdb1	5cggK1.pdb1	424.1
5cggg1.pdb1	5cggK1.pdb1	235.3
5cggK1.pdb1	5cggV1.pdb1	94.05
5cggK1.pdb1	5cggJ1.pdb1	619.65
5cggV1.pdb1	5cggO1.pdb1	671.95
5cggO1.pdb1	5cggT1.pdb1	142.85
5cggJ1.pdb1	5cggI1.pdb1	588.1
5cg7A2.pdb1	5cg7A1.pdb1	1462.9
4cg7A1.pdb1	4cg7C1.pdb1	1165.2
4cg7A1.pdb1	4cg7B1.pdb1	1443.85
4cg7C1.pdb1	4cg7B1.pdb1	127.2
1cg8A2.pdb1	1cg8A1.pdb1	506.7
1cg8A2.pdb1	1cg8B1.pdb1	553.4
1cg8A2.pdb1	1cg8B2.pdb1	921.6
1cg8A1.pdb1	1cg8B1.pdb1	921.6
1cg8A1.pdb1	1cg8B2.pdb1	553.4
1cg8B1.pdb1	1cg8B2.pdb1	273.1
2cgeB1.pdb1	2cgeA2.pdb1	111.8
2cgeB1.pdb1	2cgeD2.pdb1	1584.25
2cgeB1.pdb1	2cgeD1.pdb1	575.55
2cgeB1.pdb1	2cgeB2.pdb1	1493.1
2cgeB1.pdb1	2cgeA1.pdb1	560.2
2cgeA2.pdb1	2cgeD2.pdb1	606.35
2cgeA2.pdb1	2cgeD1.pdb1	1549.5
2cgeA2.pdb1	2cgeB2.pdb1	560.2
2cgeA2.pdb1	2cgeA1.pdb1	1622.2
2cgeD2.pdb1	2cgeD1.pdb1	108.8
2cgeD2.pdb1	2cgeB2.pdb1	575.55
2cgeD2.pdb1	2cgeA1.pdb1	1549.5
2cgeD1.pdb1	2cgeB2.pdb1	1584.25
2cgeD1.pdb1	2cgeA1.pdb1	606.35
2cgeB2.pdb1	2cgeA1.pdb1	111.85
4cgvB1.pdb1	4cgvF1.pdb1	287.45
3cghA2.pdb1	3cghA1.pdb1	977.4
3cgnA2.pdb2	3cgnA1.pdb2	752.8
4cgcC1.pdb1	4cgcA1.pdb1	493.85
4cgcC1.pdb1	4cgcB1.pdb1	538.55
4cgcA1.pdb1	4cgcB1.pdb1	491.4
5cg0F1.pdb3	5cg0E1.pdb3	970.0
5cg5A1.pdb1	5cg5A2.pdb1	2121.9
6cg6A2.pdb1	6cg6A1.pdb1	1312.0
6cgaA1.pdb1	6cgaC1.pdb1	401.45
6cgaA1.pdb1	6cgaB1.pdb1	1350.15
6cgaC1.pdb1	6cgaD1.pdb1	1422.65
5cgoB2.pdb2	5cgoA1.pdb2	292.0
1cg1A2.pdb1	1cg1A1.pdb1	2840.0
6cgzC1.pdb2	6cgzC2.pdb2	1198.9
2cg3A1.pdb1	2cg3A2.pdb1	5075.1
1cg2C1.pdb1	1cg2A1.pdb1	503.05
1cg2C1.pdb1	1cg2B1.pdb1	1267.85
1cg2C1.pdb1	1cg2D1.pdb1	264.95
1cg2A1.pdb1	1cg2B1.pdb1	275.4
1cg2A1.pdb1	1cg2D1.pdb1	1305.15
1cg2B1.pdb1	1cg2D1.pdb1	486.6
6cgnA1.pdb2	6cgnA2.pdb2	1149.1
4cgdB1.pdb1	4cgdA1.pdb1	1398.6
5cgoA1.pdb1	5cgoB1.pdb1	477.45
3cgbB1.pdb1	3cgbA1.pdb1	2509.45
6cglA1.pdb1	6cglB1.pdb1	900.45
4cgyB1.pdb1	4cgyA1.pdb1	1328.0
5cgyC1.pdb2	5cgyD1.pdb2	1599.5
5cgeA1.pdb1	5cgeB1.pdb1	943.8
5cgeA1.pdb1	5cgeC1.pdb1	933.9
5cgeB1.pdb1	5cgeC1.pdb1	927.6
3cgiB2.pdb1	3cgiA2.pdb1	1356.6
3cgiB2.pdb1	3cgiB3.pdb1	135.65
3cgiB2.pdb1	3cgiB1.pdb1	135.6
3cgiB2.pdb1	3cgiA3.pdb1	1378.4
3cgiB2.pdb1	3cgiA1.pdb1	124.45
3cgiA2.pdb1	3cgiB3.pdb1	124.5
3cgiA2.pdb1	3cgiB1.pdb1	1378.45
3cgiA2.pdb1	3cgiA3.pdb1	107.8
3cgiA2.pdb1	3cgiA1.pdb1	107.85
3cgiB3.pdb1	3cgiB1.pdb1	135.65
3cgiB3.pdb1	3cgiA3.pdb1	1356.6
3cgiB3.pdb1	3cgiA1.pdb1	1378.5
3cgiB1.pdb1	3cgiA3.pdb1	124.45
3cgiB1.pdb1	3cgiA1.pdb1	1356.55
3cgiA3.pdb1	3cgiA1.pdb1	107.8
5cgqB2.pdb1	5cgqB1.pdb1	1613.6
5cgqB2.pdb1	5cgqA2.pdb1	1381.95
5cgqB1.pdb1	5cgqA1.pdb1	1381.95
2cg9B1.pdb1	2cg9A1.pdb1	3551.35
2cg9B1.pdb1	2cg9X1.pdb1	386.65
2cg9B1.pdb1	2cg9Y1.pdb1	895.75
2cg9A1.pdb1	2cg9X1.pdb1	934.3
2cg9A1.pdb1	2cg9Y1.pdb1	377.4
4cg5B1.pdb1	4cg5A1.pdb1	1508.55
4cg5B1.pdb1	4cg5C1.pdb1	193.2
4cg5A1.pdb1	4cg5C1.pdb1	980.35
5cgmB1.pdb1	5cgmA1.pdb1	1950.65
4cgfB1.pdb1	4cgfA1.pdb1	1414.05
4cgbC1.pdb1	4cgbA1.pdb1	832.95
4cgbC1.pdb1	4cgbB1.pdb1	829.75
4cgbA1.pdb1	4cgbB1.pdb1	883.45
1cgkA1.pdb1	1cgkA2.pdb1	3108.75
2cgaB1.pdb1	2cgaA1.pdb1	534.45
6cgzB1.pdb1	6cgzA1.pdb1	1178.25
5cgaH1.pdb2	5cgaE1.pdb2	931.35
5cgaH1.pdb2	5cgaF1.pdb2	927.1
5cgaE1.pdb2	5cgaF1.pdb2	927.8
3cgdB1.pdb1	3cgdA1.pdb1	2649.1
5cg7B2.pdb2	5cg7B1.pdb2	1459.1
6cg4C1.pdb1	6cg4B1.pdb1	157.1
6cg4C1.pdb1	6cg4A1.pdb1	179.35
6cg4B1.pdb1	6cg4A1.pdb1	183.4
6cg3A2.pdb1	6cg3A8.pdb1	60.9
6cg3A2.pdb1	6cg3A9.pdb1	61.4
6cg3A2.pdb1	6cg3A7.pdb1	196.35
6cg3A2.pdb1	6cg3A12.pdb1	197.1
6cg3A2.pdb1	6cg3A1.pdb1	104.6
6cg3A3.pdb1	6cg3A8.pdb1	196.35
6cg3A3.pdb1	6cg3A7.pdb1	60.9
6cg3A3.pdb1	6cg3A11.pdb1	61.4
6cg3A3.pdb1	6cg3A4.pdb1	104.6
6cg3A3.pdb1	6cg3A10.pdb1	197.1
6cg3A8.pdb1	6cg3A9.pdb1	61.05
6cg3A8.pdb1	6cg3A7.pdb1	104.8
6cg3A8.pdb1	6cg3A10.pdb1	196.75
6cg3A9.pdb1	6cg3A5.pdb1	196.75
6cg3A9.pdb1	6cg3A10.pdb1	105.2
6cg3A9.pdb1	6cg3A1.pdb1	197.1
6cg3A7.pdb1	6cg3A12.pdb1	196.75
6cg3A7.pdb1	6cg3A11.pdb1	61.05
6cg3A12.pdb1	6cg3A11.pdb1	105.2
6cg3A12.pdb1	6cg3A6.pdb1	61.05
6cg3A12.pdb1	6cg3A1.pdb1	61.4
6cg3A11.pdb1	6cg3A6.pdb1	196.75
6cg3A11.pdb1	6cg3A4.pdb1	197.1
6cg3A6.pdb1	6cg3A4.pdb1	196.35
6cg3A6.pdb1	6cg3A5.pdb1	104.8
6cg3A6.pdb1	6cg3A1.pdb1	60.9
6cg3A4.pdb1	6cg3A5.pdb1	60.9
6cg3A4.pdb1	6cg3A10.pdb1	61.4
6cg3A5.pdb1	6cg3A10.pdb1	61.05
6cg3A5.pdb1	6cg3A1.pdb1	196.35
5cgzA4.pdb1	5cgzA2.pdb1	1605.4
5cgzA4.pdb1	5cgzA3.pdb1	1075.55
5cgzA4.pdb1	5cgzA5.pdb1	710.5
5cgzA4.pdb1	5cgzA6.pdb1	711.3
5cgzA2.pdb1	5cgzA3.pdb1	710.8
5cgzA2.pdb1	5cgzA5.pdb1	1076.9
5cgzA2.pdb1	5cgzA1.pdb1	710.5
5cgzA3.pdb1	5cgzA1.pdb1	711.3
5cgzA3.pdb1	5cgzA6.pdb1	1603.0
5cgzA5.pdb1	5cgzA1.pdb1	1605.4
5cgzA5.pdb1	5cgzA6.pdb1	710.8
5cgzA1.pdb1	5cgzA6.pdb1	1075.55
4cgbE1.pdb2	4cgbF1.pdb2	811.4
4cgbE1.pdb2	4cgbD1.pdb2	845.5
4cgbF1.pdb2	4cgbD1.pdb2	897.15
1cgdC1.pdb1	1cgdA1.pdb1	702.7
1cgdC1.pdb1	1cgdB1.pdb1	677.0
1cgdA1.pdb1	1cgdB1.pdb1	645.5
3cg8C1.pdb1	3cg8B1.pdb1	1788.65
3cg8C1.pdb1	3cg8A1.pdb1	1753.45
3cg8B1.pdb1	3cg8A1.pdb1	1794.5
2cgyA2.pdb1	2cgyA4.pdb1	749.8
2cgyA2.pdb1	2cgyA3.pdb1	63.75
2cgyA2.pdb1	2cgyA5.pdb1	749.8
2cgyA1.pdb1	2cgyA4.pdb1	63.75
2cgyA1.pdb1	2cgyA6.pdb1	749.8
2cgyA1.pdb1	2cgyA3.pdb1	749.8
2cgyA4.pdb1	2cgyA5.pdb1	749.8
2cgyA6.pdb1	2cgyA3.pdb1	749.8
2cgyA6.pdb1	2cgyA5.pdb1	63.7
1cg0A1.pdb1	1cg0A2.pdb1	2783.2
2cg5B1.pdb1	2cg5A1.pdb1	859.0
4cg6A1.pdb1	4cg6C1.pdb1	598.55
4cg6A1.pdb1	4cg6B1.pdb1	1593.6
4cg6A1.pdb1	4cg6D1.pdb1	936.45
4cg6C1.pdb1	4cg6B1.pdb1	183.7
6cgsB1.pdb1	6cgsA1.pdb1	1163.2
1cgiE1.pdb1	1cgiI1.pdb1	1026.25
5cg0B1.pdb1	5cg0A1.pdb1	906.4
6cgoB1.pdb1	6cgoA1.pdb1	2463.2
4cgvC1.pdb3	4cgvE1.pdb3	341.45
2cg4B3.pdb1	2cg4A3.pdb1	2804.85
2cg4B3.pdb1	2cg4B4.pdb1	498.7
2cg4B3.pdb1	2cg4A4.pdb1	58.85
2cg4B3.pdb1	2cg4B1.pdb1	498.7
2cg4B3.pdb1	2cg4B2.pdb1	5.7
2cg4B3.pdb1	2cg4A1.pdb1	447.45
2cg4A2.pdb1	2cg4B4.pdb1	58.85
2cg4A2.pdb1	2cg4A4.pdb1	497.6
2cg4A2.pdb1	2cg4B1.pdb1	447.45
2cg4A2.pdb1	2cg4B2.pdb1	2804.85
2cg4A2.pdb1	2cg4A1.pdb1	497.6
2cg4A3.pdb1	2cg4B4.pdb1	447.45
2cg4A3.pdb1	2cg4A4.pdb1	497.6
2cg4A3.pdb1	2cg4B1.pdb1	58.85
2cg4A3.pdb1	2cg4A1.pdb1	497.6
2cg4B4.pdb1	2cg4A4.pdb1	2804.85
2cg4B4.pdb1	2cg4B1.pdb1	5.7
2cg4B4.pdb1	2cg4B2.pdb1	498.7
2cg4A4.pdb1	2cg4B2.pdb1	447.45
2cg4B1.pdb1	2cg4B2.pdb1	498.7
2cg4B1.pdb1	2cg4A1.pdb1	2804.85
2cg4B2.pdb1	2cg4A1.pdb1	58.85
3cglA1.pdb1	3cglB1.pdb1	888.7
3cglA1.pdb1	3cglD1.pdb1	37.05
3cglA1.pdb1	3cglC1.pdb1	1172.9
3cglB1.pdb1	3cglD1.pdb1	1187.45
3cglB1.pdb1	3cglC1.pdb1	33.75
3cglD1.pdb1	3cglC1.pdb1	878.55
3cg0D2.pdb1	3cg0B3.pdb1	19.65
3cg0D2.pdb1	3cg0A3.pdb1	880.7
3cg0B3.pdb1	3cg0A3.pdb1	2758.4
3cg0B3.pdb1	3cg0C1.pdb1	995.85
3cg0A3.pdb1	3cg0C1.pdb1	29.15
4cg4E1.pdb3	4cg4F1.pdb3	5140.9
4cgkA1.pdb1	4cgkB2.pdb1	320.8
4cgkA1.pdb1	4cgkB1.pdb1	3179.8
4cgkA1.pdb1	4cgkA2.pdb1	246.35
4cgkB2.pdb1	4cgkB1.pdb1	205.7
4cgkB2.pdb1	4cgkA2.pdb1	3179.8
4cgkB1.pdb1	4cgkA2.pdb1	320.8
3cg0A1.pdb2	3cg0B1.pdb2	2758.4
3cg0A1.pdb2	3cg0D1.pdb2	171.8
3cg0C1.pdb2	3cg0B1.pdb2	200.8
3cg0C1.pdb2	3cg0D1.pdb2	539.3
3cg0B1.pdb2	3cg0D1.pdb2	162.0
4cguA1.pdb1	4cguB1.pdb1	1032.7
4cguA1.pdb1	4cguC1.pdb1	442.35
3cgmA2.pdb2	3cgmA4.pdb2	315.15
3cgmA2.pdb2	3cgmA5.pdb2	957.15
3cgmA2.pdb2	3cgmA6.pdb2	315.2
3cgmA2.pdb2	3cgmA1.pdb2	369.55
3cgmA4.pdb2	3cgmA3.pdb2	369.55
3cgmA4.pdb2	3cgmA6.pdb2	315.25
3cgmA4.pdb2	3cgmA1.pdb2	957.15
3cgmA5.pdb2	3cgmA3.pdb2	315.2
3cgmA5.pdb2	3cgmA6.pdb2	369.6
3cgmA5.pdb2	3cgmA1.pdb2	315.25
3cgmA3.pdb2	3cgmA6.pdb2	957.15
3cgmA3.pdb2	3cgmA1.pdb2	315.25
4cgxB1.pdb1	4cgxA1.pdb1	888.15
5cgaC1.pdb1	5cgaA1.pdb1	901.5
5cgaC1.pdb1	5cgaB1.pdb1	942.6
5cgaA1.pdb1	5cgaB1.pdb1	925.15
4cgwD1.pdb2	4cgwB1.pdb2	288.45
1cg5B1.pdb1	1cg5A1.pdb1	880.05
1cg5B1.pdb1	1cg5B2.pdb1	52.0
1cg5B1.pdb1	1cg5A2.pdb1	635.2
1cg5A1.pdb1	1cg5B2.pdb1	635.2
1cg5A1.pdb1	1cg5A2.pdb1	464.1
1cg5B2.pdb1	1cg5A2.pdb1	880.05
4cgiB1.pdb1	4cgiA1.pdb1	1425.25
